Time,Altitude,AirSpeed,Landing_Gear,Thrust_Rev,Flaps,Param1_1,Param1_2,Param1_3,Param1_4,Param2,Param3_1,Param3_2,Param3_3,Param3_4,Param4
1,1.8339,21.311,1,0,9.5,-68.913,-34.154,-38.905,-19.786,-52.354,62.995,7.695,-2.5855,9.3336,11.17
2,-1.2494,21.318,1,0,9.5,-70.042,-34.109,-39.996,-18.55,-53.166,62.239,6.3469,-2.3959,10.647,9.8778
3,15.108,21.331,1,0,9.5,-68.512,-34.083,-39.617,-19.234,-53.833,63.653,4.5065,-3.5049,11.728,10.021
4,20.009,21.352,1,0,9.5,-67.538,-34.626,-37.958,-19.232,-53.959,63.824,4.9776,-3.2445,11.312,9.9031
5,2.1367,21.378,1,0,9.5,-67.112,-34.362,-37.806,-20.028,-54.436,64.51,6.299,-4.0844,9.3736,10.657
6,5.4691,21.411,1,0,9.5,-68.025,-36.143,-37.182,-21.319,-54.918,63.191,5.4008,-4.0832,9.5235,11.303
7,13.252,21.45,1,0,9.5,-67.708,-35.941,-37.553,-19.518,-55.438,62.813,6.0567,-4.9933,11.378,12.547
8,2.8459,21.494,1,0,9.5,-67.514,-35.934,-37.721,-19.543,-54.578,61.721,4.6479,-5.5922,11.4,11.771
9,-0.86015,21.543,1,0,9.5,-67.536,-35.796,-37.826,-18.709,-54.217,62.344,5.2495,-4.9069,11.491,11.418
10,-0.61843,21.598,1,0,9.5,-69.047,-35.53,-37.636,-18.265,-53.898,64.25,7.2467,-5.053,10.911,11.658
11,9.3944,21.656,1,0,9.5,-69.447,-36.048,-37.084,-19.785,-53.683,63.711,7.3907,-6.6694,11.558,12.313
12,2.6504,21.719,1,0,9.5,-70.04,-36.854,-36.701,-19.116,-53.715,63.503,6.3317,-4.6221,10.895,14.272
13,3.6031,21.784,1,0,9.5,-71.499,-35.851,-36.801,-19.547,-52.504,61.79,6.6894,-2.9239,10.728,14.854
14,2.7726,21.852,1,0,9.5,-71.303,-35.07,-38.118,-18.963,-52.173,62.027,7.0927,-1.7874,9.1762,15.386
15,0.065418,21.923,1,0,9.5,-71.505,-34.758,-38.401,-20.184,-52.642,60.433,5.1672,-1.176,7.5715,13.752
16,5.519,21.995,1,0,9.5,-75.028,-33.621,-38.515,-18.824,-52.508,61.424,5.3732,0.87045,5.6829,13.685
17,-17.688,22.068,1,0,9.5,-75.684,-33.827,-38.312,-18.129,-52.318,60.614,6.4073,-2.2585,5.6932,15.188
18,10.453,22.142,1,0,9.5,-75.802,-33.83,-37.745,-18.025,-50.82,60.163,6.0653,-3.2911,5.3907,16.516
19,10.714,22.215,1,0,9.5,-77.251,-35.058,-35.642,-17.095,-52.138,60.628,7.2434,-2.4112,4.1859,16.822
20,-0.25102,22.288,1,0,9.5,-78.149,-33.031,-35.756,-16.496,-53.335,61.11,7.327,-1.5918,3.2286,16.682
21,7.0525,22.359,1,0,9.5,-78.795,-32.404,-35.747,-15.638,-55.33,61.995,7.2645,-0.79999,4.0621,16.664
22,10.025,22.429,1,0,9.5,-77.237,-31.498,-36.094,-16.674,-56.502,61.742,6.9301,-2.8,4.8429,18.013
23,8.3459,22.497,1,0,9.5,-75.567,-33.306,-36.555,-18.032,-56.988,60.198,6.1987,0.042362,5.9791,17.16
24,8.7392,22.562,1,0,9.5,-74.107,-32.517,-39.851,-17.88,-56.42,59.075,6.5638,1.1367,5.802,19.121
25,-1.1065,22.624,1,0,9.5,-74,-32.237,-40.761,-17.52,-55.888,59.214,7.7402,1.227,5.818,19.027
26,5.1165,22.683,1,0,9.5,-73.496,-33.285,-41.215,-17.906,-55.162,60.41,6.7514,1.1178,5.8513,19.547
27,17.566,22.738,1,0,9.5,-73.587,-34.105,-43.127,-15.551,-54.162,60.041,6.3621,0.69128,4.6989,18.768
28,-11.184,22.789,1,0,9.5,-73.42,-33.467,-46.267,-16.051,-51.474,58.822,6.2356,1.7983,4.0638,19.553
29,-8.7557,22.836,1,0,9.5,-74.331,-33.199,-46.195,-16.805,-50.812,58.724,7.5268,2.5265,2.4881,20.042
30,16.399,22.878,1,0,9.5,-75.711,-35.385,-44.802,-17.197,-50.838,56.817,6.9422,2.0835,4.0057,19.526
