Time,Altitude,AirSpeed,Landing_Gear,Thrust_Rev,Flaps,Param1_1,Param1_2,Param1_3,Param1_4,Param2,Param3_1,Param3_2,Param3_3,Param3_4,Param4
1,3.8539,16.508,1,0,9.5,68.739,-50.429,-11.611,26.156,-4.8475,-48.539,-14.167,-58.607,-44.511,-33.557
2,-24.523,16.544,1,0,9.5,67.868,-48.887,-10.887,27.503,-7.3604,-46.401,-15.029,-57.456,-45.232,-33.503
3,-4.4862,16.614,1,0,9.5,67.104,-49.073,-10.925,28.919,-7.5463,-47.563,-15.652,-57.78,-46.641,-33.543
4,-2.9246,16.718,1,0,9.5,67.811,-49.958,-10.767,28.738,-5.4635,-46.627,-13.557,-58.249,-45.638,-33.857
5,6.7436,16.856,1,0,9.5,67.906,-49.395,-10.006,28.3,-4.9757,-46.012,-14.251,-59.423,-46.96,-34.516
6,2.3882,17.025,1,0,9.5,68.808,-51.092,-12.352,28.887,-5.5796,-45.799,-15.695,-58.402,-46.847,-32.482
7,-4.4602,17.225,1,0,9.5,70.146,-52.245,-13.86,30.008,-5.8484,-46.763,-16.058,-58.454,-46.763,-31.579
8,6.9925,17.454,1,0,9.5,70.606,-53.367,-13.391,29.396,-5.7016,-46.78,-15.206,-58.278,-46.258,-30.762
9,15.904,17.709,1,0,9.5,68.829,-53.664,-15.513,29.968,-5.7147,-46.806,-16.048,-57.067,-46.452,-31.294
10,-9.6088,17.988,1,0,9.5,68.788,-54.052,-14.296,29.529,-5.5872,-49.238,-15.868,-54.901,-47.913,-31.033
11,-5.4123,18.289,1,0,9.5,68.359,-54.28,-14.54,29.782,-5.9727,-49.607,-16.201,-54.767,-46.733,-29.685
12,4.5676,18.609,1,0,9.5,67.561,-54.642,-15.234,29.919,-6.0938,-50.591,-17.435,-54.123,-47.283,-29.211
13,2.6065,18.944,1,0,9.5,66.84,-54.637,-14.772,31.024,-5.2665,-51.838,-17.006,-52.332,-48.198,-29.739
14,-0.24685,19.293,1,0,9.5,67.357,-54.202,-14.198,30.807,-7.1267,-51.51,-15.841,-52.538,-46.447,-30.527
15,9.7575,19.651,1,0,9.5,65.496,-55.874,-13.971,29.632,-6.4667,-52.056,-15.269,-53.798,-47.157,-28.899
16,31.321,20.016,1,0,9.5,65.532,-54.904,-14.569,31.972,-7.2574,-50.906,-16.113,-54.257,-46.327,-28.232
17,23.094,20.384,1,0,9.5,65.297,-53,-14.162,32.026,-9.1196,-51.613,-17.759,-54.352,-45.248,-28.717
18,-2.1424,20.752,1,0,9.5,65.474,-52.438,-13.992,31.436,-8.8836,-51.467,-18.076,-54.403,-45.411,-28.585
19,10.837,21.116,1,0,9.5,64.091,-52.972,-14.112,31.56,-10.676,-52.129,-17.552,-54.582,-44.04,-28.267
20,16.389,21.474,1,0,9.5,64.057,-52.046,-13.911,31.036,-10.084,-52.127,-17.633,-54.27,-44.443,-26.764
21,9.2562,21.822,1,0,9.5,64.662,-54.156,-12.845,30.967,-9.6273,-52.958,-18.116,-54.173,-44.381,-25.49
22,6.1741,22.158,1,0,9.5,65.863,-54.704,-13.912,30.057,-10.113,-53.5,-17.292,-55.466,-44.593,-25.155
23,2.4576,22.477,1,0,9.5,64.687,-53.191,-13.311,28.414,-11.68,-53.968,-17.985,-55.333,-44.092,-24.955
24,11.999,22.779,1,0,9.5,64.909,-53.366,-12.838,27.644,-12.099,-53.962,-18.362,-57.329,-43.17,-24.297
25,21.795,23.059,1,0,9.5,65.725,-55.195,-13.848,26.514,-12.844,-55.912,-20.25,-58.464,-45.435,-23.274
26,0.31194,23.316,1,0,9.5,66.559,-54.651,-13.782,24.815,-11.805,-55.49,-21.498,-58.806,-44.306,-24.091
27,8.8248,23.547,1,0,9.5,68.519,-53.797,-14.085,22.924,-11.785,-55.262,-21.773,-57.993,-43.82,-24.09
28,-6.8558,23.752,1,0,9.5,67.952,-53.388,-14.239,23.535,-11.09,-53.961,-19.855,-59.455,-43.267,-24.049
29,27.792,23.927,1,0,9.5,66.428,-51.81,-13.982,21.846,-11.275,-53.887,-18.641,-58.591,-45.531,-24.046
30,61.625,24.073,1,0,9.5,66.426,-49.02,-14.409,21.364,-12.505,-53.831,-18.605,-57.362,-44.119,-24.77
31,89.062,24.188,1,0,9.5,65.596,-47.655,-15.081,21.875,-13.365,-55.006,-18.752,-58.071,-41.058,-24.584
32,107.66,24.271,1,0,9.5,65.286,-49.163,-16.724,22.675,-13.929,-56.703,-19.001,-58.742,-40.504,-24.919
33,138.22,24.322,1,0,9.5,66.016,-48.891,-14.297,24.026,-13.375,-56.66,-19.452,-58.71,-40.095,-23.194
34,166.23,24.341,0,0,9.5,65.909,-48.183,-15.263,23.035,-13.584,-55.944,-19.191,-59.649,-39.262,-22.197
35,194.61,24.328,0,0,9.5,64.283,-47.238,-16.317,23.149,-14.886,-56.156,-19.851,-61.432,-38.465,-21.724
36,202.63,24.285,0,0,9.5,65.157,-47.077,-16.402,23.108,-15.112,-55.858,-21.171,-60.622,-38.68,-21.176
37,232.98,24.211,0,0,9.5,65.26,-46.784,-17.139,24.648,-17.273,-56.806,-21.747,-59.957,-38.875,-21.316
38,261.14,24.108,0,0,9.5,66.684,-46.383,-16.118,25.225,-14.251,-56.388,-19.944,-59.801,-40.469,-22.07
39,304.73,23.978,0,0,9.5,66.394,-46.912,-13.511,23.892,-15.646,-57.72,-21.902,-58.92,-39.338,-24.453
40,308.48,23.822,0,0,9.5,65.841,-48.294,-14.641,25.765,-16.299,-59.421,-22.345,-58.133,-39.58,-25.999
41,344.12,23.642,0,0,9.5,65.887,-49.507,-12.196,27.307,-16.549,-60.546,-21.167,-57.369,-40.829,-26.055
42,359.64,23.441,0,0,9.5,66.961,-49.973,-12.756,26.176,-18.001,-60.836,-21.611,-59.039,-40.583,-23.878
43,408.24,23.22,0,0,9.5,68.83,-49.964,-11.854,25.219,-19.152,-62.147,-21.876,-57.994,-39.598,-21.885
44,425.58,22.984,0,0,9.5,69.814,-49.321,-11.651,23.856,-19.2,-64.022,-22.58,-59.215,-40.497,-21.194
45,454.44,22.733,0,0,9.5,69.251,-48.235,-11.084,24.399,-19.512,-63.746,-23.015,-58.713,-40.398,-18.58
46,476.97,22.472,0,0,9.5,69.064,-48.138,-9.1703,25.532,-16.852,-63.383,-24.78,-58.036,-42.286,-19.877
47,489.73,22.202,0,0,9.5,69.766,-48.886,-7.6197,27.049,-15.888,-62.675,-26.566,-58.801,-41.354,-20.324
48,518.19,21.928,0,0,9.5,68.701,-49.653,-7.9892,26.592,-16.028,-63.756,-25.114,-58.908,-43.149,-20.278
49,522.04,21.652,0,0,9.5,69.375,-49.725,-8.0548,25.5,-15.961,-63.739,-24.095,-59.407,-41.782,-21.05
50,562.52,21.377,0,0,9.5,68.433,-50.698,-9.2365,24.631,-15.793,-62.562,-23.942,-60.331,-40.971,-20.026
51,591.87,21.107,0,0,9.5,69.57,-51.248,-10.205,25.215,-17.272,-62.975,-22.944,-60.834,-41.728,-18.764
52,615.74,20.844,0,0,9.5,69.014,-52.88,-9.8966,26.714,-17.497,-62.873,-22.568,-61.559,-43.135,-19.63
53,640.47,20.591,0,0,9.5,70.29,-52.29,-9.4477,26.602,-17.052,-63.158,-22.963,-60.319,-43.644,-19.686
54,680.91,20.351,0,0,9.5,72.429,-51.698,-9.4979,27.897,-17.336,-62.519,-21.698,-59.172,-44.053,-19.634
