Time,Altitude,AirSpeed,Landing_Gear,Thrust_Rev,Flaps,Param1_1,Param1_2,Param1_3,Param1_4,Param2,Param3_1,Param3_2,Param3_3,Param3_4,Param4
1,-6.0796,17.99,1,0,9.5,54.945,72.911,24.747,-41.347,6.3366,63.553,65.231,-0.82823,-71.716,5.5289
2,19.378,18.001,1,0,9.5,53.259,73.252,25.639,-40.337,4.4612,65.24,65.695,-2.1432,-70.108,4.9955
3,-8.4863,18.024,1,0,9.5,52.167,73.679,25.945,-40.807,3.3819,64.95,65.45,-3.7965,-70.961,4.6052
4,-9.0691,18.059,1,0,9.5,52.285,74.188,26.51,-42.254,2.6436,65.644,65.916,-4.5085,-71.47,6.0781
5,0.69527,18.105,1,0,9.5,52.898,74.963,27.222,-42.795,4.5702,64.677,65.398,-6.4565,-69.903,7.4355
6,-23.188,18.162,1,0,9.5,53.243,75.699,26.967,-42.358,4.9164,64.183,65.26,-6.5607,-71.066,6.7178
7,6.867,18.231,1,0,9.5,52.979,76.715,27.693,-41.832,5.3713,66.53,66.959,-5.2102,-70.491,6.0149
8,2.0856,18.313,1,0,9.5,54.192,75.001,27.227,-42.359,4.7255,65.618,67.044,-4.1963,-70.94,7.037
9,2.1696,18.406,1,0,9.5,53.297,75.37,28.562,-42.385,2.1792,65.532,67.27,-5.9614,-71.242,8.3416
10,-8.447,18.511,1,0,9.5,53.168,75.169,29.986,-41.946,3.4765,65.602,67.207,-5.4541,-70.804,8.4132
11,-7.5089,18.629,1,0,9.5,52.593,74.63,30.409,-40.027,4.5006,65.475,67.886,-6.1466,-70.466,10.173
12,18.68,18.759,1,0,9.5,54.824,74.299,30.64,-37.949,5.1731,65.765,67.573,-6.3496,-71.233,10.629
13,16.554,18.901,1,0,9.5,55.292,73.766,30.463,-37.667,4.8437,65.704,67.34,-6.7361,-70.248,8.6401
14,18.7,19.056,1,0,9.5,56.721,71.42,30.555,-36.486,4.8631,64.615,68.577,-6.783,-69.369,8.5993
15,13.684,19.223,1,0,9.5,55.683,70.843,30.508,-36.997,6.5946,64.672,69.356,-8.0111,-69.477,9.2545
16,7.847,19.403,1,0,9.5,54.717,70.6,30.554,-35.405,4.7282,63.988,68.586,-8.2472,-69.01,9.4901
17,-3.3219,19.596,1,0,9.5,55.545,70.661,29.149,-34.947,5.7776,64.062,68.638,-7.4211,-70.015,9.7605
18,-2.4623,19.801,1,0,9.5,55.406,70.301,30.426,-34.527,4.6418,64.819,69.569,-7.5081,-69.835,8.391
19,11.051,20.019,1,0,9.5,54.517,70.767,32.723,-33.342,5.237,66.699,70.003,-6.1733,-70.491,9.0245
20,-3.9974,20.248,1,0,9.5,53.782,70.204,32.374,-32.723,5.1594,66.439,68.035,-6.1129,-69.813,9.7679
21,1.3292,20.49,1,0,9.5,53.807,71.79,33.421,-32.543,6.043,66.294,67.357,-5.9822,-70.379,9.5348
22,13.628,20.743,1,0,9.5,52.617,71.351,32.423,-33.467,5.2194,67.104,68.368,-5.8731,-72.494,9.5583
23,0.079104,21.008,1,0,9.5,50.356,69.765,32.037,-33.808,5.8291,66.685,67.566,-5.499,-71.939,9.2815
24,14.043,21.283,1,0,9.5,50.234,69.645,31.789,-32.4,5.9045,65.754,68.027,-7.4818,-73.3,9.3126
25,19.054,21.568,1,0,9.5,51.725,69.066,31.234,-32.149,5.1794,65.813,67.429,-6.8138,-75.252,8.9949
26,-8.0276,21.863,1,0,9.5,50.798,70.522,30.241,-33.225,5.1416,67.043,67.678,-5.9427,-74.202,8.5694
27,-1.7353,22.167,1,0,9.5,50.393,68.328,31.216,-32.7,4.0548,66.442,66.557,-5.6832,-74.642,8.8064
28,6.1821,22.478,1,0,9.5,50.171,66.369,30.695,-32.296,3.4564,66.343,67.786,-6.3701,-73.766,9.1451
29,27.104,22.797,1,0,9.5,50.866,66.171,30.236,-32.722,3.3059,66.996,69.68,-6.8372,-74.419,7.2377
30,-5.8206,23.122,1,0,9.5,50.022,66.44,29.53,-31.738,2.5895,67.085,68.726,-6.6826,-73.432,5.5013
31,-4.6539,23.451,1,0,9.5,49.53,64.976,31.14,-31.572,0.92926,67.343,70.062,-6.4858,-73.014,3.5766
32,21.446,23.785,1,0,9.5,48.957,66.926,32.143,-32.121,1.4663,67.96,69.876,-6.5906,-71.67,4.9903
33,5.1181,24.121,1,0,9.5,50.403,67.665,31.578,-32.842,1.2665,66.309,69.553,-6.8099,-72.993,5.6113
34,2.1575,24.458,1,0,9.5,51.26,66.385,32.049,-35.222,0.57085,66.227,67.894,-8.1125,-71.371,4.889
35,39,24.796,1,0,9.5,52.33,66.498,32.418,-33.575,-0.14149,66.263,68.12,-7.8355,-72.074,3.2588
36,54.06,25.131,1,0,9.5,51.879,64.809,33.33,-34.722,-0.14803,65.772,66.848,-9.6969,-70.951,2.7207
37,85.612,25.464,1,0,9.5,50.92,65.657,33.15,-34.724,-0.30636,65.424,65.595,-9.1287,-70.42,4.15
38,112.64,25.792,1,0,9.5,49.873,65.614,30.782,-34.591,-1.7453,64.998,66.718,-8.3458,-69.637,5.1758
39,143.8,26.114,0,0,9.5,49.76,65.711,30.233,-33.536,-1.9191,65.745,65.482,-7.9466,-69.467,3.7105
40,154.85,26.428,0,0,9.5,50.736,65.729,30.619,-32.526,-1.7519,65.034,64.434,-9.0173,-68.498,4.3652
41,172.62,26.732,0,0,9.5,51.219,64.056,31.499,-31.848,-2.0579,64.751,63.92,-10.066,-67.529,4.8078
42,199.69,27.026,0,0,9.5,52.269,63.334,30.581,-30.513,-0.26953,65.555,64.413,-9.7805,-67.587,7.0359
43,221.98,27.308,0,0,9.5,52.11,64.554,30.42,-30.493,-1.8332,66.086,66.23,-10.377,-67.213,6.9848
44,251.77,27.575,0,0,9.5,51.804,64.708,31.157,-31.441,-1.6937,64.86,66.642,-10.2,-66.568,7.49
45,275.73,27.827,0,0,9.5,52.698,65.459,32.82,-33.073,-2.15,65.461,66.832,-11.013,-65.666,8.0728
46,271.7,28.062,0,0,9.5,52.489,64.25,31.416,-33.779,-0.17657,65.316,66.212,-11.592,-64.61,8.1433
47,301.17,28.278,0,0,9.5,51.679,65.44,30.017,-34.674,0.96019,65.632,66.759,-12.025,-62.692,7.5174
48,348.98,28.475,0,0,9.5,51.857,65.713,29.192,-39.028,2.6495,64.091,66.055,-11.136,-62.45,6.8169
49,360.46,28.65,0,0,9.5,52.203,67.516,29.198,-38.085,4.6565,63.454,64.758,-11.832,-62.993,6.1178
50,388.26,28.804,0,0,9.5,53.888,65.551,28.083,-37.501,6.7858,64.333,63.875,-11.563,-63.746,5.3799
51,424.56,28.934,0,0,9.5,55.333,66.58,28.584,-36.934,5.652,64.907,63.566,-12.178,-64.522,6.7058
52,432.47,29.04,0,0,9.5,55.713,65.355,29.347,-36.694,6.297,66.238,62.316,-12.944,-64.865,7.156
53,460.36,29.122,0,0,9.5,56.422,65.381,29.032,-35.435,7.971,66.444,61.731,-10.764,-63.573,7.658
54,498.01,29.178,0,0,9.5,57.656,64.552,28.817,-36.651,7.9615,66,61.952,-10.908,-63.318,7.2441
55,497.78,29.207,0,0,9.5,56.227,64.13,29.351,-38.708,9.6799,66.645,62.34,-10.933,-65.316,8.6021
56,528,29.211,0,0,9.5,55.8,61.646,28.345,-40.294,10.105,67.087,60.848,-10.514,-63.429,9.1953
57,557.23,29.188,0,0,9.5,58.305,61.198,29.253,-40.135,9.0595,65.896,60.195,-10.943,-63.235,10.872
58,582.02,29.138,0,0,9.5,59.356,61.122,29.378,-40.903,10.058,66.786,60.817,-12.435,-64.295,9.9406
59,588.96,29.062,0,0,9.5,60.121,60.402,28.964,-42.57,11.165,66.111,60.25,-11.538,-65.215,8.6713
60,601.7,28.96,0,0,9.5,58.274,61.404,31.264,-41.985,11.281,65.077,60.075,-12.311,-64.204,6.5734
61,656.44,28.833,0,0,9.5,59.561,62.793,29.845,-42.84,9.9416,64.913,59.529,-13.305,-65.091,6.6677
