Time,Altitude,AirSpeed,Landing_Gear,Thrust_Rev,Flaps,Param1_1,Param1_2,Param1_3,Param1_4,Param2,Param3_1,Param3_2,Param3_3,Param3_4,Param4
1,-11.136,11.855,1,0,9.5,-24.909,40.782,30.742,-40.184,-9.2057,23.803,-74.253,-5.2655,-52.556,-28.278
2,9.8623,11.906,1,0,9.5,-23.835,40.684,29.494,-39.921,-9.4357,24.394,-74.545,-5.5453,-52.25,-26.653
3,1.5399,12.008,1,0,9.5,-23.314,42.552,29.614,-39.204,-9.484,24.921,-75.215,-4.8941,-52.509,-24.845
4,10.135,12.16,1,0,9.5,-22.09,41.65,30.101,-41.393,-9.2368,25.429,-74.684,-5.3663,-52.271,-24.228
5,6.3337,12.361,1,0,9.5,-22.634,41.649,29.373,-41.664,-10.169,26.054,-73.422,-5.8713,-53.201,-25.022
6,10.815,12.609,1,0,9.5,-23.372,41.467,27.446,-42.708,-10.114,26.461,-73.061,-7.6719,-54.242,-24.161
7,12.418,12.902,1,0,9.5,-22.283,42.666,28.357,-42.248,-8.5659,25.683,-72.599,-8.9649,-54.834,-25.085
8,29.61,13.237,1,0,9.5,-22.368,43.828,26.231,-44.049,-7.9726,24.767,-72.266,-9.6302,-53.483,-26.08
9,-2.6836,13.613,1,0,9.5,-22.752,45.221,27.021,-44.473,-9.0481,25.98,-72.939,-9.2842,-53.749,-26.817
10,3.6539,14.026,1,0,9.5,-22.886,45.296,27.219,-43.511,-7.6495,25.657,-72.79,-8.3851,-53.44,-25.264
11,-3.7281,14.473,1,0,9.5,-22.474,44.851,25.996,-44.641,-6.6761,26.109,-74.159,-7.0157,-53.347,-25.221
12,0.14407,14.95,1,0,9.5,-23.732,46.698,25.411,-44.069,-6.5727,27.796,-74.896,-6.4329,-54.264,-24.417
13,3.5275,15.453,1,0,9.5,-24.887,46.887,25.681,-44.359,-6.9314,27.05,-73.963,-8.0508,-54.772,-26.18
14,10.382,15.979,1,0,9.5,-24.772,46.983,27.438,-45.281,-7.5033,26.63,-74.569,-9.1201,-56.315,-25.446
15,7.7676,16.523,1,0,9.5,-24.338,47.165,28.658,-45.738,-7.9266,24.406,-74.918,-7.6875,-56.532,-24.857
16,-0.9962,17.081,1,0,9.5,-23.943,47.603,28.954,-46.259,-7.5785,25.189,-73.862,-7.9832,-57.857,-24.327
17,10.627,17.649,1,0,9.5,-22.711,48.701,28.518,-46.454,-6.3803,24.511,-73.316,-8.197,-59.128,-23.678
18,33.416,18.222,1,0,9.5,-20.887,49.296,27.403,-46.587,-6.884,24.172,-74.138,-8.1083,-58.201,-21.535
19,-1.0148,18.797,1,0,9.5,-19.445,48.165,29.18,-45,-5.6615,25.361,-73.813,-8.8362,-59.601,-20.882
20,2.3469,19.369,1,0,9.5,-19.896,47.514,30.192,-44.188,-6.3316,24.433,-73.813,-8.5222,-60.105,-21.533
21,13.161,19.933,1,0,9.5,-20.895,47.274,30.388,-44.631,-7.4655,23.429,-74.147,-8.3732,-60.16,-20.263
22,11.954,20.486,1,0,9.5,-20.018,48.259,32.385,-44.543,-6.5762,22.71,-74.851,-9.3332,-60.261,-19.109
23,5.8122,21.024,1,0,9.5,-18.864,47.194,32.142,-44.033,-6.0391,22.197,-74.557,-9.1506,-59.224,-20.4
24,23.313,21.543,1,0,9.5,-20.889,44.786,32.011,-43.226,-5.9425,22.437,-73.35,-8.059,-59.823,-21.015
25,4.7232,22.039,1,0,9.5,-22.041,43.835,31.17,-44.266,-7.0578,24.923,-74.161,-7.4816,-60.941,-22.985
26,10.286,22.51,1,0,9.5,-23.247,43.15,30.99,-45.655,-7.4836,24.879,-75.445,-6.1652,-62.421,-22.18
27,13.73,22.952,1,0,9.5,-25.183,43.419,31.823,-46.46,-8.0388,24.77,-73.946,-6.5764,-63.401,-21.451
28,22.251,23.362,1,0,9.5,-25.636,42.609,31.696,-46.856,-8.209,25.155,-74.961,-4.2056,-62.992,-22.005
29,7.0895,23.738,1,0,9.5,-26.401,40.537,31.179,-47.35,-8.057,24.065,-74.709,-5.8048,-63.969,-22.316
