Time,Altitude,AirSpeed,Landing_Gear,Thrust_Rev,Flaps,Param1_1,Param1_2,Param1_3,Param1_4,Param2,Param3_1,Param3_2,Param3_3,Param3_4,Param4
1,17.188,14.759,1,0,9.5,-48.013,-8.398,-59.771,-33.295,15.619,-18.991,14.949,45.597,-87.658,12.46
2,-18.888,14.761,1,0,9.5,-49.263,-8.4345,-59.087,-34.149,14.937,-17.327,15.321,45.106,-87.924,12.416
3,-7.0033,14.764,1,0,9.5,-48.524,-7.7301,-59.346,-34.018,14.379,-17.503,15.22,45.197,-87.758,12.734
4,8.8007,14.77,1,0,9.5,-48.319,-7.5891,-58.836,-35.353,12.313,-17.133,15.835,45.406,-87.882,13.116
5,0.37161,14.777,1,0,9.5,-49.762,-8.1207,-59.406,-35.619,12.328,-16.574,14.68,44.116,-87.843,12.472
6,-13.982,14.786,1,0,9.5,-50.233,-8.2221,-60.141,-36.225,13.035,-17.331,14.544,43.017,-86.964,13.21
7,-17.212,14.798,1,0,9.5,-49.873,-7.2564,-58.856,-35.45,14.266,-16.684,13.485,42.707,-86.193,12.209
8,10.22,14.813,1,0,9.5,-50.973,-5.2517,-58.977,-36.725,14.897,-15.908,13.114,41.427,-85.01,12.3
9,-12.077,14.831,1,0,9.5,-49.546,-4.3709,-61.071,-37.546,14.193,-18.623,13.973,40.502,-86.619,11.137
10,-5.9902,14.853,1,0,9.5,-49.349,-6.0679,-62.652,-38.241,14.397,-18.89,14.599,38.787,-86.291,9.7531
11,-5.6187,14.879,1,0,9.5,-50.038,-6.2265,-62.342,-38.923,14.865,-17.699,13.398,37.34,-88.003,9.115
12,3.9995,14.909,1,0,9.5,-50.568,-7.2315,-63.277,-38.938,15.677,-18.39,14.643,38.158,-87.134,8.9988
13,9.9774,14.945,1,0,9.5,-51.537,-8.4018,-64.627,-36.723,15.438,-19.005,14.641,38.536,-87.16,7.5526
14,16.032,14.986,1,0,9.5,-51.793,-8.0048,-63.065,-36.258,15.737,-17.579,15.008,39.542,-87.827,7.4433
15,15.528,15.034,1,0,9.5,-52.069,-8.1017,-62.874,-36.094,13.696,-17.986,17.199,41.359,-88.503,7.7724
16,13.266,15.088,1,0,9.5,-52.149,-6.3458,-61.089,-35.953,15.198,-17.429,18.845,42.224,-89.58,6.9435
17,9.9331,15.149,1,0,9.5,-51.214,-5.661,-60.067,-36.228,14.747,-15.405,18.524,41.214,-89.553,6.8602
