Time,Altitude,AirSpeed,Landing_Gear,Thrust_Rev,Flaps,Param1_1,Param1_2,Param1_3,Param1_4,Param2,Param3_1,Param3_2,Param3_3,Param3_4,Param4
1,-2.8766,17.233,1,0,9.5,-64.067,-35.76,32.389,-82.85,-6.1914,-29.778,12.015,-50.915,8.5176,-169.18
2,9.6424,17.228,1,0,9.5,-64.377,-35.544,32.516,-82.645,-7.3789,-30.898,12.084,-51.754,7.0958,-169.82
3,-7.6984,17.219,1,0,9.5,-64.564,-34.724,33.504,-82.415,-8.0785,-30.901,12.871,-50.593,7.0263,-170.62
4,16.449,17.204,1,0,9.5,-63.309,-34.745,33.689,-82.717,-7.1612,-30.944,13.112,-51.12,7.9389,-171.11
5,2.9108,17.186,1,0,9.5,-62.528,-35.384,33.808,-84.012,-7.243,-33.419,11.354,-51.672,9.0665,-170.63
6,-5.0995,17.164,1,0,9.5,-62.611,-34.615,34.919,-84.091,-8.1838,-34.492,9.9187,-52.227,9.8406,-170.88
7,-9.7765,17.139,1,0,9.5,-62.84,-33.282,35.089,-84.686,-7.4416,-34.156,10.421,-52.209,10.14,-169.46
8,1.5416,17.112,1,0,9.5,-63,-33.305,34.684,-83.666,-6.5801,-35.867,10.907,-51.768,7.6943,-169.01
9,-2.6252,17.085,1,0,9.5,-62.622,-32.798,34.603,-85.043,-8.0253,-36.144,10.793,-52.899,10.079,-167.86
10,15.942,17.058,1,0,9.5,-60.471,-33.415,35.106,-86.133,-6.8712,-36.296,9.7907,-53.553,8.1006,-167.57
11,-3.8139,17.033,1,0,9.5,-59.312,-32.696,35.522,-85.597,-6.0413,-36.987,8.0683,-53.291,7.5047,-168.3
12,0.1405,17.01,1,0,9.5,-59.229,-31.37,35.86,-85.347,-5.9134,-38.045,8.7911,-53.378,7.1761,-169.19
13,-6.895,16.991,1,0,9.5,-59.753,-32.657,37.291,-85.112,-5.396,-38.863,8.2072,-55.568,7.6832,-169.9
14,2.6772,16.978,1,0,9.5,-60.513,-32.665,37.264,-83.876,-4.0327,-40.125,7.709,-54.278,6.2347,-169.83
15,12.694,16.972,1,0,9.5,-60.819,-31.529,36.614,-83.228,-2.9408,-40.113,8.7617,-54.122,6.9603,-169.23
16,7.3152,16.974,1,0,9.5,-60.079,-32.091,37.356,-82.63,-5.5737,-40.384,8.9999,-55.723,6.1953,-168.89
17,11.271,16.985,1,0,9.5,-58.477,-32.201,37.694,-80.673,-6.6977,-40.46,7.9716,-56.318,7.8672,-168.86
18,-2.1092,17.007,1,0,9.5,-57.923,-32.257,35.44,-80.265,-6.3257,-41.743,9.4181,-55.547,8.2905,-169.72
19,22.823,17.041,1,0,9.5,-58.478,-32.999,37.122,-79.937,-4.0283,-41.808,7.9512,-54.916,8.1802,-169.65
20,10.799,17.088,1,0,9.5,-58.068,-33.371,37.15,-80.486,-3.4136,-42.305,7.8334,-53.433,9.6466,-169.14
21,8.0208,17.149,1,0,9.5,-59.456,-33.56,38.618,-82.303,-3.1309,-43.44,7.3178,-53.139,8.6463,-170.12
22,22.377,17.226,1,0,9.5,-60.58,-32.991,40.063,-83.252,-3.1558,-43.786,6.4342,-52.261,8.2618,-169.23
23,12.339,17.318,1,0,9.5,-62.073,-33.196,40.437,-82.698,-3.5783,-43.122,5.2349,-52.618,8.4681,-168.66
24,20.049,17.426,1,0,9.5,-63.482,-33.879,41.006,-81.837,-4.7173,-44.204,3.9688,-51.773,8.221,-167.29
25,8.3029,17.551,1,0,9.5,-64.514,-35.857,41.411,-82.06,-4.6402,-42.009,4.2776,-53.029,9.2062,-166.9
26,10.325,17.693,1,0,9.5,-65.936,-36.474,40.303,-83.53,-3.9954,-44.091,4.8432,-53.495,8.6738,-166.91
27,8.2057,17.853,1,0,9.5,-66.942,-35.359,40.841,-84.534,-4.5717,-43.475,4.3336,-54.54,7.1476,-166.26
28,42.613,18.029,1,0,9.5,-67.314,-36.576,41.585,-83.733,-5.172,-44.624,6.1426,-53.483,6.9257,-166.91
29,56.276,18.223,1,0,9.5,-68.029,-36.281,40.751,-82.269,-4.3788,-44.882,5.8555,-54.544,6.4335,-166.63
30,77.729,18.432,1,0,9.5,-68.721,-35.756,38.976,-83.611,-3.1957,-43.595,5.5542,-55.859,7.4195,-166.22
