Time,Altitude,AirSpeed,Landing_Gear,Thrust_Rev,Flaps,Param1_1,Param1_2,Param1_3,Param1_4,Param2,Param3_1,Param3_2,Param3_3,Param3_4,Param4
1,-2.0171,17.068,1,0,9.5,14.401,39.291,69.885,-30.478,84.31,77.728,35.65,-48.596,29.49,-6.8871
2,-6.5953,17.093,1,0,9.5,13.528,37.925,70.876,-29.818,84.701,77.292,35.635,-48.211,31.229,-5.5957
3,16.133,17.142,1,0,9.5,14.102,37.883,70.825,-30.391,85.115,76.79,34.501,-49.645,30.693,-5.3648
4,-4.6872,17.216,1,0,9.5,13.445,39.565,71.26,-30.65,84.334,77.62,33.565,-48.814,29.255,-5.2922
5,1.9006,17.313,1,0,9.5,14.083,38.515,70.899,-31.324,82.597,77.451,33.119,-47.663,28.272,-5.7374
6,-0.3454,17.433,1,0,9.5,14.894,38.001,70.793,-30.494,81.868,78.771,31.151,-48.59,26.846,-7.1227
7,9.0171,17.575,1,0,9.5,16.454,37.529,69.604,-30.269,81.414,79.27,31.054,-47.686,26.716,-5.7287
8,-1.5714,17.738,1,0,9.5,14.4,38.592,68.487,-29.448,80.173,79.239,32.429,-45.503,26.005,-4.1414
9,14.132,17.919,1,0,9.5,14.968,36.461,68.601,-28.742,80.067,78.409,33.538,-43.285,26.485,-3.8348
10,-12.929,18.119,1,0,9.5,14.195,36.366,66.725,-29.264,79.397,77.611,33.033,-43.66,25.619,-4.0067
11,4.612,18.334,1,0,9.5,14.273,34.816,66.936,-26.994,81.225,77.088,33.886,-45.036,25.643,-3.8125
12,11.479,18.563,1,0,9.5,12.594,33.472,67.044,-26.848,80.452,76.772,33.98,-45.314,25.801,-4.4757
13,11.456,18.805,1,0,9.5,12.553,34.353,69.938,-28.076,79.781,75.454,33.848,-45.156,25.481,-4.8616
14,-8.5505,19.057,1,0,9.5,14.001,34.227,68.956,-28.886,79.134,75.755,33.844,-44.824,25.575,-6.6483
15,3.6559,19.318,1,0,9.5,15.8,33.134,67.571,-29.987,80.119,77.626,33.252,-45.187,24.279,-7.177
16,12.662,19.584,1,0,9.5,16.306,32.276,67.162,-29.701,80.945,76.634,34.529,-43.741,25.768,-6.5721
17,-10.91,19.854,1,0,9.5,15.949,32.984,66.961,-31.23,79.401,77.622,36.569,-44.827,26.524,-6.137
18,5.3749,20.127,1,0,9.5,16.57,32.831,66.918,-31.474,78.927,76.509,36.775,-45.249,25.577,-6.563
19,9.7868,20.398,1,0,9.5,16.387,33.923,67.85,-31.022,79.635,76.419,36.961,-46.289,24.502,-6.8644
20,2.9771,20.668,1,0,9.5,15.251,33.168,68.859,-29.978,79.655,76.573,37.269,-46.711,24.343,-6.6716
21,16.767,20.932,1,0,9.5,13.607,32.991,67.086,-30.681,80.746,75.704,37.718,-47.072,23.118,-6.6216
22,-2.0365,21.191,1,0,9.5,12.574,33.573,66.721,-30.904,80.663,75.887,35.867,-46.658,21.667,-7.8396
23,7.0748,21.441,1,0,9.5,13.449,33.774,67.549,-31.296,82.018,77.351,35.542,-47.214,22.078,-7.701
24,45.254,21.68,1,0,9.5,13.665,32.648,66.941,-30.421,82.263,76.708,35.153,-47.207,20.657,-8.231
25,8.9181,21.908,1,0,9.5,14.351,32.707,66.568,-30.06,82.647,77.568,35.536,-47.968,22.314,-10.286
26,-0.85556,22.122,1,0,9.5,14.039,34.47,66.549,-31.392,83.731,78.49,34.903,-48.509,23.091,-9.3572
27,-5.4186,22.321,1,0,9.5,13.222,34.81,65.668,-30.333,84.963,79.032,34.705,-48.23,23.609,-9.3538
28,30.505,22.504,1,0,9.5,14.076,34.209,65.914,-29.38,85.42,79.692,35.467,-48.84,23.287,-9.3335
29,49.618,22.67,1,0,9.5,13.727,36.962,65.173,-29.021,84.275,78.889,35.615,-47.491,22.44,-8.9908
30,108.22,22.818,1,0,9.5,15.247,37.932,65.003,-28.386,84.579,77.794,36.09,-46.796,22.998,-8.9534
31,111.33,22.947,1,0,9.5,15.071,36.966,65.35,-26.023,85.995,78.101,35.16,-45.011,22.862,-10.473
32,155.82,23.057,1,0,9.5,15.321,36.674,65.47,-26.279,87.687,76.089,35.777,-44.468,22.067,-11.065
33,179.98,23.147,0,0,9.5,16.491,36.222,65.456,-27.064,88.791,75.555,36.844,-45.163,22.703,-10.613
34,192.37,23.218,0,0,9.5,16.615,37.546,64.466,-27.533,88.932,74.465,37.169,-44.333,24.353,-11.12
35,247.98,23.269,0,0,9.5,17.65,37.933,66.291,-26.526,86.97,73.024,36.338,-44.346,23.74,-11.452
36,261.42,23.301,0,0,9.5,18.368,39.744,65.162,-26.524,87.859,74.12,36.204,-45.46,23.281,-10.046
37,288.81,23.314,0,0,9.5,18.274,38.808,64.614,-26.109,88.223,71.995,36.196,-43.658,23.381,-11.885
38,312.51,23.309,0,0,9.5,16.955,39.451,63.671,-26.8,90.107,70.612,36.438,-43.401,25.269,-12.722
39,329.35,23.287,0,0,9.5,18.661,41.561,62.048,-26.839,89.838,70.472,35.298,-42.91,27.052,-11.471
