Time,Altitude,AirSpeed,Landing_Gear,Thrust_Rev,Flaps,Param1_1,Param1_2,Param1_3,Param1_4,Param2,Param3_1,Param3_2,Param3_3,Param3_4,Param4
1,-7.5118,24.115,1,0,9.5,-52.59,23.758,-36.225,48.294,-66.037,-63.092,36.959,30.645,-46.356,40.499
2,1.4794,24.109,1,0,9.5,-52.546,22.748,-36.452,48.882,-66.734,-62.452,37.914,29.613,-47.11,38.039
3,17.69,24.098,1,0,9.5,-52.018,22.461,-36.346,47.488,-68,-61.711,36.345,31.017,-48.134,37.834
4,-6.6914,24.081,1,0,9.5,-52.473,21.915,-35.765,46.547,-66.798,-60.334,34.994,29.205,-47.147,36.823
5,0.97918,24.059,1,0,9.5,-53.552,20.78,-34.387,45.165,-66.724,-59.302,34.549,28.761,-47.883,37.237
6,2.3356,24.032,1,0,9.5,-54.104,22.434,-35.388,44.337,-67.237,-60.133,33.396,29.104,-46.659,36.39
7,-2.8271,23.999,1,0,9.5,-53.835,20.271,-34.152,45.457,-67.57,-58.279,32.624,27.623,-45.778,36.005
8,-2.2866,23.961,1,0,9.5,-52.595,20.027,-33.975,45.278,-68.04,-57.948,32.577,27.55,-44.242,35.951
9,12.046,23.918,1,0,9.5,-51.803,19.886,-31.964,44.517,-66.761,-59.913,33.095,27.907,-44.927,36.207
10,-2.1666,23.87,1,0,9.5,-50.446,19.89,-31.596,44.131,-66.499,-58.328,32.729,28.056,-46.022,37.115
11,-8.7096,23.817,1,0,9.5,-49.372,18.581,-30.244,43.946,-65.343,-58.266,32.016,28.446,-45.787,37.912
12,2.5914,23.76,1,0,9.5,-49.28,17.464,-30.244,43.755,-64.06,-60.382,30.811,29.434,-48.374,38.008
13,-3.3323,23.698,1,0,9.5,-49.175,16.319,-30.438,44.505,-64.994,-60.628,31.445,28.842,-49.416,37.486
14,8.2762,23.632,1,0,9.5,-47.061,15.745,-31.193,44.178,-64.669,-61.58,32.525,29.502,-49.011,37.203
15,0.33022,23.562,1,0,9.5,-48.136,14.369,-32.038,43.163,-64.71,-61.02,31.828,32.285,-49.293,37.485
16,7.9635,23.487,1,0,9.5,-48.426,14.795,-33.575,43.246,-64.286,-61.316,32.098,32.816,-49.525,37.267
17,-13.333,23.409,1,0,9.5,-47.488,15.888,-32.042,43.846,-65.414,-60.142,32.612,32.36,-48.184,37.256
18,26.887,23.327,1,0,9.5,-46.847,16.262,-33.303,43.017,-65.568,-59.16,32.09,33.018,-48.472,37.006
19,13.399,23.241,1,0,9.5,-46.356,17.276,-31.855,42.16,-67.465,-59.613,31.356,32.649,-47.747,36.517
20,5.4831,23.152,1,0,9.5,-47.356,17.273,-32.11,40.395,-69.02,-57.698,31.314,32.107,-48.827,36.129
21,1.4545,23.06,1,0,9.5,-45.969,16.325,-31.019,39.784,-67.273,-57.428,31.388,30.809,-48.097,37.658
22,9.2044,22.964,1,0,9.5,-47.918,14.167,-29.661,39.383,-67.504,-59.268,30.935,30.129,-49.624,35.338
23,15.314,22.865,1,0,9.5,-48.038,12.314,-31.509,39.299,-68.025,-57.135,32.597,31.584,-48.883,34.567
24,2.941,22.762,1,0,9.5,-48.499,11.428,-33.021,38.625,-67.025,-56.865,34.649,31.482,-48.939,35.709
25,-0.89393,22.657,1,0,9.5,-49.512,9.8308,-32.418,37.53,-65.08,-54.586,35.371,31.376,-49.786,34.71
26,14.646,22.548,1,0,9.5,-48.871,10.074,-34.146,37.866,-66.301,-53.846,35.033,32.248,-48.374,35.588
27,-7.0904,22.436,1,0,9.5,-49.397,13.364,-34.787,39.286,-67.659,-51.636,33.61,31.498,-48.361,36.025
28,29.39,22.32,1,0,9.5,-48.685,12.658,-35.929,38.969,-68.998,-51.374,33.119,30.763,-48.295,37.075
29,27.48,22.202,1,0,9.5,-49.956,13.397,-35.815,39.562,-69.476,-51.228,32.982,30.318,-48.411,36.005
30,14.653,22.08,1,0,9.5,-51.362,13.218,-34.044,40.99,-70.908,-50.595,33.179,27.365,-50.142,34.301
31,4.3071,21.955,1,0,9.5,-52.072,14.73,-34.304,40.811,-69.75,-50.724,32.331,28.436,-51.72,34.218
32,14.541,21.826,1,0,9.5,-54.197,16.452,-35.648,40.145,-70.411,-50.726,34.554,27.09,-52.313,35.521
33,14.107,21.694,1,0,9.5,-54.915,15.39,-35.163,41.148,-69.597,-51.666,34.861,26.673,-53.308,35.661
34,0.63635,21.558,1,0,9.5,-53.674,15.013,-35.924,41.629,-69.257,-52.197,34.61,26.556,-53.028,36.6
35,29.654,21.419,1,0,9.5,-53.782,16.423,-35.593,40.431,-68.927,-53.51,34.465,27.707,-53.477,37.449
36,55.35,21.277,1,0,9.5,-53.112,14.839,-36.266,40.309,-68.107,-53.3,33.79,28.637,-54.767,37.503
37,70.419,21.13,1,0,9.5,-53.996,15.078,-36.892,40.235,-68.101,-53.27,32.297,29.439,-55.01,38.924
38,100.02,20.981,1,0,9.5,-52.5,13.835,-36.891,41.423,-68.307,-53.227,32.106,30.82,-55.164,38.39
39,111.6,20.827,1,0,9.5,-51.798,13.351,-36.97,40.51,-68.866,-53.114,31.447,30.739,-55.383,37.501
40,151.64,20.67,0,0,9.5,-53.431,15.069,-38.928,41.158,-68.584,-54.073,31.725,30.733,-55.026,36.979
41,162.51,20.51,0,0,9.5,-52.375,15.069,-37.828,40.756,-67.968,-52.843,32.618,31.139,-56.311,35.869
42,198.23,20.346,0,0,9.5,-52.545,14.825,-35.823,42.408,-68.06,-53.694,33.112,31.155,-57.017,35.089
43,211.19,20.179,0,0,9.5,-52.119,15.376,-36.633,43.551,-68.087,-54.784,31.501,31.954,-58.229,33.212
44,234.85,20.009,0,0,9.5,-50.669,14.61,-35.714,43.874,-68.765,-54.634,31.483,31.135,-57.24,34.552
45,266.84,19.837,0,0,9.5,-48.978,13.973,-36.258,43.615,-68.785,-55.19,32.178,29.472,-57.718,34.819
46,277.07,19.662,0,0,9.5,-48.871,14.912,-35.844,42.536,-68.333,-55.922,32.257,29.726,-57.348,35.85
47,315.86,19.485,0,0,9.5,-49.612,16.442,-34.279,43.268,-69.108,-57.071,31.733,30.969,-56.877,36.757
48,317.41,19.307,0,0,9.5,-50.342,16.382,-35.165,42.13,-69.467,-57.262,34.081,31.237,-56.384,36.868
49,329.16,19.127,0,0,9.5,-49.997,17.381,-35.362,43.604,-68.881,-57.381,34.247,31.583,-56.592,36.479
50,359.94,18.947,0,0,9.5,-49.846,15.974,-33.795,44.521,-69.543,-59.089,33.951,33.78,-56.512,36.619
51,393.47,18.767,0,0,9.5,-49.146,15.383,-33.766,43.002,-68.962,-60.736,34.204,32.986,-56.491,35.918
52,399.69,18.588,0,0,9.5,-50.042,14.638,-34.688,43.895,-68.488,-60.949,34.185,36.432,-55.669,33.917
53,431.76,18.41,0,0,9.5,-51.053,14.584,-35.925,43.237,-68.641,-60.321,34.107,35.808,-53.095,31.384
54,437.15,18.234,0,0,9.5,-49.734,13.946,-33.602,42.068,-68.464,-61.087,33.389,34.675,-51.54,31.226
55,473.81,18.061,0,0,9.5,-49.95,11.831,-34.238,41.244,-69.176,-63.142,32.431,35.068,-52.523,31.399
56,493.7,17.892,0,0,9.5,-49.813,10.72,-32.944,41.119,-69.017,-64.07,34.259,33.963,-53.574,32.508
57,505.51,17.727,0,0,9.5,-50.307,9.526,-32.657,41.807,-68.586,-64.219,33.452,34.921,-55.718,31.945
58,535.48,17.568,0,0,9.5,-48.909,10.533,-32.428,40.852,-68.35,-63.827,31.016,35.224,-55.081,30.675
59,562.45,17.416,0,0,9.5,-49.234,10.833,-31.569,40.351,-66.766,-62.227,32.764,35.868,-56.196,31.77
60,572.94,17.27,0,0,9.5,-48.273,10.361,-30.368,40.229,-65.562,-62.459,32.56,37.251,-53.075,32.527
61,615.46,17.133,0,0,9.5,-49.019,9.2777,-28.577,39.998,-67.318,-63.698,34.192,37.052,-52.057,32.831
62,637.34,17.005,0,0,9.5,-49.078,10.071,-29.858,38.917,-68.216,-63.916,35.195,38.532,-52.265,32.526
63,635.25,16.888,0,0,9.5,-49.33,10.899,-30.404,37.858,-66.948,-62.516,35.54,37.809,-53.141,31.97
64,693.97,16.781,0,0,9.5,-50.516,11.767,-30.435,37.85,-67.205,-64.099,36.761,36.143,-54.387,32.303
65,675.48,16.687,0,0,9.5,-49.193,10.982,-28.733,37.522,-66.078,-66.226,36.267,35.239,-55.501,32.383
66,707.45,16.605,0,0,9.5,-49.67,11.9,-29.395,36.871,-66.484,-66.74,36.477,35.597,-55.704,32.724
67,721.43,16.537,0,0,9.5,-49.448,11.725,-30.162,36.609,-66.43,-65.346,36.116,37.662,-54.44,32.548
68,735.41,16.483,0,0,9.5,-47.735,12.525,-29.913,37.302,-64.601,-67.21,36.802,39.086,-53.741,30.241
69,777.96,16.445,0,0,9.5,-48.745,11.207,-31.239,37.945,-63.056,-67.671,34.676,37.229,-53.667,30.71
70,796.12,16.422,0,0,9.5,-49.185,12.165,-30.337,37.276,-62.629,-68.885,33.543,36.685,-50.578,29.28
71,829.48,16.415,0,0,9.5,-50.095,12.056,-30.105,36.374,-62.872,-69.123,35.509,37.145,-51.791,28.999
72,838.96,16.425,0,0,9.5,-52.309,10.791,-29.924,34.068,-62.586,-67.948,34.916,38.845,-53.579,29.202
73,866.95,16.452,0,0,9.5,-52.565,11.633,-28.961,34.7,-63.813,-68.149,35.016,39.353,-53.374,29.244
74,892.99,16.496,0,0,9.5,-53.949,10.628,-28.029,34.102,-63.035,-66.788,36.755,39.561,-53.627,27.503
75,899.84,16.557,0,0,9.5,-54.336,9.6312,-27.09,35.895,-64.088,-66.549,35.821,36.883,-54.407,29.213
76,927.47,16.636,0,0,9.5,-52.692,10.93,-27.882,34.893,-64.152,-66.885,35.444,34.028,-52.783,29.92
77,974.49,16.732,0,0,9.5,-54.753,11.359,-28.492,33.687,-63.628,-67.471,34.353,33.396,-51.868,29.794
78,965.33,16.844,0,0,9.5,-54.316,11.16,-28.993,33.745,-64.609,-66.977,34.496,35.004,-51.73,28.956
79,985.17,16.973,0,0,9.5,-54.315,10.766,-30.697,34.882,-65.335,-66.939,35.102,34.493,-52.746,28.581
80,1020.4,17.117,0,0,9.5,-54.333,8.3098,-30.605,34.992,-64.502,-67.263,34.456,36.127,-52.159,27.91
81,1040.4,17.277,0,0,9.5,-54.939,10.798,-30.762,35.304,-65.72,-68.439,34.103,36.323,-54.575,27.568
82,1057.6,17.451,0,0,9.5,-55.752,11.737,-30.134,36.538,-64.556,-67.32,31.853,37.07,-56.088,28.527
83,1081.9,17.639,0,0,9.5,-54.757,11.752,-29.987,36.438,-63.325,-67.735,32.094,39.306,-55.818,28.1
84,1113.8,17.839,0,0,8.4444,-54.02,12.928,-29.907,36.999,-63.191,-66.665,32.905,39.036,-56.433,27.452
85,1121.1,18.05,0,0,7.3889,-53.959,13.139,-30.692,36.261,-63.59,-65.182,34.052,38.104,-56.901,28.151
86,1141.9,18.271,0,0,6.3333,-53.594,12.906,-29.614,35.827,-64.086,-65.219,35.18,37.411,-57.733,26.749
87,1171.2,18.501,0,0,5.2778,-53.625,12.358,-29.57,37.258,-64.602,-63.78,33.992,37.322,-56.565,24.492
88,1193.3,18.738,0,0,4.2222,-53.333,11.916,-29.609,38.318,-65.618,-64.764,34.569,37.833,-57.897,24.406
89,1209.6,18.98,0,0,3.1667,-53.763,12.794,-30.218,39.256,-65.359,-64.967,34.909,38.779,-57.027,24.177
