Time,Altitude,AirSpeed,Landing_Gear,Thrust_Rev,Flaps,Param1_1,Param1_2,Param1_3,Param1_4,Param2,Param3_1,Param3_2,Param3_3,Param3_4,Param4
1,2.69,22.192,1,0,9.5,-1.2501,72.69,125.36,54.062,-29.176,50.751,-49.072,-3.5553,94.409,-20.537
2,-8.4825,22.196,1,0,9.5,-1.4655,72.99,124.96,54.982,-29.914,51.576,-48.283,-6.1188,95.269,-20.679
3,-1.9946,22.203,1,0,9.5,-3.2556,74.384,123.86,56.031,-30.528,51.693,-49.694,-7.07,94.383,-19.736
4,15.26,22.214,1,0,9.5,-4.5908,74.956,126,56.422,-31.106,53.067,-48.256,-8.3444,95.993,-19.925
5,-0.34082,22.228,1,0,9.5,-5.7005,76.075,127.07,57.295,-31.316,53.418,-48.54,-9.5045,96.322,-18.725
6,-4.817,22.244,1,0,9.5,-3.6078,75.809,126.02,55.88,-31.415,52.729,-49.413,-7.7244,95.37,-18.625
7,-4.9314,22.263,1,0,9.5,-4.6589,73.54,126.35,56.332,-29.943,52.187,-48.778,-8.7793,93.852,-18.33
8,15.648,22.285,1,0,9.5,-3.4073,73.262,126.81,55.216,-29.748,52.895,-49.596,-8.8585,92.49,-16.514
9,10.379,22.308,1,0,9.5,-3.9981,73.999,126.23,53.729,-29.503,52.655,-48.587,-8.7196,93.367,-17.92
10,-13.167,22.331,1,0,9.5,-4.9027,72.873,127.22,55.576,-30.673,51.188,-49.762,-7.9597,92.205,-17.965
11,6.0726,22.356,1,0,9.5,-5.7619,73.744,126.51,55.179,-30.631,50.844,-50.986,-8.0896,91.769,-18.956
12,8.4629,22.38,1,0,9.5,-6.8577,73.188,126.3,56.358,-31.968,51.986,-53.056,-8.1286,92.595,-17.941
13,-13.832,22.404,1,0,9.5,-9.1839,73.228,128.37,56.811,-32.595,51.718,-51.646,-8.3239,91.633,-18.111
14,5.8523,22.426,1,0,9.5,-8.2221,73.708,128.92,57.34,-32.534,52.193,-51.718,-8.6126,91.334,-18.642
15,15.169,22.446,1,0,9.5,-7.7894,76.207,128.92,57.662,-31.868,52.256,-52.133,-9.211,92.204,-19.01
