Time,Altitude,AirSpeed,Landing_Gear,Thrust_Rev,Flaps,Param1_1,Param1_2,Param1_3,Param1_4,Param2,Param3_1,Param3_2,Param3_3,Param3_4,Param4
1,10.381,12.218,1,0,9.5,108.78,-39.221,33.5,88.575,22.983,28.415,4.8904,49.783,27.346,0.23137
2,-18.018,12.282,1,0,9.5,105.6,-39.181,33.221,88.476,23.406,27.029,3.4281,48.216,26.95,-0.25842
3,-10.548,12.411,1,0,9.5,107.13,-38.197,33.214,87.821,24.601,25.532,3.2655,48.005,27.188,-1.7231
4,-5.8844,12.602,1,0,9.5,106.72,-39.108,33.049,89.435,24.182,26.075,1.8102,50.24,26.555,-2.025
5,2.0952,12.855,1,0,9.5,106.63,-40.12,32.609,89.87,21.783,25.719,1.3023,49.898,26.525,-1.9094
6,-8.465,13.168,1,0,9.5,107.42,-40.365,32.863,89.663,21.457,25.156,3.3087,49.525,24.999,-2.515
7,-1.2281,13.537,1,0,9.5,107.97,-41.649,30.354,89.929,21.038,24.606,2.6504,50.465,25.487,-3.4208
8,9.2803,13.961,1,0,9.5,107.71,-41.22,30.457,90.843,20.033,25.716,2.3953,50.92,25.521,-4.101
9,10.422,14.435,1,0,9.5,107.08,-41.928,31.881,92.525,19.737,24.138,1.2764,50.116,28.447,-3.9367
10,16.648,14.956,1,0,9.5,106.93,-42.837,31.771,94.233,20.442,23.99,1.6882,49.098,27.796,-3.4906
11,6.3614,15.52,1,0,9.5,108.6,-43.599,30.991,95.943,20.162,23.393,1.4868,49.105,28.216,-2.468
12,3.9299,16.122,1,0,9.5,107.12,-44.159,31.614,95.958,19.764,23.129,1.5401,47.202,28.088,-2.5564
13,10.952,16.757,1,0,9.5,107.73,-44.55,32.387,95.761,18.969,23.27,1.6972,47.918,29.187,-2.914
14,-5.2492,17.421,1,0,9.5,109.95,-45.661,30.511,97.442,17.162,22.491,3.9303,48.379,29.567,-3.098
15,0.65556,18.108,1,0,9.5,109.91,-46.577,30.779,98.37,16.462,23.444,3.6575,46.946,29.506,-2.4107
16,13.82,18.813,1,0,9.5,109.37,-46.029,30.804,98.695,15.827,24.428,6.0858,46.497,29.352,-0.99646
17,2.4254,19.529,1,0,9.5,110.21,-45.333,30.344,99.552,15.146,24.908,6.1641,47.678,28.749,0.17874
18,4.5917,20.253,1,0,9.5,110.45,-44.892,28.747,99.307,16.742,24.571,5.2487,47.493,27.733,0.68514
19,3.4535,20.977,1,0,9.5,111.32,-43.841,29.467,97.905,16.153,25.969,5.354,47.674,29.862,1.1731
20,6.5092,21.697,1,0,9.5,111.16,-43.286,29.52,97.367,15.798,26.949,4.9317,50.086,29.906,2.5243
21,5.9613,22.406,1,0,9.5,112.39,-43.917,29.228,97.555,15.401,26.091,6.4458,50.686,31.314,3.2659
22,25.704,23.099,1,0,9.5,112.36,-45.539,28.618,97.021,15.117,24.69,5.4808,52.513,32.36,3.3416
23,16.114,23.771,1,0,9.5,114.33,-46.455,28.94,96.612,15.115,23.617,5.7653,51.228,31.412,2.2007
24,8.3252,24.417,1,0,9.5,113.44,-46.276,27.875,96.96,16.1,24.202,5.5347,50.613,32.687,4.1678
25,7.1314,25.032,1,0,9.5,113.87,-46.382,28.796,94.983,16.146,24.146,5.8849,51.05,30.562,3.6279
26,-7.9437,25.61,1,0,9.5,114.44,-46.496,30.078,94.078,15.92,23.814,4.61,53.79,28.969,3.2792
27,17.549,26.149,1,0,9.5,114.55,-46.169,29.684,94.757,17.174,24.559,2.7674,54.081,29.2,4.6307
28,24.216,26.643,1,0,9.5,114.71,-46.607,30.056,94.153,18.613,26.52,2.1059,54.91,28.319,5.5582
29,25.969,27.09,1,0,9.5,113.76,-45.557,32.042,95.694,17.674,26.361,1.9282,55.367,29.236,5.2194
30,-5.3432,27.485,1,0,9.5,114.16,-44.018,31.599,94.651,19.349,25.37,2.7764,54.667,29.121,6.931
31,-4.0567,27.827,1,0,9.5,113.24,-42.894,29.521,95.361,19.104,26.959,2.8859,54.307,25.968,7.4648
32,35.467,28.113,1,0,9.5,114.03,-41.721,28.993,96.039,19.057,25.631,2.5502,55.267,25.485,6.043
33,2.3472,28.341,1,0,9.5,115.42,-40.232,29.359,94.487,20.187,26.637,3.39,55.714,25.238,4.8415
34,27.568,28.51,1,0,9.5,115.07,-40.707,29.994,92.86,19.282,26.398,1.6418,56.621,24.625,5.6624
35,56.466,28.618,1,0,9.5,114.31,-40.598,28.619,92.293,20.961,24.774,1.2154,57.784,24.957,5.7893
36,64.431,28.666,1,0,9.5,113.93,-39.198,28.169,93.73,19.46,25.541,1.0257,55.922,25.617,4.4553
37,97.378,28.654,1,0,9.5,113.86,-38.071,28.386,93.876,19.246,25.907,-0.12396,55.535,25.593,2.8814
38,123.77,28.581,1,0,9.5,114.9,-39.319,29.389,93.292,18.675,25.89,-1.3715,55.318,25.644,2.123
39,140,28.45,1,0,9.5,114.02,-37.329,30.218,92.685,17.591,26.481,0.55702,57.778,24.365,1.8779
40,158.74,28.262,0,0,9.5,114,-38.319,30.598,91.122,17.708,30.062,-1.2697,58.346,24.328,3.5795
41,193.62,28.019,0,0,9.5,111.95,-39.053,31.601,88.825,18.431,30.007,-1.0846,57.744,24.611,2.2766
42,195.81,27.723,0,0,9.5,113.09,-38.239,31.482,89.29,19.728,29.855,-0.084573,58.169,23.991,0.77841
43,228.55,27.377,0,0,9.5,112.24,-38.633,32.249,89.556,19.243,30.248,1.0402,58.724,23.665,1.7584
44,247.8,26.984,0,0,9.5,112.47,-37.667,32.039,88.975,18.079,31.185,1.1961,58.203,25.525,0.69653
45,268.32,26.548,0,0,9.5,112.18,-36.754,32.601,88.932,19.298,30.172,3.2435,58.178,25.011,2.1254
46,286.47,26.074,0,0,9.5,113.47,-37.433,32.169,88.042,20.808,31.522,3.0383,58.033,23.168,1.1502
47,319.22,25.564,0,0,9.5,114.13,-38.159,32.07,87.079,22.18,31.292,4.1798,58.139,24.447,1.6396
48,343.23,25.024,0,0,9.5,115.91,-38.29,32.579,87.956,23.014,30.59,2.3857,59.678,23.982,2.5729
49,360.53,24.457,0,0,9.5,114.36,-38.118,31.422,88.795,24.617,32.121,2.0476,60.943,24.118,2.9231
50,387.67,23.87,0,0,9.5,113.07,-37.329,31.217,87.728,24.029,32.86,2.5355,61.097,23.793,3.2564
51,422.23,23.267,0,0,9.5,113.21,-36.677,31.475,88.183,25.193,33.585,3.2043,61.769,25.072,4.8013
52,410,22.653,0,0,9.5,112.64,-35.605,32.688,87.992,26.318,32.457,3.1239,60.529,24.463,3.6017
