Time,Altitude,AirSpeed,Landing_Gear,Thrust_Rev,Flaps,Param1_1,Param1_2,Param1_3,Param1_4,Param2,Param3_1,Param3_2,Param3_3,Param3_4,Param4
1,1.6051,22.875,1,0,9.5,81.579,-0.15938,22.478,78.02,-2.712,-8.4067,31.823,-42.725,31.25,-71.327
2,3.6283,22.868,1,0,9.5,82.908,0.26943,22.71,80.541,-2.198,-7.0904,33.66,-41.549,33.212,-72.543
3,10.43,22.855,1,0,9.5,82.185,-1.238,22.532,81.603,-0.73154,-7.7819,32.753,-41.578,34.269,-73.301
4,-9.0589,22.836,1,0,9.5,81.805,-1.7848,22.551,82.361,0.46101,-7.7479,32.324,-41.661,33.018,-72.379
5,-10.271,22.81,1,0,9.5,81.843,-2.9559,21.804,82.428,0.26878,-7.6297,30.629,-40.954,32.488,-71.979
6,15.879,22.778,1,0,9.5,81.004,-3.6078,20.633,81.793,-1.8295,-8.2441,31.421,-41.583,32.418,-71.46
7,-6.1047,22.739,1,0,9.5,79.681,-4.1235,21.632,83.114,-2.2131,-7.8588,30.848,-41.478,32.796,-70.84
8,2.5065,22.695,1,0,9.5,79.565,-4.1761,20.423,81.885,-3.7073,-6.6545,31.069,-44.045,31.027,-71.434
9,-4.135,22.645,1,0,9.5,78.806,-3.8572,19.019,82.545,-4.4587,-5.9027,29.453,-44.607,30.643,-69.758
10,14.541,22.59,1,0,9.5,79.253,-2.3034,19.456,83.786,-3.5654,-6.336,28.896,-42.722,31.14,-69.845
11,-4.9649,22.529,1,0,9.5,79.876,-2.2154,17.407,82.081,-3.4069,-8.7077,28.058,-42.589,30.355,-70.463
12,15.172,22.464,1,0,9.5,78.88,-2.7369,17.431,82.059,-4.3256,-7.2645,28.856,-42.802,28.831,-68.889
13,-18.069,22.394,1,0,9.5,78.58,-3.5042,18.238,82.163,-4.8949,-7.7599,29.414,-44.582,29.145,-69.269
14,7.6263,22.32,1,0,9.5,79.924,-2.6091,19.436,81.231,-4.764,-8.8237,30.364,-44.731,27.016,-70.388
15,4.1175,22.242,1,0,9.5,78.271,-0.50714,19.413,82.163,-5.6909,-9.0144,30.251,-44.767,26.435,-71.422
16,5.3726,22.16,1,0,9.5,78.176,0.55859,19.3,81.078,-5.1723,-10.688,29.046,-45.696,27.54,-70.591
17,0.09593,22.076,1,0,9.5,76.139,0.28725,18.841,82.027,-4.0829,-9.9753,30.276,-45.152,28.113,-71.315
18,14.6,21.989,1,0,9.5,76.56,-1.4264,18.335,81.749,-5.8893,-9.9251,29.044,-45.779,27.377,-71.111
19,-12.387,21.9,1,0,9.5,75.605,-2.2574,17.53,83.538,-4.6631,-9.1698,29.721,-45.939,28.888,-70.482
20,20.728,21.809,1,0,9.5,75.39,-2.1395,17.445,84.301,-5.1135,-10.39,32.366,-46.583,29.568,-70.29
21,1.1517,21.717,1,0,9.5,74.824,-1.5806,17.396,84.544,-5.8213,-11.441,32.149,-44.601,31.236,-69.234
22,11.272,21.624,1,0,9.5,75.056,-1.4216,17.05,84.945,-5.4235,-11.078,31.799,-44.518,31.716,-69.495
23,5.2809,21.531,1,0,9.5,74.362,-3.0063,17.3,87.118,-6.1955,-13.163,32.211,-45.413,32.707,-68.321
24,27.745,21.439,1,0,9.5,75.945,-3.0754,17.519,86.593,-4.7877,-12.628,30.253,-45.702,33.611,-67.536
25,15.702,21.347,1,0,9.5,76.216,-3.04,18.902,89.013,-4.1088,-12.912,31.688,-46.195,33.876,-68.498
