Time,Altitude,AirSpeed,Landing_Gear,Thrust_Rev,Flaps,Param1_1,Param1_2,Param1_3,Param1_4,Param2,Param3_1,Param3_2,Param3_3,Param3_4,Param4
1,5.2408,20.195,1,0,9.5,1.1543,-29.025,8.1553,49.397,-77.765,-26.936,-9.332,-3.6454,-1.674,10.413
2,9.1036,20.208,1,0,9.5,1.4281,-28.217,9.1682,48.441,-78.069,-27.637,-10.042,-3.0665,-1.5361,9.4728
3,9.0073,20.234,1,0,9.5,1.8943,-27.37,8.8828,48.271,-77.179,-27.212,-10.476,-3.062,-1.5883,9.8306
4,6.4947,20.272,1,0,9.5,3.652,-28.217,8.7241,48.256,-77.283,-27.971,-10.971,-5.4496,-0.33604,8.6423
5,-9.7194,20.324,1,0,9.5,3.002,-27.522,8.6699,47.918,-77.848,-27.372,-11.131,-5.6825,1.1853,8.7529
6,-18.234,20.387,1,0,9.5,2.2864,-27.581,8.7685,48.8,-78.917,-27.584,-9.3303,-5.9774,0.65342,8.9599
7,-12.11,20.463,1,0,9.5,2.638,-28.447,8.8671,47.493,-78.422,-27.202,-9.118,-5.8873,-0.60791,9.8948
8,11.287,20.55,1,0,9.5,1.3486,-26.92,8.8311,48.528,-80.205,-27.333,-8.922,-5.3485,0.64964,10.238
9,-0.76845,20.647,1,0,9.5,3.5522,-25.943,8.742,49.672,-80.099,-27.431,-8.227,-5.034,0.57029,10.122
10,14.191,20.755,1,0,9.5,2.4729,-25.3,7.4448,49.549,-81.022,-26.445,-8.7135,-5.6007,2.0543,9.7089
11,1.7692,20.872,1,0,9.5,1.3135,-22.871,6.9723,52.683,-79.587,-25.272,-9.8653,-4.9933,2.1947,8.9387
12,1.4455,20.998,1,0,9.5,-0.67689,-22.771,6.525,53.329,-81.172,-25.75,-9.6541,-5.0911,1.4141,9.2351
13,6.777,21.133,1,0,9.5,-2.8993,-21.956,7.0629,52.054,-80.558,-24.224,-8.5941,-5.544,1.9833,11.574
14,1.3074,21.274,1,0,9.5,-3.2325,-22.14,5.7764,50.503,-81.058,-24.572,-8.3004,-3.661,0.23547,11.755
15,-10.857,21.422,1,0,9.5,-2.7228,-21.159,5.7511,51.781,-80.289,-25.404,-8.8369,-3.2183,1.4022,11.448
16,-8.835,21.576,1,0,9.5,-1.8286,-20.789,5.6484,51.641,-78.942,-25.332,-8.2955,-3.7876,2.3428,9.2072
17,11.671,21.734,1,0,9.5,0.012572,-20.07,6.7014,50.954,-80.065,-24.404,-9.5453,-4.0787,2.4443,8.7716
18,7.675,21.896,1,0,9.5,1.108,-19.901,7.824,52.323,-79.148,-23.629,-11.068,-3.4566,0.57611,8.643
19,1.4801,22.061,1,0,9.5,0.95713,-19.961,8.3237,51.114,-78.211,-22.82,-11.475,-4.4319,1.2369,9.8386
20,18.075,22.227,1,0,9.5,2.9348,-20.17,7.7825,49.347,-75.678,-24.081,-11.854,-3.486,-0.53759,8.5296
21,1.6751,22.395,1,0,9.5,4.3912,-19.398,7.1843,47.806,-74.707,-24.88,-10.468,-3.3419,-0.078162,7.69
22,1.1043,22.563,1,0,9.5,4.9576,-19.163,8.8119,46.637,-73.206,-24.969,-9.4595,-2.7884,1.7309,7.6168
23,13.939,22.73,1,0,9.5,3.4426,-18.609,7.8044,45.463,-72.057,-23.326,-9.3764,-2.2249,3.2909,6.8575
24,2.2492,22.896,1,0,9.5,3.3055,-19.94,9.0991,44.213,-74.131,-22.642,-9.677,-2.1973,3.2461,5.1739
25,9.4559,23.06,1,0,9.5,2.8343,-18.736,9.1008,42.555,-72.891,-22.397,-11.691,-1.9178,1.7142,5.0076
