Time,Altitude,AirSpeed,Landing_Gear,Thrust_Rev,Flaps,Param1_1,Param1_2,Param1_3,Param1_4,Param2,Param3_1,Param3_2,Param3_3,Param3_4,Param4
1,17.247,21.904,1,0,9.5,39.385,28.781,-111.65,-13.713,2.185,-8.3417,4.5537,2.4704,25.424,-39.909
2,8.6698,21.889,1,0,9.5,40.375,30.157,-112.6,-12.807,2.283,-9.5432,4.0475,2.6775,24.759,-39.806
3,7.5046,21.86,1,0,9.5,38.839,29.498,-112.6,-13.414,2.5302,-9.0617,3.6459,2.103,25.291,-39.922
4,-3.6496,21.817,1,0,9.5,37.15,29.438,-111.8,-12.796,2.586,-10.527,3.7661,2.0195,23.831,-38.971
5,1.458,21.759,1,0,9.5,36.844,30.053,-112.49,-11.032,3.0506,-10.742,3.7041,1.5924,22.174,-38.246
6,10.021,21.688,1,0,9.5,37.787,29.786,-113.26,-11.767,4.3802,-11.805,2.745,1.9765,21.587,-38.195
7,5.1254,21.605,1,0,9.5,37.999,29.974,-115.38,-11.857,3.9431,-12.103,0.77607,0.99459,22.177,-37.864
8,1.0091,21.509,1,0,9.5,36.442,31.291,-113.72,-12.797,5.6399,-12.57,1.5205,1.7856,23.345,-37.11
9,2.0995,21.401,1,0,9.5,37.608,32.46,-112.84,-12.94,5.1446,-13.366,0.58275,1.4449,22.862,-35.397
10,-12.402,21.283,1,0,9.5,37.775,31.537,-113.89,-12.642,6.0542,-14.048,-0.71999,0.81389,23.888,-34.666
11,5.6228,21.155,1,0,9.5,36.938,31.115,-115.66,-13.281,5.1741,-13.995,-1.1103,-0.48349,22.572,-34.757
12,2.2634,21.019,1,0,9.5,37.153,30.182,-114.85,-12.406,6.2772,-14.011,-0.44395,-1.5244,22.094,-35.258
13,-2.7083,20.875,1,0,9.5,36.229,30.527,-115.7,-11.993,5.4538,-11.853,0.70795,-0.96695,21.21,-36.223
14,-8.2993,20.724,1,0,9.5,36.147,30.84,-116.56,-13.586,5.7333,-14.588,0.097908,0.072839,20.316,-35.513
15,14.435,20.568,1,0,9.5,37.367,30.72,-115.93,-14.064,6.4255,-13.042,-1.0889,1.2639,20.067,-36.059
16,20.367,20.408,1,0,9.5,39.93,29.531,-116.42,-13.591,7.4321,-11.477,-1.0645,0.72915,21.048,-35.556
17,4.818,20.245,1,0,9.5,38.73,31.531,-117.2,-12.984,7.7512,-12.883,-0.88258,0.48698,21.878,-34.411
18,16.384,20.081,1,0,9.5,40.085,30.943,-117.33,-11.322,6.9015,-13.957,-1.7134,1.0545,22.508,-35.413
19,1.032,19.916,1,0,9.5,39.508,32.577,-116.69,-10.184,7.9254,-14.353,0.018762,1.3356,23.092,-36.289
20,8.58,19.752,1,0,9.5,39.871,33.605,-115.39,-9.8576,8.0102,-15.594,0.39914,1.763,23.974,-37.178
21,26.269,19.59,1,0,9.5,40.021,33.565,-114.5,-9.2251,7.4812,-16.826,-0.020686,3.2792,23.707,-40.068
22,10.258,19.432,1,0,9.5,39.627,34.491,-115.42,-8.7899,6.2865,-18.111,0.69976,3.9126,22.945,-39.254
23,12.834,19.278,1,0,9.5,40.788,33.329,-116.11,-8.8608,5.906,-16.837,2.2582,3.4425,21.566,-39.267
24,36.909,19.129,1,0,9.5,39.651,35.871,-114.91,-9.04,6.4463,-17.728,1.3286,3.9865,21.236,-40.089
25,18.918,18.988,1,0,9.5,37.058,36.687,-115.94,-9.1189,7.729,-18.144,0.44911,2.1295,20.768,-42.622
26,7.617,18.853,1,0,9.5,37.437,37.349,-116.93,-6.9004,8.6888,-17.517,0.46453,0.9133,21.38,-43.04
27,5.0704,18.728,1,0,9.5,38.379,37.394,-117.26,-8.3758,10.133,-18.067,0.42269,-0.38372,23.326,-44.206
