Time,Altitude,AirSpeed,Landing_Gear,Thrust_Rev,Flaps,Param1_1,Param1_2,Param1_3,Param1_4,Param2,Param3_1,Param3_2,Param3_3,Param3_4,Param4
1,19.832,19.261,1,0,9.5,90.505,-4.2657,-35.584,-54.248,-75.387,95.496,-26.687,15.575,-2.7049,42.141
2,9.5128,19.259,1,0,9.5,90.257,-3.6327,-34.994,-53.257,-74.268,95.558,-26.753,15.514,-1.1367,44.819
3,6.9395,19.255,1,0,9.5,90.379,-1.3268,-35.836,-51.47,-77.119,96.005,-26.739,14.754,-3.0133,45.216
4,21.852,19.249,1,0,9.5,89.506,-2.968,-35.73,-51.532,-79.6,95.202,-26.174,14.626,-3.0042,45.154
5,-5.4601,19.241,1,0,9.5,88.397,-2.2686,-36.916,-52.084,-79.485,95.678,-26.693,14.202,-2.3584,44.843
6,-8.6728,19.232,1,0,9.5,87.587,-1.9943,-36.254,-52.544,-80.156,96.526,-26.155,13.891,-1.3605,45.762
7,-5.657,19.222,1,0,9.5,86.73,-2.4554,-34.949,-53.156,-77.63,96.561,-25.374,12.562,-1.6562,44.296
8,6.751,19.211,1,0,9.5,85.668,-3.3005,-34.842,-50.894,-77.543,94.482,-26.157,11.131,-3.7089,44.403
9,-7.0945,19.2,1,0,9.5,84.37,-2.0886,-33.456,-50.636,-77.798,94.603,-24.286,12.315,-4.4927,45.58
10,-5.5208,19.19,1,0,9.5,86.623,-3.1414,-33.017,-51.036,-77.431,94.732,-24.742,12.771,-4.6516,46.642
11,5.8364,19.181,1,0,9.5,86.477,-3.3398,-31.837,-50.761,-77.437,94.738,-24.075,12.807,-2.3633,45.86
12,1.2876,19.173,1,0,9.5,86.275,-2.9907,-31.632,-49.395,-77.277,95.176,-21.843,11.773,-1.7424,45.41
13,-7.4783,19.168,1,0,9.5,87.589,-3.0688,-31.316,-48.768,-76.767,95.011,-21.34,12.614,-0.69121,46.322
14,3.4406,19.166,1,0,9.5,85.859,-3.3725,-29.528,-49.317,-75.892,94.799,-21.288,10.292,0.43793,45.991
15,16.081,19.168,1,0,9.5,84.93,-4.0319,-29.625,-48.221,-76.082,94.284,-21.598,11.671,0.59943,44.935
16,2.7523,19.175,1,0,9.5,84.286,-3.5951,-28.02,-48.483,-76.981,93.167,-20.745,12.889,0.17787,44.767
17,-11.624,19.186,1,0,9.5,84.581,-3.8595,-27.736,-47.57,-76.747,95.546,-20.486,13.263,-0.15433,45.536
18,2.0282,19.204,1,0,9.5,85.55,-5.7255,-27.682,-47.972,-76.894,94.306,-21.227,12.785,1.0265,45.553
19,7.0166,19.228,1,0,9.5,86.413,-5.5549,-28.031,-47.858,-77.93,92.591,-20.358,12.929,1.8317,46.387
20,6.8327,19.259,1,0,9.5,84.888,-5.7866,-27.34,-47.118,-77.749,90.58,-20.99,12.146,1.1676,47.499
21,13.832,19.297,1,0,9.5,84.79,-4.7225,-26.883,-47.008,-77.588,89.786,-21.754,12.144,1.7333,46.6
22,14.803,19.343,1,0,9.5,84.12,-2.2091,-26.687,-45.875,-78.025,87.358,-21.56,11.208,0.60009,46.804
23,7.7153,19.398,1,0,9.5,83.665,-1.9216,-27.098,-46.704,-78.426,85.83,-18.95,10.352,1.4357,45.398
24,30.72,19.462,1,0,9.5,83.268,-1.3448,-27.683,-47.207,-77.69,86.364,-18.895,10.277,2.285,44.706
25,5.7168,19.535,1,0,9.5,83.236,-1.3092,-25.827,-47.253,-78.843,85.288,-18.624,12.482,2.9128,45.118
26,18.643,19.616,1,0,9.5,82.226,-1.0896,-23.376,-47.859,-77.363,85.683,-18.984,11.13,0.7398,46.289
27,12.9,19.708,1,0,9.5,80.519,-1.0288,-24.25,-48.293,-75.758,85.749,-18.254,12.039,1.0371,46.952
28,0.33859,19.808,1,0,9.5,80.796,-0.75974,-24.636,-46.3,-76.239,87.214,-19.899,13.302,0.76268,46.867
29,6.3713,19.917,1,0,9.5,79.708,-0.58421,-25.144,-46.92,-77.305,86.349,-18.214,13.058,0.3114,46.365
30,4.1574,20.036,1,0,9.5,79.896,-0.37464,-25.47,-46.134,-77.227,85.664,-18.542,12.249,0.6572,45.738
31,13.388,20.163,1,0,9.5,80.13,-1.1723,-25.705,-46.683,-77.786,86.939,-17.244,11.067,0.37145,45.768
32,12.673,20.298,1,0,9.5,79.558,-1.748,-27.555,-47.714,-77.622,86.587,-17.806,12.513,1.0955,44.378
33,16.522,20.441,1,0,9.5,79.311,-2.4857,-29.398,-49.037,-79.462,86.488,-18.972,12.301,1.0361,45.222
34,29.867,20.591,1,0,9.5,80.927,-3.64,-28.831,-48.26,-81.451,86.526,-17.654,11.994,-0.32491,45.856
35,51.941,20.748,1,0,9.5,82.677,-3.7241,-28.855,-46.648,-82.321,86.504,-16.952,9.9052,-0.86819,43.815
