Time,Altitude,AirSpeed,Landing_Gear,Thrust_Rev,Flaps,Param1_1,Param1_2,Param1_3,Param1_4,Param2,Param3_1,Param3_2,Param3_3,Param3_4,Param4
1,1.8344,19.738,1,0,9.5,-26.862,-60.317,-8.2722,31.772,-80.132,-75.195,5.9712,-7.8712,-21.745,20.107
2,0.6248,19.722,1,0,9.5,-26.959,-61.132,-10.563,31.769,-79.743,-74.438,5.2175,-7.054,-23.285,20.044
3,-8.5649,19.691,1,0,9.5,-26.261,-59.947,-9.972,30.695,-79.702,-75.205,5.094,-7.0588,-23.304,21.208
4,-2.5191,19.645,1,0,9.5,-24.933,-59.112,-9.0202,30.657,-79.941,-73.958,4.7284,-7.5769,-23.73,19.966
5,-2.9859,19.585,1,0,9.5,-25.545,-58.364,-8.6157,31.901,-79.568,-74.493,5.6027,-7.5686,-24.824,20.629
6,4.4753,19.511,1,0,9.5,-23.689,-59.565,-9.5835,31.539,-80.122,-74.995,6.2563,-5.4407,-26.083,22.216
7,7.1072,19.425,1,0,9.5,-23.85,-60.209,-8.5563,34.402,-80.83,-74.434,7.2473,-4.3065,-24.733,22.061
8,-13.942,19.328,1,0,9.5,-25.421,-61.499,-7.7973,35.454,-81.523,-75.941,6.2547,-5.9079,-26.459,23.112
9,3.7258,19.222,1,0,9.5,-25.131,-61.601,-5.3315,35.437,-82.065,-74.796,7.2797,-2.7555,-26.379,21.971
10,6.04,19.107,1,0,9.5,-24.768,-61.576,-4.982,33.398,-81.788,-73.068,7.4791,-3.8457,-26.406,23.203
11,13.583,18.986,1,0,9.5,-24.324,-63.599,-4.0926,34.27,-82.802,-72.932,7.606,-2.8929,-25.642,23.324
12,23.201,18.86,1,0,9.5,-25.138,-63.238,-3.6961,34.295,-82.838,-72.526,6.8126,-2.5777,-26.173,24.187
13,13.491,18.732,1,0,9.5,-25.052,-63.534,-3.6867,34.279,-82.853,-71.26,5.6124,-3.4379,-24.198,24.415
14,10.041,18.604,1,0,9.5,-25.08,-63.578,-3.1046,34.358,-82.39,-73.06,5.7396,-2.8448,-25.489,24.356
