Time,Altitude,AirSpeed,Landing_Gear,Thrust_Rev,Flaps,Param1_1,Param1_2,Param1_3,Param1_4,Param2,Param3_1,Param3_2,Param3_3,Param3_4,Param4
1,1.0698,12.981,1,0,9.5,2.2744,36.463,63.959,39.818,16.516,64.685,16.541,70.474,-3.6787,-1.1553
2,-10.26,13.014,1,0,9.5,1.1752,35.572,63.744,38.775,16.349,62.179,15.064,69.011,-4.3732,-1.2242
3,-10.198,13.081,1,0,9.5,2.6865,36.332,64.488,38.859,15.758,62.055,15.707,70.119,-3.9679,-0.48333
4,-7.5315,13.181,1,0,9.5,1.9841,35.16,64.04,39.988,15.069,62.46,14.966,70.952,-3.1809,-2.2992
5,8.0863,13.312,1,0,9.5,1.3121,34.512,65.235,39.71,15.203,62.068,15.619,70.997,-3.8945,-2.3156
6,1.0707,13.474,1,0,9.5,1.277,34.172,66.099,38.926,15.831,62.583,16.971,71.137,-3.9867,-2.6432
7,-0.45103,13.666,1,0,9.5,1.5271,35.21,67.044,38.216,15.329,62.652,18.599,72.614,-4.0181,-2.803
8,0.21443,13.885,1,0,9.5,2.0929,33.734,66.375,38.984,16.46,63.52,20.093,75.815,-2.9594,-3.9966
9,-0.13436,14.13,1,0,9.5,2.937,35.031,66.201,38.893,17.099,62.762,20.614,74.597,-3.7548,-3.6232
10,-0.0094331,14.4,1,0,9.5,3.0336,37.41,65.122,39.294,16.138,63.822,20.865,74.395,-2.2145,-3.1117
11,-3.5276,14.69,1,0,9.5,0.12457,37.262,64.45,38.891,16.016,64.135,20.533,75.534,-2.7799,-3.7561
12,11.449,15.001,1,0,9.5,0.11778,38.072,66.178,38.213,16.892,63.757,20.764,76.027,-3.3184,-4.4545
13,15.353,15.327,1,0,9.5,1.1197,36.703,66.565,38.48,17.379,64.675,21.35,76.758,-4.0961,-5.9057
14,-2.735,15.668,1,0,9.5,1.2546,37.173,65.504,38.498,16.592,65.993,23.815,77.1,-2.913,-7.352
15,3.9552,16.021,1,0,9.5,0.93142,36.266,64.712,39.192,16.286,66.754,22.961,74.57,-2.8931,-7.1315
16,19.37,16.382,1,0,9.5,1.256,38.045,64.064,40.522,15.606,65.928,22.905,75.032,-1.2812,-8.697
17,21.475,16.748,1,0,9.5,2.0884,36.363,65.978,39.992,16.623,66.057,25.828,74.142,-1.3893,-8.8504
18,15.9,17.118,1,0,9.5,1.6982,37.074,67.014,40.53,17.218,67.39,25.702,74.029,-2.4854,-7.8101
19,-7.7339,17.487,1,0,9.5,1.9483,37.913,66.188,40.704,16.038,66.74,25.835,73.907,-4.1555,-7.7525
20,30.093,17.853,1,0,9.5,1.1744,38.443,67.138,39.719,18.038,66.185,25.686,74.571,-5.2899,-9.113
21,-0.41525,18.215,1,0,9.5,3.2286,37.373,67.2,37.451,17.636,65.233,23.952,74.715,-4.977,-8.1164
22,17.314,18.567,1,0,9.5,3.0699,37.99,67.606,38.924,18.428,64.698,26.684,75.14,-5.6203,-8.2133
23,-0.034898,18.91,1,0,9.5,2.6124,38.397,68.051,38.227,19.225,64.254,27.194,75.487,-5.8198,-9.1282
24,3.5354,19.239,1,0,9.5,4.5862,39.584,67.261,37.6,19.866,64.27,27.539,74.908,-5.269,-7.7815
25,3.4916,19.553,1,0,9.5,6.1302,38.31,67.474,37.251,20.071,64.934,27.3,75.446,-3.6352,-9.4901
26,-2.8563,19.85,1,0,9.5,7.2,36.747,66.673,39.396,20.619,66.193,25.61,74.841,-4.1115,-10.097
27,17.431,20.129,1,0,9.5,6.7938,35.275,66.034,38.452,21.796,66.563,25.854,74.493,-3.777,-10.934
28,35.226,20.386,1,0,9.5,6.636,35.819,65.356,37.734,21.437,66.554,25.37,72.922,-3.7557,-12.609
29,36.941,20.622,1,0,9.5,5.4709,35.404,64.247,36.91,21.168,67.408,24.078,74.531,-4.6697,-12.301
30,85.298,20.836,1,0,9.5,5.9146,36.564,63.617,36.779,20.055,68.2,24.763,72.474,-5.2148,-11.201
31,67.234,21.025,1,0,9.5,5.6734,35.41,62.815,40.052,19.852,69.917,24.003,71.455,-6.011,-12.072
32,112.33,21.191,1,0,9.5,6.6638,34.093,62.477,38.48,19.103,70.522,22.691,69.264,-7.3165,-10.447
33,148.79,21.332,1,0,9.5,8.2932,31.057,64.86,37.654,19.458,72.177,22.333,69.447,-6.468,-8.5752
34,175.66,21.449,0,0,9.5,7.1801,32.467,65.589,37.943,19.547,71.264,22.54,67.915,-7.4989,-9.2267
35,173.79,21.542,0,0,9.5,7.0198,33.759,65.54,37.279,19.661,70.876,23.783,68.282,-6.9352,-10.41
36,232.08,21.611,0,0,9.5,7.9895,33.758,68.076,36.73,20.397,70.833,23.947,69.584,-6.8901,-10.557
37,230.2,21.657,0,0,9.5,8.8211,34.284,68.094,37.968,18.574,70.262,25.549,68.337,-7.5139,-10.024
38,267.45,21.681,0,0,9.5,6.8437,35.745,67.731,38.951,18.477,72.219,24.467,69.18,-7.5234,-10.591
39,283.65,21.685,0,0,9.5,4.4013,37.132,65.984,39.389,19.782,72.949,24.247,67.697,-7.5708,-10.294
40,323.04,21.67,0,0,9.5,5.3794,36.387,64.617,39.21,20.426,72.084,24.404,67.944,-7.0998,-10.102
41,343.91,21.638,0,0,9.5,5.6279,36.207,64.306,40.667,21.522,71.329,24.408,67.579,-7.9116,-11.047
42,376.29,21.589,0,0,9.5,3.1321,35.872,64.375,40.933,21.325,70.026,22.789,66.251,-7.5871,-11.519
43,391.29,21.528,0,0,9.5,4.0056,35.322,64.368,41.62,20.861,70.938,20.055,66.707,-8.1037,-11.941
44,425.96,21.454,0,0,9.5,3.4313,36.092,64.26,42.94,20.213,70.479,18.081,65.974,-9.9067,-12.443
45,461.53,21.372,0,0,9.5,3.2274,35.685,65.394,43.005,20.038,70.257,17.202,64.23,-8.0262,-11.259
46,497.63,21.282,0,0,9.5,1.7071,36.11,65.81,43.484,22.359,69.982,17.674,63.109,-8.4975,-12.569
47,514.86,21.188,0,0,9.5,1.4526,36.961,64.407,43.846,21.464,70.126,19.183,62.652,-7.5325,-12.846
48,525.83,21.091,0,0,9.5,3.5898,37.022,63.914,44.031,21.089,69.319,19.596,61.648,-6.88,-12.959
49,567.97,20.994,0,0,9.5,5.801,37.136,65.498,42.776,19.309,70.508,18.907,62.356,-5.8922,-12.991
50,594.78,20.9,0,0,9.5,5.7748,36.872,65.1,41.285,19.217,69.916,19.584,63.317,-6.5623,-15.387
51,604.49,20.811,0,0,9.5,6.236,36.637,65.28,40.982,19.37,69.347,20.918,61.36,-7.5589,-14.485
52,626.78,20.729,0,0,9.5,7.6069,36.705,64.584,41.489,18.855,66.929,20.667,60.73,-6.6943,-15.371
53,653.92,20.655,0,0,9.5,7.5605,36.92,65.131,43.72,19.215,66.957,20.692,58.641,-8.3136,-15.521
54,676.74,20.593,0,0,9.5,7.3852,36.637,64.038,43.45,19.152,65.627,21.468,58.144,-7.5369,-14.373
55,702.12,20.543,0,0,9.5,6.2046,36.561,64.039,42.946,19.294,65.922,21.592,58.217,-5.8936,-15.622
56,730.6,20.508,0,0,9.5,5.6314,38.796,64.473,43.016,17.146,67.245,21.287,58.419,-5.5208,-15.984
57,768.38,20.489,0,0,9.5,6.08,38.062,65.49,42.146,16.047,65.384,21.281,59.633,-6.0836,-17.397
58,784.45,20.487,0,0,9.5,6.6174,38.824,63.982,40.305,14.807,64.071,21.298,59.131,-3.8804,-15.407
59,811.98,20.504,0,0,9.5,6.5064,40.668,62.588,40.313,15.193,64.591,21.873,58.28,-5.229,-14.264
60,840.11,20.539,0,0,9.5,7.4295,41.328,62.49,40.121,15.216,63.839,21.034,57.073,-6.7547,-14.253
61,872.31,20.594,0,0,9.5,7.2438,42.778,63.644,39.81,15.371,62.774,20.062,56.427,-6.2027,-13.118
62,903.72,20.669,0,0,9.5,6.765,41.64,64.115,39.389,17.1,63.614,20.382,56.18,-7.5766,-14.005
63,930.61,20.763,0,0,9.5,9.4009,42.376,63.559,40.845,19.338,63.162,19.953,54.692,-9.5832,-13.878
64,945.59,20.877,0,0,9.5,12.243,44.016,63.213,41.422,18.898,62.798,19.765,54.433,-8.7278,-15.26
65,951.28,21.01,0,0,9.5,12.78,44.366,63.76,42.446,17.648,60.747,19.06,53.796,-6.9584,-14.985
66,987.6,21.162,0,0,9.5,13.509,44.806,64.682,43.813,18.704,61.337,20.579,53.227,-7.8545,-14.082
67,1021.2,21.331,0,0,9.5,12.52,44.673,64.291,42.172,20.112,60.268,21.017,54.048,-7.2404,-15.198
68,1036.5,21.516,0,0,9.5,12.542,47.195,64.803,41.951,18.94,59.266,21.019,52.545,-7.4171,-15.114
69,1087.8,21.716,0,0,9.5,12.345,46.083,64.616,41.132,16.862,60.089,21.183,53.209,-6.1594,-14.439
70,1106.3,21.929,0,0,8.4444,12.128,46.094,63.988,41.889,16.406,61.395,20.46,54.039,-5.4231,-15.281
71,1110.7,22.153,0,0,7.3889,11.59,47.146,63.105,42.14,15.96,61.316,21.148,53.289,-6.1763,-14.343
72,1145.7,22.386,0,0,6.3333,10.68,46.729,62.77,42.96,16.181,59.415,21.134,52.474,-7.0277,-14.165
73,1176.8,22.626,0,0,5.2778,9.3797,46.508,63.26,42.184,16.155,61.074,20.167,52.744,-8.6634,-15.075
74,1199.6,22.871,0,0,4.2222,7.1455,45.183,62.427,42.37,16.987,61.812,20.55,53.192,-6.7194,-15.193
75,1229.5,23.117,0,0,3.1667,7.9729,43.577,60.823,43.284,17.701,61.021,20.025,51.694,-7.0993,-17.068
76,1263.4,23.364,0,0,2.1111,9.4882,43.718,61.96,42.515,17.979,61.683,20.699,49.2,-7.0961,-16.122
77,1291.3,23.607,0,0,1.0556,8.513,44.537,61.992,42.196,17.523,62.098,22.17,48.431,-7.5115,-16.731
78,1291.4,23.845,0,0,0,7.6172,46.205,61.135,40.803,17.066,62.817,22.557,49.404,-7.8122,-18.133
79,1341.6,24.074,0,0,0,6.8829,46.777,60.68,40.456,18.98,63.441,22.208,48.859,-6.4035,-18.706
80,1348.3,24.293,0,0,0,6.8967,46.506,61.625,39.493,20.345,63.374,22.922,47.576,-5.0078,-19.037
81,1395.9,24.499,0,0,0,8.2462,46.51,62.329,39.881,19.002,62.776,24.971,47.389,-5.2819,-18.769
82,1424.8,24.689,0,0,0,8.6395,47.172,62.843,41.115,21.16,62.341,25.383,49.393,-5.058,-20.035
83,1459.7,24.861,0,0,0,9.9468,47.832,63.73,40.212,20.569,62.734,25.174,49.651,-5.9066,-18.622
84,1457.2,25.013,0,0,0,10.685,48.35,63.626,41.516,19.5,64.257,27.684,49.294,-4.7294,-19.287
85,1472.4,25.143,0,0,0,11.555,48.143,63.357,39.909,20.711,64.243,26.616,50.712,-4.113,-18.516
86,1512.4,25.249,0,0,0,11.128,49.45,62.816,40.441,19.564,64.169,28.908,52.459,-3.2278,-16.593
87,1543.1,25.329,0,0,0,11.72,49.385,61.811,40.781,18.631,63.926,29.951,50.845,-2.4268,-16.585
88,1554.3,25.382,0,0,0,12.015,49.032,61.337,41.071,19.074,64.011,28.696,51.238,-3.2564,-16.52
89,1589.1,25.407,0,0,0,12.299,49.814,62.549,42.703,18.986,63.68,28.047,49.881,-3.6697,-17.342
90,1628.2,25.403,0,0,0,12.408,49.906,62.217,40.086,18.149,62.626,27.13,48.691,-4.3775,-17.819
91,1638.3,25.37,0,0,0,12.847,50.683,61.583,40.217,17.984,60.799,26.38,47.859,-3.7173,-19.866
92,1672.3,25.306,0,0,0,12.777,48.587,62.515,40.48,17.791,60.579,25.276,48.641,-3.1136,-19.36
93,1681,25.212,0,0,0,14.437,49.569,63.131,40.029,15.722,60.325,26.553,48.511,-3.8587,-18.085
94,1724.4,25.088,0,0,0,14.767,50.318,62.904,40.367,15.015,61.043,29.462,48.557,-2.9827,-18.851
95,1724.7,24.935,0,0,0,15.059,48.705,61.612,41.509,14.58,60.958,29.959,47.725,-2.3124,-20.296
96,1766.5,24.754,0,0,0,14.696,49.744,62.12,41.051,17.038,59.642,28.669,47.52,-1.8948,-21.149
97,1795.6,24.545,0,0,0,14.786,48.552,60.263,42.705,14.914,59.46,28.471,48.514,-2.6018,-22.759
98,1831.3,24.31,0,0,0,15.6,48.015,61.251,43.269,14.53,60.662,28.198,48.149,-0.3753,-22.144
99,1847.3,24.051,0,0,0,15.106,48.483,62.648,42.846,14.802,58.421,28.783,46.102,-0.23286,-21.387
100,1883.6,23.769,0,0,0,14.092,49.136,63.199,42.809,15.128,57.607,29.605,44.469,0.34087,-20.289
101,1906.7,23.467,0,0,0,15.039,48.273,63.619,40.46,15.985,57.644,29.89,43.618,-0.10828,-19.607
102,1915.8,23.147,0,0,0,14.53,49.075,64.628,39.549,14.381,57.86,29.299,41.781,-3.2183,-20.329
103,1937.3,22.812,0,0,0,15.731,48.086,64.487,38.801,15.985,57.265,30.567,42.538,-3.319,-19.127
104,1993.9,22.464,0,0,0,17.351,48.561,65.822,37.723,15.51,58.068,31.278,43.852,-4.1018,-19.064
105,1989.3,22.106,0,0,0,17.707,48.609,65.198,38.152,16.612,59.277,31.253,43.163,-3.3903,-19.179
106,2039.4,21.741,0,0,0,18.786,49.022,64.611,38.729,16.612,59.546,32.601,42.808,-1.9271,-17.538
107,2052.3,21.373,0,0,0,18.765,50.564,64.211,35.878,16.919,59.942,33.55,41.715,-0.26725,-19.1
108,2066,21.004,0,0,0,18.638,51.299,65.304,35.556,16.773,60.169,35.259,42.231,-0.43153,-19.107
109,2115.6,20.638,0,0,0,18.077,51.745,65.858,36.236,18.079,57.271,35.563,41.27,1.2073,-18.129
110,2128.6,20.278,0,0,0,18.936,51.665,65.458,35.399,17.336,56.822,34.201,40.5,2.0007,-18.085
111,2167.3,19.927,0,0,0,19.547,52.401,64.586,33.207,16.763,57.965,33.816,40.16,2.4049,-20.733
112,2173.5,19.588,0,0,0,18.333,52.88,64.569,33.011,17.36,58.097,33.654,41.173,2.5691,-22.216
113,2211.7,19.264,0,0,0,19.885,51.449,64.26,32.992,18.114,58.982,34.428,40.568,2.1877,-22.293
114,2230.8,18.959,0,0,0,20.617,49.609,63.231,34.056,17.913,57.51,34.019,40.858,2.9611,-22.395
115,2244.6,18.674,0,0,0,19.145,49.039,62.11,33.404,18.188,58.514,34.441,40.839,4.0205,-21.867
116,2281.7,18.413,0,0,0,18.109,48.401,63.711,34.399,17.347,58.385,33.92,40.279,4.478,-21.507
117,2315,18.179,0,0,0,18.516,48.669,63.319,32.618,15.163,58.927,32.17,41.478,5.7493,-20.458
118,2348.9,17.972,0,0,0,16.48,48.099,62.313,32.561,13.866,59.738,32.61,41.392,5.3178,-17.899
119,2365.5,17.796,0,0,0,16.562,47.812,61.708,32.011,13.879,61.32,32.707,39.781,4.9105,-16.645
120,2389.2,17.651,0,0,0,16.281,49.448,62.403,33.4,12.306,63.28,34.324,40.266,4.2346,-17.624
121,2437.9,17.54,0,0,0,16.552,49.653,60.922,34.793,11.866,63.794,35.096,40.83,5.4248,-17.675
122,2446.1,17.464,0,0,0,17.728,50.324,60.411,35.679,12.398,63.986,35.316,38.857,6.3056,-17.89
123,2470.1,17.422,0,0,0,19.201,50.443,60.852,36.716,11.749,63.005,34.808,38.698,6.831,-16.137
124,2511.4,17.416,0,0,0,19.764,52.4,61.064,37.322,11.773,61.834,34.754,37.899,7.1622,-17.15
125,2498.1,17.447,0,0,0,19.29,53.398,60.608,37.163,11.863,61.914,34.825,36.884,5.4988,-17.236
126,2564.1,17.513,0,0,0,18.606,52.919,61.261,37.581,11.68,61.68,35.046,36.994,6.0641,-16.732
127,2573,17.614,0,0,0,18.548,51.638,60.554,36.47,12.222,61.525,35.211,36.673,7.4182,-16.255
128,2607.9,17.75,0,0,0,18.304,51.146,59.275,35.568,11.341,60.668,35.72,37.373,8.3952,-15.157
129,2627.9,17.919,0,0,0,18.462,51.976,59.611,36.377,10.533,61.027,35.889,37.423,8.7155,-14.042
130,2635.5,18.121,0,0,0,19.371,53.792,61.085,37.372,8.8391,60.872,35.684,36.211,9.2086,-12.114
131,2681,18.352,0,0,0,18.142,54.72,62.011,35.82,7.2794,61.728,35.582,35.325,9.8717,-12.125
132,2714.4,18.612,0,0,0,18.087,55.857,61.741,34.857,7.8176,60.37,34.923,34.945,9.4103,-10.959
133,2736.9,18.898,0,0,0,18.535,58.293,61.566,34.997,8.3921,60.994,36.592,35.6,8.3954,-12.244
134,2760.3,19.207,0,0,0,15.873,58.195,60.122,35.327,10.02,60.855,36.498,35.215,9.0816,-11.18
135,2790.3,19.537,0,0,0,15.97,58.156,60.776,36.112,8.6521,61.648,36.705,35.019,10.647,-11.035
136,2822.5,19.885,0,0,0,15.891,58.668,61.381,36.141,8.8776,62.233,37.361,34.737,10.251,-9.2648
137,2832.8,20.248,0,0,0,14.839,57.319,60.26,36.351,9.2116,62.004,36.661,34.493,9.2572,-9.4077
138,2855.7,20.623,0,0,0,14.379,57.925,60.454,37.324,9.8649,60.833,36.587,35.522,8.3003,-8.5694
139,2869.2,21.005,0,0,0,15.711,60.101,60.372,38.878,9.5306,62.55,34.966,35.097,7.8158,-8.4274
140,2925.5,21.393,0,0,0,13.765,59.633,61.735,39.15,8.719,62.814,33.156,34.099,6.9866,-8.2296
141,2925.5,21.782,0,0,0,13.357,58.822,60.95,40.297,8.7733,63.017,34.485,34.014,6.0933,-8.1204
142,2966.2,22.169,0,0,0,11.372,59.152,61.87,40.109,8.154,61.792,35.672,30.445,7.4383,-8.8544
143,2984.7,22.551,0,0,0,12.847,60.057,60.973,41.107,7.2379,60.95,35.544,31.725,7.2556,-10.907
144,3009,22.924,0,0,0,11.879,60.513,60.954,41.915,7.4806,61.674,36.206,31.839,7.4963,-12.163
145,3035.9,23.285,0,0,0,10.942,60.545,60.931,42.516,7.1188,61.654,34.759,30.711,8.1823,-12.313
146,3071.8,23.63,0,0,0,11.366,60.406,62.144,43.577,6.7544,61.965,35.361,32.528,8.0522,-12.705
147,3077.4,23.957,0,0,0,10.389,61.387,62.417,42.7,6.7974,60.311,34.201,32.751,7.5316,-12.77
148,3116.4,24.263,0,0,0,10.297,60.822,63.328,42.495,9.7471,58.798,35.026,32.244,6.9828,-11.98
149,3132.1,24.545,0,0,0,10.046,61.06,62.499,43.132,10.032,57.103,33.988,32.899,7.1782,-12.563
150,3174.3,24.8,0,0,0,10.262,61.029,61.11,42.675,9.4292,56.991,34.183,33.15,6.2197,-14.252
151,3192.4,25.027,0,0,0,9.2986,61.084,59.903,42.814,9.648,55.152,35.03,34.011,7.2419,-15.208
152,3236.1,25.223,0,0,0,8.3493,60.881,60.077,44.083,10.874,54.853,36.546,34.883,7.7607,-15.249
153,3236.1,25.388,0,0,0,8.3962,61.227,59.955,45.412,9.3105,55.296,38.928,34.275,7.1532,-15.085
154,3272.1,25.519,0,0,0,7.7775,63.332,59.984,44.077,9.5981,53.569,38.867,33.359,7.8305,-14.59
155,3295.1,25.615,0,0,0,7.7787,64.543,59.105,45.073,8.7893,53.802,38.449,31.396,7.3968,-14.436
156,3338.6,25.677,0,0,0,6.9454,65.242,59.272,45.253,10.443,55.614,37.711,31.73,7.8923,-15.685
157,3361.2,25.703,0,0,0,7.0183,63.729,59.167,43.632,9.4064,55.542,39.014,31.456,8.4175,-13.294
158,3387.7,25.693,0,0,0,8.7153,64.153,59.005,45.296,8.1734,55.847,39.37,30.689,8.0751,-13.014
159,3400.2,25.649,0,0,0,9.9057,64.495,59.844,45.499,8.4621,55.955,38.698,29.573,8.9514,-13.162
160,3409.6,25.57,0,0,0,9.8059,64.028,59.153,46.64,7.8224,55.81,36.545,30.373,10.565,-12.763
161,3464.7,25.458,0,0,0,9.8897,63.98,57.86,47.335,9.7952,55.343,37.171,30.873,10.677,-12.74
162,3479.7,25.313,0,0,0,9.3058,64.675,57.269,47.828,11.143,54.733,37.253,30.812,10.722,-13.245
163,3503.9,25.138,0,0,0,9.3557,65.592,57.302,47.253,12.378,53.792,37.974,28.534,9.4314,-14.089
164,3525.6,24.935,0,0,0,7.9985,66.65,56.539,46.882,12.425,54.164,38.144,28.862,10.075,-13.01
165,3549,24.706,0,0,0,9.3587,67.3,55.254,48.388,13.205,54.539,37.297,28.345,11.908,-12.522
166,3586.1,24.452,0,0,0,8.3383,68.094,56.447,48.097,12.651,55.486,39.033,28.912,12.165,-14.484
167,3597.1,24.178,0,0,0,8.9385,66.676,56.287,47.087,12.209,54.492,37.79,28.656,12.585,-15.047
168,3623,23.886,0,0,0,9.7306,65.565,55.936,47.863,10.007,53.237,39.245,29.241,10.818,-16.637
169,3675.3,23.579,0,0,0,10.287,64.369,55.835,47.771,11.946,53.913,39.005,28.458,9.8203,-16.636
170,3675.5,23.26,0,0,0,10.456,64.065,56.264,47.576,11.697,55.59,38.298,28.065,9.922,-16.53
