Time,Altitude,AirSpeed,Landing_Gear,Thrust_Rev,Flaps,Param1_1,Param1_2,Param1_3,Param1_4,Param2,Param3_1,Param3_2,Param3_3,Param3_4,Param4
1,-4.4655,23.459,1,0,9.5,-27.467,50.26,-42.243,-50.693,39.27,49.545,104.21,-107.89,98.124,52.921
2,-13.159,23.427,1,0,9.5,-25.789,51.24,-43.73,-51.886,38.822,48.552,105.09,-107.31,98.711,52.287
3,4.6589,23.361,1,0,9.5,-27.028,53.326,-44.445,-51.794,38.764,47.687,104.26,-106.02,99.412,53.798
4,12.64,23.265,1,0,9.5,-26.289,54.034,-44.941,-52.2,39.143,47.342,103.08,-107.68,99.467,52.251
5,-18.432,23.137,1,0,9.5,-26.857,53.9,-46.169,-50.603,40.624,47.962,103.66,-107.27,99.499,52.877
6,-7.8967,22.981,1,0,9.5,-27.376,54.922,-46.221,-51.447,41.746,47.978,103.33,-104.97,98.139,51.414
7,5.3313,22.798,1,0,9.5,-28.067,56.239,-46.516,-51.672,41.93,49.296,102.94,-104.19,98.727,52.845
8,3.983,22.59,1,0,9.5,-27.102,57.539,-47.42,-53.365,42.053,50.183,102.98,-103.42,99.535,55.729
9,16.038,22.359,1,0,9.5,-28.528,56.899,-47.101,-53.039,43.257,51.477,103.84,-102.03,100.39,55.422
10,17.074,22.109,1,0,9.5,-27.968,58.395,-46.446,-53.045,42.673,50.625,103.46,-99.415,100.02,53.674
11,26.139,21.842,1,0,9.5,-27.774,57.016,-45.152,-54.133,41.574,50.023,103.95,-99.717,99.213,53.024
12,17.878,21.563,1,0,9.5,-26.361,56.741,-46.037,-53.44,41.631,51.423,102.22,-98.682,97.873,52.947
13,3.5145,21.273,1,0,9.5,-26.637,57.674,-45.127,-53.115,42.45,52.866,100.68,-98.871,97.658,51.187
14,13.79,20.977,1,0,9.5,-27.417,57.366,-45.622,-52.353,42.519,52.948,100.47,-98.45,97.117,51.626
15,14.086,20.679,1,0,9.5,-26.464,57.586,-45.33,-52.5,40.007,51.947,102.05,-99.004,96.828,51.985
16,-4.5653,20.382,1,0,9.5,-27.147,56.481,-43.304,-52.71,39.804,49.507,101.07,-97.819,95.602,51.898
17,8.7744,20.09,1,0,9.5,-27.457,57.758,-42.544,-52.848,38.598,50.218,99.645,-98.167,96.766,51.694
18,2.4495,19.807,1,0,9.5,-26.024,57.177,-43.363,-51.498,38.514,49.195,98.431,-98.396,97.918,51.101
19,-1.6532,19.537,1,0,9.5,-24.756,57.127,-45.02,-53.145,39.155,49.593,96.898,-98.565,97.28,50.812
20,12.429,19.284,1,0,9.5,-25.682,56.768,-42.557,-53.726,39.145,49.2,97.719,-97.85,97.413,49.889
21,34.109,19.051,1,0,9.5,-25.773,57.86,-43.473,-54.331,39.755,48.825,100.06,-95.505,95.651,49.629
22,7.4991,18.841,1,0,9.5,-27.927,58.035,-44.17,-54.159,38.401,49.009,100.51,-96.569,96.407,49.902
