Time,Altitude,AirSpeed,Landing_Gear,Thrust_Rev,Flaps,Param1_1,Param1_2,Param1_3,Param1_4,Param2,Param3_1,Param3_2,Param3_3,Param3_4,Param4
1,-3.2102,18.212,1,0,9.5,4.4165,47.037,-65.862,-26.056,-31.82,-42.501,-20.976,-52.341,59.052,7.1059
2,10.149,18.236,1,0,9.5,5.9079,47.832,-66.281,-25.837,-32.117,-45.495,-21.651,-50.745,59.059,8.0461
3,-1.5905,18.283,1,0,9.5,7.5922,47.219,-66.059,-25.4,-31.962,-45.617,-21.431,-51.368,59.57,8.399
4,-0.49574,18.353,1,0,9.5,7.2285,46.436,-66.242,-25.988,-30.459,-45.41,-21.193,-51.987,60.15,6.8226
5,4.2898,18.446,1,0,9.5,6.9398,47.481,-65.825,-26.907,-29.661,-44.919,-22.664,-51.917,59.712,8.1887
6,-10.675,18.561,1,0,9.5,8.8388,48.246,-66.739,-27.362,-29.374,-44.617,-22.092,-51.796,58.465,7.4169
7,9.5392,18.696,1,0,9.5,8.403,47.513,-65.521,-27.136,-30.006,-43.946,-22.308,-52.825,58.945,9.1533
8,24.67,18.852,1,0,9.5,8.0522,48.921,-66.91,-27.543,-29.322,-43.03,-21.516,-54.015,59.218,9.4772
9,6.6428,19.028,1,0,9.5,10.832,48.758,-67.594,-26.788,-28.55,-43.28,-22.377,-55.849,58.698,9.5536
10,6.1533,19.221,1,0,9.5,9.6181,47.824,-67.309,-26.822,-27.959,-41.924,-23.777,-53.694,56.849,10.828
11,8.5459,19.43,1,0,9.5,7.3143,48.657,-68.642,-26.213,-27.539,-42.851,-23.489,-51.602,57.047,10.759
12,-2.4679,19.655,1,0,9.5,6.4252,49.241,-68.483,-26.346,-28.484,-43.042,-23.485,-51.569,56.84,9.9522
13,-12.088,19.893,1,0,9.5,6.6666,49.989,-67.118,-27.074,-29.31,-42.866,-25.571,-50.844,56.777,10.422
14,9.8766,20.143,1,0,9.5,5.8406,49.451,-68.923,-26.234,-28.772,-42.335,-27.478,-51.321,56.149,11.932
15,10.838,20.404,1,0,9.5,5.7114,50.481,-68.889,-25.613,-27.844,-43.125,-28.565,-50.79,56.618,11.965
16,15.777,20.672,1,0,9.5,5.5598,51.821,-69.288,-25.162,-28.549,-41.989,-26.946,-52.924,56.221,13.222
17,-3.8003,20.947,1,0,9.5,5.2576,51.509,-69.43,-24.103,-29.225,-42.849,-27.32,-52.102,56.486,12.761
18,-2.1516,21.227,1,0,9.5,3.5752,50.93,-68.485,-23.214,-28.47,-44.318,-27.347,-52.149,57.587,14.751
19,-14.48,21.509,1,0,9.5,3.6373,50.625,-70.023,-22.384,-28.435,-43.305,-25.992,-52.004,57.086,14.837
20,-2.0003,21.792,1,0,9.5,2.6641,50.226,-70.328,-21.79,-29.359,-44.506,-25.116,-51.552,57.279,13.111
21,18.402,22.074,1,0,9.5,3.0208,48.501,-70.888,-20.012,-28.943,-42.725,-25.939,-53.712,58.718,14.346
22,17.055,22.352,1,0,9.5,2.2376,46.86,-69.156,-20.742,-29.586,-43.313,-25.839,-54.764,58.745,12.244
23,17.575,22.626,1,0,9.5,1.3457,47.371,-69.95,-19.815,-28.197,-43.266,-27.065,-54.076,57.578,10.93
24,-0.090986,22.893,1,0,9.5,2.0037,49.203,-69.718,-19.526,-30.76,-42.67,-26.419,-52.439,57.295,9.306
25,25.593,23.151,1,0,9.5,0.97842,48.491,-69.884,-17.738,-31.385,-43.93,-25.874,-51.854,57.409,8.1017
26,-13.85,23.398,1,0,9.5,1.4562,47.075,-67.932,-19.102,-32.063,-44.763,-27.229,-50.696,57.081,7.1781
27,13.771,23.634,1,0,9.5,2.1571,47.759,-67.796,-18.246,-29.864,-44.808,-28.564,-50.996,57.013,8.0216
28,14.756,23.856,1,0,9.5,1.7595,48.027,-69.469,-17.091,-30.984,-44.797,-29.125,-49.307,57.629,7.9577
29,55.841,24.063,1,0,9.5,1.7548,50.065,-69.038,-17.534,-30.529,-43.776,-28.615,-50.494,59.402,7.7028
30,59.986,24.254,1,0,9.5,2.5514,50.121,-67.507,-17.882,-30.939,-45.182,-28.383,-48.221,58.226,7.8361
31,84.912,24.427,1,0,9.5,3.9294,49.285,-69.112,-19.614,-29.874,-44.182,-27.805,-47.988,58.251,6.3778
32,119.83,24.582,1,0,9.5,3.6113,49.214,-69.462,-20.092,-30.165,-44.072,-28.5,-47.663,58.273,5.1584
33,126.85,24.717,1,0,9.5,4.0505,50.717,-68.468,-19.717,-29.74,-42.87,-26.602,-46.823,57.789,4.6297
34,170.79,24.832,1,0,9.5,5.3771,48.736,-68.562,-17.691,-31.722,-42.526,-27.053,-46.094,58.233,4.1087
35,192.16,24.925,0,0,9.5,5.3387,49.401,-69.184,-19.069,-32.948,-42.664,-26.902,-45.107,59.527,3.9041
36,203.93,24.998,0,0,9.5,6.0066,47.829,-68.167,-18.638,-32.553,-42.416,-26.899,-44.329,60.524,3.1669
37,235.37,25.048,0,0,9.5,6.8454,47.917,-66.664,-17.913,-31.426,-42.064,-26.117,-41.475,59.986,2.4915
38,266.9,25.077,0,0,9.5,4.9345,47.992,-66.887,-18.166,-33.628,-42.72,-24.177,-39.446,59.458,1.3774
39,293.63,25.083,0,0,9.5,4.4725,47.376,-65.616,-18.536,-33.113,-42.742,-24.038,-41.587,60.089,3.8756
40,289.09,25.068,0,0,9.5,4.3779,47.049,-66.862,-18.749,-33.582,-41.644,-24.007,-41.024,60.716,2.4297
41,362.11,25.031,0,0,9.5,4.1739,46.438,-64.678,-17.742,-33.102,-42.067,-24.659,-42.348,59.853,2.9593
42,366.86,24.973,0,0,9.5,3.8021,46.55,-64.694,-18.486,-33.469,-40.786,-24.574,-43.052,59.884,2.2381
43,399.98,24.895,0,0,9.5,2.7267,45.724,-64.986,-19.77,-32.097,-40.678,-25.934,-42.271,58.834,2.1875
44,424.66,24.797,0,0,9.5,3.9055,45.865,-64.569,-19.47,-32.16,-42.99,-24.298,-41.201,61.242,2.5151
45,420.44,24.681,0,0,9.5,4.5226,45.075,-64.829,-21.288,-34.227,-43.702,-24.846,-41.462,61.327,3.0816
46,469.05,24.547,0,0,9.5,4.5644,44.608,-64.332,-22.417,-32.9,-43.719,-24.962,-40.386,60.216,3.0961
47,496.26,24.396,0,0,9.5,5.2833,42.746,-65.049,-23.83,-33.302,-43.727,-25.374,-41.899,59.056,1.8642
48,522.13,24.23,0,0,9.5,5.043,44.264,-64.534,-24.503,-31.307,-43.217,-25.309,-43.492,59.531,-0.64369
49,546.27,24.05,0,0,9.5,7.018,45.217,-65.157,-25.049,-31.887,-44.298,-25.889,-43.483,58.012,-1.9364
50,576.58,23.858,0,0,9.5,6.5359,45.742,-64.114,-24.954,-31.968,-44.215,-23.724,-44.195,57.485,0.22022
51,588.38,23.655,0,0,9.5,6.5597,46.366,-63.876,-23.716,-31.509,-44.906,-23.766,-43.121,55.149,0.93116
52,629.58,23.442,0,0,9.5,7.387,46.705,-65.189,-25.319,-32.449,-45.211,-22.309,-43.248,54.856,-1.0211
53,654.54,23.222,0,0,9.5,5.7966,46.165,-65.552,-24.903,-32.309,-46.57,-21.568,-43.542,56.876,-1.2559
54,646.53,22.997,0,0,9.5,7.1741,45.615,-63.924,-24.263,-31.063,-45.222,-21.053,-43.655,57.939,-1.8455
55,700.6,22.767,0,0,9.5,8.099,46.459,-63.048,-25.486,-30.43,-43.574,-22.304,-45.055,59.763,-2.9364
56,722.82,22.535,0,0,9.5,8.4186,46.476,-63.803,-24.898,-30.932,-43.307,-21.949,-45.823,56.08,-2.3291
57,739.39,22.303,0,0,9.5,9.1151,46.025,-63.148,-25.279,-31.445,-43.405,-24.372,-44.428,56.492,-1.2676
58,766.77,22.072,0,0,9.5,8.396,45.167,-61.555,-23.6,-32.861,-41.632,-23.478,-44.351,59.028,-1.2225
59,794.45,21.844,0,0,9.5,9.0565,45.422,-62.362,-23.826,-33.715,-41.657,-22.925,-43.03,58.127,0.75053
60,828.82,21.621,0,0,9.5,10.144,46.14,-61.627,-24.203,-33.982,-40.165,-22.573,-43.47,58.192,3.8477
61,825.69,21.405,0,0,9.5,10.424,46.293,-62.095,-24.204,-32.304,-39.484,-22.829,-42.899,57.276,3.945
62,891.23,21.196,0,0,9.5,9.8343,43.959,-60.447,-26.126,-31.559,-41.011,-24.172,-43.875,56.671,4.7373
63,910.53,20.998,0,0,9.5,9.0677,44.37,-58.87,-24.343,-31.257,-40.838,-24.371,-44.767,57.194,3.7374
64,937.41,20.81,0,0,9.5,8.5679,41.68,-60.371,-24.984,-31.429,-40.406,-22.703,-46.417,58.144,4.6435
65,962.33,20.636,0,0,9.5,8.0007,40.232,-60.186,-24.673,-30.947,-38.576,-22.056,-45.101,57.654,4.2148
66,970.73,20.475,0,0,9.5,8.1439,41.509,-61.195,-23.779,-29.516,-37.299,-21.261,-43.157,57.492,7.6101
67,1002.1,20.329,0,0,9.5,8.6647,39.804,-61.329,-23.496,-30.894,-36.941,-22.26,-43.389,56.213,8.3181
68,1031.7,20.199,0,0,9.5,9.3111,41.18,-61.094,-23.112,-31.055,-36.793,-23.052,-42.736,55.884,6.2895
69,1054,20.087,0,0,9.5,8.5571,41.107,-61.423,-21.129,-30.336,-37.033,-21.959,-42.02,54.676,7.7653
70,1077.9,19.992,0,0,9.5,7.6608,41.172,-63.3,-18.985,-32.119,-37.608,-21.962,-43.719,56.482,8.5398
71,1112,19.916,0,0,8.4444,8.2422,40.342,-65.661,-19.891,-32.933,-38.83,-21.121,-44.899,55.597,9.4811
72,1153.1,19.858,0,0,7.3889,8.5135,40.654,-66.112,-20.638,-33.366,-38.823,-19.897,-44.566,55.145,9.6966
73,1164.3,19.82,0,0,6.3333,7.8357,40.693,-65.391,-21.939,-32.109,-39.611,-18.794,-44.079,54.266,10.584
74,1198.9,19.802,0,0,5.2778,7.7126,41.234,-65.288,-22.854,-32.214,-39.447,-18.578,-44.183,53.833,10.372
75,1215.2,19.803,0,0,4.2222,6.952,39.004,-64.463,-23.044,-31.981,-40.299,-18.409,-43.672,54.021,10
76,1237.4,19.824,0,0,3.1667,4.9968,38.854,-64.84,-23.125,-32.113,-41.314,-17.885,-43.866,53.633,11.047
77,1255.9,19.865,0,0,2.1111,4.911,39.761,-64.451,-23.379,-34.256,-41.096,-17.261,-43.213,53.631,10.369
78,1292.3,19.924,0,0,1.0556,5.8286,39.638,-65.078,-23.058,-33.801,-40.901,-17.952,-43.643,52.492,9.5535
79,1303.4,20.002,0,0,0,5.5488,40.295,-64.411,-23.245,-34.386,-40.61,-18.992,-43.391,52.602,9.9604
80,1319.2,20.097,0,0,0,4.6946,39.655,-64.394,-25.21,-33.621,-40.818,-19.409,-43.508,51.597,10.198
81,1370.9,20.21,0,0,0,4.2591,39.81,-64.322,-23.826,-35.92,-41.397,-20.235,-44.304,52.077,9.6968
82,1398.4,20.339,0,0,0,3.2211,39.421,-65.189,-23.756,-35.634,-41.121,-20.428,-44.76,52.023,9.8031
83,1415.7,20.483,0,0,0,3.1577,40.842,-65.442,-22.326,-32.907,-41.332,-21.07,-43.536,52.126,9.8434
84,1437.1,20.641,0,0,0,4.4737,41.223,-65.184,-22.325,-32.384,-41.066,-21.916,-44.217,51.109,10.454
85,1464,20.812,0,0,0,5.8976,42.405,-65.932,-22.436,-34.033,-39.743,-21.037,-42.566,49.379,10.113
86,1496.9,20.995,0,0,0,4.6295,40.964,-65.922,-24.318,-32.935,-39.937,-20.516,-43.146,48.949,11.855
87,1507.9,21.187,0,0,0,5.6522,39.961,-65.671,-22.278,-32.459,-37.668,-19.896,-43.487,45.754,12.281
88,1528.8,21.388,0,0,0,3.7771,38.853,-64.415,-21.396,-32.715,-36.658,-19.013,-42.702,47.829,11.441
89,1593.3,21.597,0,0,0,4.7271,38.069,-64.837,-20.559,-32.89,-37.615,-19.845,-41.238,45.927,12.584
90,1601,21.811,0,0,0,3.5309,36.371,-64.386,-21.07,-32.583,-38.807,-20.285,-39.388,45.921,14.673
91,1632.5,22.029,0,0,0,3.3604,36.718,-64.746,-21.268,-31.687,-38.653,-20.191,-38.055,46.147,13.979
92,1629.4,22.249,0,0,0,2.7614,35.975,-65.753,-22.149,-31.235,-39.748,-21.51,-36.972,47.139,15.408
93,1669.7,22.47,0,0,0,4.419,35.715,-65.215,-21.747,-30.422,-40.002,-20.612,-37.85,47.199,15.242
94,1702.5,22.69,0,0,0,4.8007,35.846,-64.91,-21.255,-31.47,-39.068,-22.085,-38.051,46.786,15.794
95,1726.2,22.908,0,0,0,7.211,36.55,-64.414,-21.455,-31.431,-38.504,-19.324,-38.791,45.543,14.662
96,1732.4,23.122,0,0,0,6.9548,36.838,-62.46,-21.742,-32.353,-39.964,-17.683,-39.094,47.209,14.157
97,1771.6,23.33,0,0,0,6.4242,38.014,-61.725,-20.769,-32.589,-41.909,-17.476,-39.214,45.524,12.823
98,1783.8,23.531,0,0,0,6.9457,38.553,-60.614,-21.461,-31.742,-43.493,-17.973,-38.599,46.019,12.867
99,1808.7,23.724,0,0,0,3.882,39.293,-59.961,-19.941,-33.323,-43.81,-17.888,-37.144,47.033,13.187
100,1843.3,23.907,0,0,0,3.1322,38.319,-60.689,-19.618,-33.185,-43.459,-17.326,-36.104,48.232,12.084
101,1874.3,24.079,0,0,0,2.2762,38.918,-61.535,-19.548,-32.013,-43.274,-18.193,-36.998,48.189,13.232
102,1897.2,24.239,0,0,0,-0.55007,37.985,-61.797,-18.378,-32.877,-44.149,-17.564,-38.011,50.799,14.029
103,1927.5,24.385,0,0,0,-0.59397,39.774,-62.55,-18.254,-33.848,-43.043,-18.134,-37.383,50.63,15.401
104,1950.5,24.518,0,0,0,-1.3111,38.477,-63.768,-19.213,-33.798,-43.207,-20.507,-37.003,50.329,13.541
105,1964.1,24.636,0,0,0,-2.2053,39.071,-63.76,-19.962,-35.148,-42.995,-17.979,-36.582,51.477,13.946
106,2003.2,24.738,0,0,0,-2.5751,39.282,-63.765,-19.783,-35.027,-42.084,-17.498,-35.727,51.173,13.835
107,2032.7,24.823,0,0,0,-2.883,39.983,-62.729,-19.667,-34.02,-41.708,-18.004,-37.133,52.275,14.263
108,2043,24.892,0,0,0,-3.7533,39.629,-62.151,-19.236,-35.054,-43.767,-18.177,-36.448,50.066,14.703
109,2069.8,24.945,0,0,0,-3.97,38.545,-64.609,-18.422,-35.83,-42.26,-17.791,-36.678,48.306,15.038
110,2088.9,24.98,0,0,0,-5.1614,38.571,-64.563,-17.601,-32.978,-40.103,-18.093,-38.071,48.55,13.589
111,2126,24.997,0,0,0,-4.8096,38.296,-63.493,-18.425,-33.288,-39.983,-16.475,-37.176,49.285,13.813
112,2137.7,24.998,0,0,0,-4.2967,36.899,-63.789,-20.839,-33.841,-42.263,-17.126,-36.433,51.587,15.168
113,2161.7,24.982,0,0,0,-5.3402,38.156,-63.388,-21.642,-31.905,-42.855,-18.418,-38.46,51.73,14.537
114,2188.7,24.95,0,0,0,-3.7863,38.542,-63.179,-19.964,-32.652,-43.275,-19.363,-39.463,51.865,14.167
115,2222.3,24.902,0,0,0,-2.529,37.53,-63.338,-18.631,-32.78,-43.776,-20.432,-39.758,51.383,13.71
116,2233.7,24.838,0,0,0,-2.2393,38.049,-64.312,-18.703,-32.938,-45.242,-18.928,-40.633,50.623,11.825
117,2278.1,24.761,0,0,0,-0.84853,38.335,-64.23,-19.397,-32.203,-43.239,-19.074,-40.574,50.429,10.55
118,2305.4,24.669,0,0,0,-0.66301,39.207,-64.57,-19.164,-32.354,-43.726,-20.523,-40.359,48.97,10.182
119,2311.7,24.565,0,0,0,0.57094,39.914,-65.821,-19.895,-32.893,-43.241,-19.7,-41.255,49.074,11.029
