Time,Altitude,AirSpeed,Landing_Gear,Thrust_Rev,Flaps,Param1_1,Param1_2,Param1_3,Param1_4,Param2,Param3_1,Param3_2,Param3_3,Param3_4,Param4
1,1.2671,18.292,1,0,9.5,-16.665,-43.456,-64.932,-97.349,-3.3785,-22.787,40.982,13.125,-31.9,-19.009
2,-4.9972,18.313,1,0,9.5,-17.619,-42.695,-65.906,-99.418,-3.269,-23.881,39.429,12.473,-31.954,-20.261
3,2.5097,18.355,1,0,9.5,-17.519,-40.505,-66.247,-99.735,-3.7815,-24.881,38.747,13.393,-31.904,-20.909
4,-9.7296,18.417,1,0,9.5,-18.173,-40.219,-66.413,-99.525,-4.7756,-24.745,39.084,12.587,-31.114,-21.53
5,17.77,18.5,1,0,9.5,-19.804,-40.925,-65.798,-98.259,-3.6088,-26.348,38.246,11.236,-31.137,-21.162
6,5.2416,18.601,1,0,9.5,-18.139,-41.043,-64.648,-98.034,-1.9162,-28.515,38.029,11.365,-31.887,-22.929
7,5.5828,18.722,1,0,9.5,-19.652,-41.315,-64.182,-99.63,-1.5483,-29.279,36.537,13.291,-29.837,-23.901
8,-1.6291,18.859,1,0,9.5,-18.222,-39.539,-64.187,-98.444,-2.2919,-28.472,36.834,13.766,-27.513,-22.861
9,11.689,19.012,1,0,9.5,-19.056,-39.563,-64.831,-96.839,-1.6066,-28.167,39.988,12.54,-26.945,-22.874
10,-1.4306,19.181,1,0,9.5,-18.41,-40.17,-63.59,-96.245,-1.2595,-30.217,41.295,13.183,-26.601,-23.179
11,19.304,19.362,1,0,9.5,-19.719,-38.478,-61.057,-97.74,-1.9347,-29.723,40.071,13.158,-26.76,-25.403
12,-4.3604,19.556,1,0,9.5,-20.713,-38.509,-62.04,-97.769,-2.4782,-30.651,40.217,14.055,-25.232,-26.421
13,11.976,19.759,1,0,9.5,-20.521,-39.146,-64.115,-97.347,-3.0384,-30.474,40.851,14.528,-24.031,-28.317
14,-4.1483,19.971,1,0,9.5,-19.342,-39.554,-63.965,-96.442,-5.2689,-28.247,40.267,14.392,-23.788,-28.096
15,7.3658,20.189,1,0,9.5,-19.66,-38.602,-62.827,-96.95,-5.4019,-28.522,40.7,14.444,-24.513,-27.591
16,11.393,20.412,1,0,9.5,-19.462,-40.696,-63.375,-97.021,-6.321,-29.636,41.889,15.864,-26.006,-28.026
17,-16.28,20.638,1,0,9.5,-18.405,-42.596,-61.2,-97.218,-8.1799,-27.839,44.127,15.666,-26.252,-28.261
18,11.114,20.864,1,0,9.5,-19.636,-42.035,-59.796,-96.153,-7.5194,-29.135,42.669,14.76,-25.447,-26.949
19,19.818,21.09,1,0,9.5,-20.438,-42.554,-58.417,-96.185,-6.2657,-30.376,42.874,13.919,-23.467,-25.898
20,18.052,21.312,1,0,9.5,-19.526,-42.253,-58.806,-96.492,-4.7767,-29.131,41.904,15.012,-24.059,-26.428
21,-14.029,21.53,1,0,9.5,-19.043,-42.642,-58.034,-96.611,-5.849,-29.921,41.312,16.143,-23.385,-26.247
22,15.631,21.741,1,0,9.5,-20.599,-42.722,-58.171,-97.645,-5.6139,-30.095,39.72,15.399,-23.491,-26.436
23,10.528,21.944,1,0,9.5,-20.712,-43.331,-59.016,-96.961,-5.8024,-29.684,39.464,15.076,-24.338,-25.501
24,8.1533,22.138,1,0,9.5,-21.824,-43.96,-58.761,-96.127,-5.7781,-29.721,39.427,16.376,-24.33,-26.332
25,1.3481,22.319,1,0,9.5,-21.831,-43.887,-58.953,-97.148,-6.0917,-30.273,40.361,16.258,-24.217,-26.132
26,-13.295,22.488,1,0,9.5,-22.661,-42.33,-59.524,-95.028,-6.6875,-30.218,39.625,17,-24.208,-27.788
27,1.8694,22.643,1,0,9.5,-22.713,-42.019,-57.663,-95.511,-6.94,-32.05,39.638,16.696,-21.839,-28.059
28,5.0392,22.783,1,0,9.5,-22.65,-44.468,-59.098,-95.487,-3.9736,-29.774,40.682,17.133,-20.641,-29.133
29,30.289,22.907,1,0,9.5,-24.187,-43.389,-58.643,-95.675,-3.6985,-30.016,39.511,16.922,-22.031,-29.241
30,62.319,23.014,1,0,9.5,-25.972,-43.067,-58.107,-94.567,-3.6991,-29.524,39.019,17.381,-21.501,-29.406
31,103.8,23.103,1,0,9.5,-25.324,-43.615,-59.838,-94.095,-3.8186,-28.48,39.237,17.907,-19.504,-29.968
32,105.29,23.174,1,0,9.5,-25.733,-43.031,-58.619,-94.904,-6.0233,-27.317,36.579,16.375,-19.769,-30.991
33,166.13,23.227,1,0,9.5,-26.232,-42.316,-58.259,-95.196,-6.45,-27.872,39.059,15.832,-18.985,-31.153
34,180.23,23.262,0,0,9.5,-25.842,-42.4,-56.165,-95.529,-6.6988,-27.181,38.407,17.403,-19.062,-30.636
35,191.91,23.278,0,0,9.5,-26.74,-42.555,-56.396,-96.328,-6.8825,-25.38,37.881,18.153,-18.647,-31.511
36,233.75,23.275,0,0,9.5,-26.193,-42.389,-57.168,-96.934,-7.9907,-27.467,38.098,17.825,-17.636,-32.239
