Time,Altitude,AirSpeed,Landing_Gear,Thrust_Rev,Flaps,Param1_1,Param1_2,Param1_3,Param1_4,Param2,Param3_1,Param3_2,Param3_3,Param3_4,Param4
1,5.0199,19.266,1,0,9.5,-83.611,64.963,6.893,54.516,8.2547,-27.762,50.463,-30.154,-50.569,20.655
2,-0.52067,19.296,1,0,9.5,-84.833,65.878,8.9133,55.991,8.036,-27.676,49.789,-33.071,-50.861,20.405
3,6.2739,19.355,1,0,9.5,-86.74,64.831,8.8417,54.546,7.1103,-26.906,50.673,-32.273,-49.78,20.171
4,10.439,19.442,1,0,9.5,-86.387,63.612,7.9241,56.398,9.1709,-27.752,51.591,-31.741,-51.621,21.707
5,9.0605,19.558,1,0,9.5,-87.055,64.027,7.0316,55.058,9.2991,-26.49,51.523,-31.864,-52.339,20.997
6,-1.7354,19.7,1,0,9.5,-86.797,65.649,6.6436,55.631,8.5415,-26.142,51.649,-32.034,-52.481,20.975
7,22.576,19.867,1,0,9.5,-85.818,66.034,7.1718,55.566,8.9908,-27.943,52.673,-31.388,-52.73,20.475
8,5.2139,20.058,1,0,9.5,-84.685,65.682,8.3915,57.173,9.1176,-26.992,52.397,-30.22,-52.854,20.973
9,-10.192,20.271,1,0,9.5,-83.99,67.514,8.7742,56.453,9.5134,-25.154,53.231,-30.571,-53.616,20.779
10,7.8231,20.503,1,0,9.5,-83.242,67.458,7.7562,57.748,9.2438,-24.978,52.108,-31.327,-55.124,19.744
11,11.944,20.752,1,0,9.5,-84.772,66.734,7.7861,57.259,10.049,-25.333,52.9,-29.576,-53.29,19.638
12,10.994,21.016,1,0,9.5,-83.648,66.14,6.5273,57.686,12.004,-27.542,53.121,-29.687,-53.83,21.278
13,-1.8309,21.292,1,0,9.5,-85.009,66.511,5.2608,57.455,11.763,-27.821,52.553,-29.444,-53.935,19.151
14,9.2705,21.577,1,0,9.5,-85.743,67.106,5.8633,57.667,13.497,-27.274,50.572,-28.251,-54.618,19.092
15,17.94,21.868,1,0,9.5,-85.059,66.67,5.3422,59.062,13.104,-26.411,50.319,-27.449,-53.846,19.842
16,19.039,22.163,1,0,9.5,-84.709,65.931,6.1579,59.871,11.388,-27.167,50.202,-25.977,-52.241,20.877
17,16.453,22.458,1,0,9.5,-85.512,65.356,5.5622,60.747,11.724,-26.277,50.954,-24.142,-50.592,22.166
18,10.281,22.751,1,0,9.5,-86.444,66.132,4.5531,61.044,10.58,-26.339,52.865,-24.882,-51.073,23.043
19,-0.77329,23.037,1,0,9.5,-87.107,65.145,4.4807,61.185,9.5629,-24.949,52.45,-23.144,-52.081,23.542
20,-5.9084,23.316,1,0,9.5,-86.771,64.859,4.8004,61.031,9.595,-24.872,51.434,-25.45,-52.349,24.153
21,0.50383,23.583,1,0,9.5,-85.896,64.019,4.9629,62.106,10.727,-25.996,50.187,-26.415,-52.039,25.367
22,-0.010036,23.836,1,0,9.5,-85.568,63.574,4.2172,62.511,11.789,-26.28,49.185,-24.916,-53.375,25.065
23,23.71,24.072,1,0,9.5,-84.289,63.571,4.7147,62.087,11.887,-26.354,48.451,-25.486,-53.844,24.229
24,-3.8351,24.289,1,0,9.5,-83.582,66.248,4.3783,62.032,12.102,-27.437,49.842,-25.576,-54.516,26.223
25,-0.49466,24.485,1,0,9.5,-83.497,66.945,4.3683,61.265,11.127,-27.275,47.434,-25.137,-55.43,27.766
26,29.732,24.657,1,0,9.5,-83.224,67.311,4.1403,60.311,11.606,-26.68,48.259,-25.464,-57.099,27.718
27,0.75788,24.803,1,0,9.5,-83.353,67.644,5.4152,59.791,10.044,-26.828,47.545,-24.281,-59.485,27.688
28,4.6337,24.923,1,0,9.5,-83.075,67.675,5.0765,61.132,8.6759,-26.068,47.025,-24.509,-58.92,25.76
29,-1.4834,25.014,1,0,9.5,-84.545,69.921,6.4504,60.105,7.5247,-24.411,46.203,-24.313,-58.426,26.274
30,6.8018,25.076,1,0,9.5,-83.773,70.018,5.9274,60.729,8.5635,-24.661,45.795,-25.126,-57.323,25.013
31,38.149,25.107,1,0,9.5,-84.827,69.992,5.1993,60.596,8.0125,-26.956,46.252,-26.495,-58.514,25.292
32,62.47,25.108,1,0,9.5,-84.565,68.927,5.1796,59.9,7.588,-26.824,46.328,-28.327,-55.818,25.153
