Time,Altitude,AirSpeed,Landing_Gear,Thrust_Rev,Flaps,Param1_1,Param1_2,Param1_3,Param1_4,Param2,Param3_1,Param3_2,Param3_3,Param3_4,Param4
1,9.7722,19.498,1,0,9.5,1.7844,7.586,-3.1101,-1.1009,62.862,-61.634,20.024,-69.646,-96.863,7.6069
2,9.0957,19.511,1,0,9.5,4.027,7.6376,-3.7205,-1.4995,62.846,-61.347,20.882,-69.715,-98.253,7.6527
3,-8.6225,19.538,1,0,9.5,2.7274,8.9391,-5.3996,-1.3399,62.8,-60.023,22.155,-69.573,-98.419,7.6223
4,11.486,19.577,1,0,9.5,1.5478,9.443,-5.8368,-1.9554,62.501,-59.379,23.136,-70.664,-97.606,7.497
5,-4.8598,19.63,1,0,9.5,1.5995,9.0669,-6.2342,-4.2819,62.192,-60.012,20.975,-70.195,-99.144,10.046
6,-5.7061,19.696,1,0,9.5,1.2889,8.7899,-6.7425,-6.2304,62.774,-59.794,21.914,-71.108,-98.575,8.9604
7,-4.179,19.774,1,0,9.5,1.1699,8.2721,-5.3609,-6.1903,63.062,-57.614,21.999,-71.087,-99.356,9.7564
8,-13.98,19.865,1,0,9.5,2.7719,9.6608,-5.8498,-7.7665,64.803,-57.77,23.334,-72.803,-98.048,8.999
9,-0.18251,19.968,1,0,9.5,1.8116,7.4101,-4.398,-9.6186,64.991,-58.037,26.002,-73.01,-95.899,8.5328
10,12.226,20.082,1,0,9.5,0.88065,7.0818,-4.6948,-10.762,65.521,-57.6,26.067,-72.478,-96.523,8.4209
11,-1.5923,20.208,1,0,9.5,-0.26892,7.413,-4.3223,-11.479,65.946,-56.858,26.491,-71.908,-96.702,9.2109
12,-3.9185,20.345,1,0,9.5,0.1374,6.9308,-5.6818,-10.838,66.36,-54.881,26.475,-71.105,-95.546,9.3148
13,-10.816,20.493,1,0,9.5,-2.4086,6.5395,-5.6817,-11.314,63.745,-55.816,26.42,-72.063,-94.298,8.6347
14,-6.3095,20.65,1,0,9.5,-2.7041,6.6358,-7.1662,-11.236,63.749,-55.446,28.153,-72.31,-92.128,7.5633
