Time,Altitude,AirSpeed,Landing_Gear,Thrust_Rev,Flaps,Param1_1,Param1_2,Param1_3,Param1_4,Param2,Param3_1,Param3_2,Param3_3,Param3_4,Param4
1,-9.9196,23.156,1,0,9.5,62.988,34.166,85.655,58.048,94.14,-79.514,-5.9695,45.119,66.611,-44.829
2,8.8684,23.157,1,0,9.5,63.707,33.922,85.59,57.46,94.993,-81.686,-4.5321,43.539,66.786,-45.118
3,0.10499,23.158,1,0,9.5,64.006,33.755,85.982,58.176,95.697,-83.845,-4.6508,45.509,66.968,-44.958
4,2.1686,23.16,1,0,9.5,64.299,32.983,86.961,57.118,94.644,-83.477,-5.2862,44.089,66.379,-45.384
5,-8.0518,23.162,1,0,9.5,64.436,32.848,86.095,56.844,93.683,-83.305,-4.7066,43.503,67.87,-44.611
6,6.919,23.165,1,0,9.5,63.836,30.796,87.441,57.654,94.425,-81.95,-4.393,42.241,67.204,-43.613
7,1.0792,23.169,1,0,9.5,63.515,32.29,87.34,57.217,94.429,-81.929,-4.9192,39.593,66.733,-43.468
8,11.32,23.174,1,0,9.5,61.896,32.256,86.054,56.354,92.784,-83.748,-4.2483,39.165,67.148,-45.169
9,13.246,23.181,1,0,9.5,62.118,32.395,85.58,55.949,92.711,-84.186,-5.0605,36.982,66.363,-46.813
10,8.4905,23.189,1,0,9.5,63.116,32.831,87.072,55.759,91.838,-86.161,-4.6062,38.343,66.673,-47.567
11,4.8582,23.199,1,0,9.5,61.488,33.186,86.592,55.967,93.167,-85.387,-3.3146,38.904,67.047,-46.645
12,-0.94485,23.211,1,0,9.5,59.84,34.507,85.457,56.242,93.997,-86.243,-4.5542,38.674,66.366,-46.877
13,1.0686,23.225,1,0,9.5,60.478,35.409,87.013,56.869,93.487,-86.791,-5.297,38.916,66.742,-46.292
14,7.4566,23.242,1,0,9.5,61.682,36.528,87.23,58.518,94.871,-86.581,-6.7614,37.377,66.025,-45.576
15,14.544,23.262,1,0,9.5,61.779,37.805,87.351,58.673,96.534,-85.712,-4.5336,37.528,67.178,-44.993
16,17.815,23.285,1,0,9.5,60.007,37.379,88.12,59.72,95.857,-86.37,-3.5544,38.4,66.943,-45.084
17,1.6164,23.31,1,0,9.5,59.22,38.559,88.904,59.53,97.022,-87.122,-4.8277,39.962,67.556,-44.475
18,-12.972,23.34,1,0,9.5,59.195,37.981,87.061,61.005,96.091,-87.125,-5.2892,42.7,65.955,-43.776
19,11.025,23.373,1,0,9.5,59.589,37.973,87.92,62.669,95.367,-85.669,-4.3014,41.861,65.908,-43.658
20,12.731,23.41,1,0,9.5,59.936,37.287,87.725,63.113,95.977,-85.936,-4.988,42.367,66.59,-43.576
21,6.057,23.451,1,0,9.5,60.616,36.23,88.051,61.543,95.091,-84.021,-5.2602,43.054,66.925,-42.311
22,9.9741,23.496,1,0,9.5,59.613,34.576,88.205,59.756,95.067,-85.261,-4.8886,42.863,65.651,-40.77
23,10.094,23.545,1,0,9.5,58.863,34.088,87.827,60.109,93.077,-85.408,-4.7001,43.22,65.928,-41.059
24,-5.331,23.598,1,0,9.5,57.725,33.91,86.418,61.451,92.739,-85.017,-5.685,42.682,63.628,-41.263
25,10.073,23.655,1,0,9.5,59.428,33.428,85.99,60.829,93.407,-84.417,-5.4742,41.508,63.987,-41.375
26,21.979,23.717,1,0,9.5,59.226,31.845,86.437,60.256,93.17,-85.492,-4.8482,40.479,63.775,-40.006
