Time,Altitude,AirSpeed,Landing_Gear,Thrust_Rev,Flaps,Param1_1,Param1_2,Param1_3,Param1_4,Param2,Param3_1,Param3_2,Param3_3,Param3_4,Param4
1,-2.8449,23.881,1,0,9.5,86.25,-33.941,-35.844,-1.8506,-43.132,73.199,-51.638,-51.746,30.115,-48.915
2,5.7885,23.862,1,0,9.5,84.124,-34.34,-37.066,-1.1325,-43.121,73.206,-52.14,-50.712,30.686,-49.822
3,0.56741,23.824,1,0,9.5,85.603,-35.473,-38.012,-0.34595,-41.319,73.876,-52.139,-51.15,30.148,-50.212
4,-29.606,23.769,1,0,9.5,85.013,-35.123,-38.043,-1.1125,-40.169,74.656,-50.813,-50.935,31.322,-50.797
5,1.4356,23.696,1,0,9.5,82.102,-37.394,-40.058,-2.6448,-39.276,74.115,-50.185,-50.798,32.979,-49.584
6,13.462,23.605,1,0,9.5,82.153,-38.942,-39.961,-3.0124,-38.043,73.462,-48.355,-51.552,31.682,-50.243
7,8.9062,23.5,1,0,9.5,82.61,-37.716,-39.576,-3.4403,-38.83,73.323,-49.502,-51.93,30.9,-49.745
8,9.0965,23.379,1,0,9.5,82.031,-37.208,-40.946,-2.7569,-38.059,73.967,-51.312,-51.516,29.655,-47.716
9,11.494,23.245,1,0,9.5,82.82,-37.185,-40.191,-2.9898,-36.611,74.54,-50.918,-52.699,28.253,-47.203
10,-1.4734,23.099,1,0,9.5,83.445,-36.698,-38.894,-0.27307,-35.431,74.973,-49.522,-52.887,28.833,-47.824
11,-4.9049,22.943,1,0,9.5,82.257,-38.73,-39.973,-0.98802,-35.572,75.932,-50.935,-53.79,29.854,-48.153
12,1.9389,22.779,1,0,9.5,81.948,-38.067,-40.873,0.091402,-34.732,77.256,-51.336,-54.776,30.292,-46.794
13,14.477,22.607,1,0,9.5,81.534,-36.677,-40.155,0.31163,-35.471,78.6,-52.609,-54.679,30.114,-47.502
14,21.227,22.431,1,0,9.5,82.752,-37.142,-39.61,0.34862,-37.451,77.266,-52.728,-54.273,31.068,-48.656
15,6.0705,22.251,1,0,9.5,83.346,-36.707,-40.305,1.5626,-36.239,76.352,-54.439,-53.731,30.7,-47.964
16,12.194,22.07,1,0,9.5,83.128,-36.622,-41.231,-0.28596,-34.01,76.572,-55.327,-53.744,30.882,-48.263
17,5.5741,21.891,1,0,9.5,81.903,-36.22,-40.606,0.82008,-35.701,77.483,-58.685,-53.842,31.565,-48.491
18,6.719,21.714,1,0,9.5,81.971,-37.005,-39.486,1.4584,-35.891,78.494,-58.956,-53.352,30.926,-47.476
19,3.3708,21.542,1,0,9.5,84.026,-36.924,-37.635,2.7305,-35.697,78.285,-60.193,-55.092,33.919,-46.63
20,8.2494,21.376,1,0,9.5,83.646,-35.728,-37.487,2.7623,-34.939,78.647,-60.649,-54.397,34.953,-46.98
21,-5.9302,21.219,1,0,9.5,82.772,-34.322,-36.798,3.0376,-34.686,79.225,-61.151,-56.329,35.969,-46.074
22,-4.4878,21.071,1,0,9.5,82.289,-33.828,-36.634,3.6027,-34.09,78.779,-62.059,-55.6,35.918,-45.516
23,0.31918,20.936,1,0,9.5,84.686,-33.934,-36.772,2.9751,-33.893,80.198,-62.474,-56.76,35.184,-46.226
24,19.652,20.813,1,0,9.5,83.703,-33.775,-37.638,3.2607,-32.369,80.421,-63.555,-57.278,36.014,-46.62
25,15.941,20.705,1,0,9.5,83.175,-33.456,-35.346,4.2767,-32.9,81.483,-63.274,-56.912,35.256,-46.412
26,13.644,20.612,1,0,9.5,80.83,-33.366,-35.056,4.2955,-32.261,82.221,-62.286,-56.273,35.733,-46.015
27,3.7339,20.535,1,0,9.5,82.203,-32.964,-35.099,4.5572,-31.996,81.15,-62.003,-55.902,38.358,-45.76
28,29.112,20.476,1,0,9.5,82.499,-33.647,-35.953,4.7442,-33.204,79.884,-61.634,-54.465,40.826,-44.489
29,8.4113,20.434,1,0,9.5,84.057,-31.511,-35.078,5.0634,-31.607,80.527,-60.547,-52.532,40.557,-44.055
30,28.37,20.41,1,0,9.5,84.065,-31.598,-36.12,5.4344,-30.564,81.841,-58.174,-51.908,39.204,-42.277
31,69.023,20.405,1,0,9.5,84.158,-30.107,-36.093,5.5475,-28.692,81.15,-58.35,-49.988,39.655,-41.14
32,95.556,20.417,1,0,9.5,84.53,-29.311,-38.045,5.122,-28.406,78.37,-57.883,-50.071,38.348,-39.24
33,108.91,20.448,1,0,9.5,84.892,-30.622,-37.483,4.8659,-30.439,77.854,-58.382,-48.09,36.431,-38.577
34,129.47,20.496,1,0,9.5,84.806,-29.96,-36.924,7.2049,-31.399,77.165,-58.658,-48.777,38.142,-38.655
35,165.39,20.561,1,0,9.5,84.403,-28.923,-37.37,5.377,-32.388,76.58,-59.773,-48.805,37.191,-39.208
36,177.81,20.642,0,0,9.5,84.967,-29.021,-35.558,5.2103,-31.593,77.768,-59.922,-50.616,36.889,-39.201
37,217.01,20.737,0,0,9.5,84.64,-28.547,-35.857,5.4428,-32.936,76.206,-59.168,-50.786,37.275,-39.048
38,232.45,20.847,0,0,9.5,87.016,-28.415,-35.259,6.7206,-30.712,74.877,-60.896,-48.826,37.385,-38.627
39,253.27,20.969,0,0,9.5,87.849,-28.837,-36.007,4.7061,-32.36,75.194,-58.88,-50.949,38.641,-38.839
40,281.99,21.102,0,0,9.5,86.624,-27.378,-36.153,4.0672,-33.785,75.233,-59.477,-50.778,39.142,-39.007
41,306.27,21.244,0,0,9.5,87.498,-27.973,-36.491,3.8903,-33.951,75.889,-58.771,-50.369,38.526,-39.57
42,335.36,21.394,0,0,9.5,86.28,-29.797,-36.53,4.588,-35.699,75.131,-59.715,-51.376,39.372,-36.484
43,367.42,21.549,0,0,9.5,86.25,-29.539,-35.235,5.4745,-36.354,74.79,-61.515,-51.986,38.544,-36.061
44,377.18,21.709,0,0,9.5,86.184,-30.879,-35.88,7.5336,-35.629,73.467,-62.594,-54.028,38.471,-37.254
45,418.16,21.87,0,0,9.5,85.776,-31.624,-35.826,8.2171,-34.063,73.1,-62.444,-54.43,38.768,-38.112
46,425.16,22.032,0,0,9.5,85.674,-30.128,-38.308,9.0517,-35.346,72.592,-62.492,-54.137,38.476,-39.134
47,455.44,22.191,0,0,9.5,84.262,-29.181,-38.403,11.15,-36.474,72.793,-62.577,-53.618,37.325,-38.445
48,474.45,22.347,0,0,9.5,84.729,-29.352,-37.972,11.537,-35.436,71.569,-61.349,-53.215,37.223,-37.31
49,513.59,22.497,0,0,9.5,85.488,-27.809,-38.291,10.412,-36.024,73.176,-60.601,-52.271,37.665,-36.923
50,533.6,22.639,0,0,9.5,85.545,-27.076,-38.032,11.111,-36.806,72.083,-61.047,-52.177,36.502,-35.577
51,565.9,22.772,0,0,9.5,85.685,-26.308,-39.806,11.6,-37.557,70.689,-61.175,-52.318,36.714,-36.468
52,578.31,22.894,0,0,9.5,85.122,-26.09,-41,12.047,-36.201,72.173,-59.673,-51.447,36.548,-37.525
53,624.95,23.003,0,0,9.5,83.72,-26.544,-41.42,12.549,-37.725,72.63,-59.852,-52.265,35.8,-38.989
54,635.15,23.099,0,0,9.5,82.698,-25.445,-42.597,11.681,-38.025,74.064,-59.793,-52.335,36.549,-38.745
55,656.66,23.179,0,0,9.5,81.724,-25.883,-43.725,10.536,-39.78,75.231,-61.049,-51.589,36.341,-38.855
56,686.98,23.243,0,0,9.5,80.695,-26.613,-44.622,11.205,-39.384,76.003,-61.493,-49.492,37.577,-40.088
57,700.22,23.29,0,0,9.5,81.303,-26.298,-45.075,12.546,-39.028,76.34,-60.593,-48.825,38.017,-42.214
58,733.21,23.319,0,0,9.5,81.037,-27.242,-45.61,12.007,-38.623,76.322,-61.526,-49.199,38.639,-41.869
59,757.58,23.33,0,0,9.5,82.08,-27.034,-45.259,11.934,-37.432,75.473,-63.606,-51.621,37.265,-42.138
60,794.83,23.322,0,0,9.5,80.529,-26.911,-45.604,10.647,-36.914,75.86,-64.056,-50.175,36.326,-42.914
61,813.13,23.296,0,0,9.5,79.929,-27.755,-44.802,11.061,-37.559,75.342,-62.576,-50.775,35.584,-41.523
62,846.74,23.25,0,0,9.5,79.69,-29.481,-43.341,11.397,-36.34,76.22,-62.237,-50.1,35.449,-39.954
63,860.42,23.187,0,0,9.5,78.088,-29.425,-43.515,13.026,-35.873,74.817,-63.191,-49.084,35.005,-38.4
64,875.42,23.106,0,0,9.5,79.111,-28.409,-42.587,12.099,-34.854,73.382,-61.968,-47.35,34.907,-36.4
65,917.59,23.008,0,0,9.5,80.196,-28.565,-41.536,11.479,-34.626,74.309,-63.273,-46.268,33.948,-36.158
66,920.03,22.894,0,0,9.5,79.277,-28.799,-42.167,10.876,-34.645,74.655,-63.678,-47.802,34.347,-36.985
67,958.07,22.764,0,0,9.5,79.048,-28.346,-41.306,10.878,-33.343,73.047,-63.192,-47.3,32.688,-37.843
68,988.19,22.622,0,0,9.5,78.579,-27.375,-39.536,10.594,-32.523,73.091,-63.081,-48.701,32.211,-36.313
69,1018.2,22.466,0,0,9.5,78.774,-26.227,-39.295,11.242,-35.092,73.136,-62.309,-49.157,31.782,-36.085
70,1035.9,22.3,0,0,8.4444,78.132,-26.792,-39.967,9.5525,-34.395,72.844,-62.587,-48.597,30.745,-35.298
71,1043,22.125,0,0,7.3889,79.349,-27.365,-38.585,8.4456,-36.673,74.703,-62.762,-50.356,30.547,-33.638
72,1077.2,21.943,0,0,6.3333,79.84,-26.847,-38.16,9.6424,-37.141,75.09,-63.004,-50.657,31.244,-34.047
73,1123.4,21.755,0,0,5.2778,78.966,-26.204,-38.844,10.13,-35.927,75.425,-64.337,-51.605,31.819,-34.233
74,1147.3,21.564,0,0,4.2222,80.663,-26.067,-41.242,8.7456,-35.826,74.883,-64.784,-50.838,32.241,-33.464
75,1152.7,21.372,0,0,3.1667,81.484,-27.11,-40.234,9.6644,-36.41,76.649,-64.963,-50.23,31.494,-33.512
76,1188.1,21.179,0,0,2.1111,80.903,-25.695,-41.054,8.0122,-35.656,75.634,-65.822,-50.537,31.303,-33.334
77,1214,20.99,0,0,1.0556,81.212,-26.029,-41.528,8.1279,-36.38,76.599,-66.12,-51.36,32.11,-33.407
78,1234.3,20.804,0,0,0,79.898,-26.649,-42.502,8.0347,-36.373,75.753,-65.996,-52.441,31.044,-33.719
79,1282.2,20.625,0,0,0,80.794,-25.617,-42.209,8.0301,-36.821,76.103,-67.032,-53.244,31.237,-33.664
80,1310.9,20.454,0,0,0,82.794,-27.114,-41.968,7.8615,-36.544,76.321,-66.518,-54.272,31.245,-33.711
81,1313.7,20.294,0,0,0,81.741,-27.806,-40.747,6.8729,-35.787,76.555,-67.592,-53.679,31.645,-33.499
82,1325.2,20.144,0,0,0,82.326,-28.234,-41.199,6.7478,-34.195,76.118,-66.584,-53.469,30.345,-35.06
83,1372,20.008,0,0,0,82.2,-27.564,-39.82,6.5131,-32.966,75.355,-68.321,-52.338,29.932,-34.063
84,1394.9,19.886,0,0,0,81.286,-28.962,-39.714,7.2809,-32.912,74.772,-69.47,-52.882,28.938,-34.496
85,1426.3,19.78,0,0,0,81.233,-30.232,-38.959,7.0361,-32.432,73.506,-69.967,-52.938,28.746,-35.555
86,1428.3,19.69,0,0,0,81.228,-30.962,-37.56,5.9008,-32.266,74.063,-68.944,-52.96,30.032,-34.821
87,1473.1,19.618,0,0,0,82.955,-31.146,-37.862,6.8935,-31.719,75.665,-68.305,-53.632,29.935,-34.619
88,1494.2,19.564,0,0,0,84.152,-33.269,-38.304,9.9532,-32.863,76.151,-69.734,-53.76,27.839,-34.447
89,1536,19.529,0,0,0,83.769,-31.738,-39.695,10.428,-32.022,75.257,-69.635,-51.914,29.428,-34.012
90,1542.2,19.512,0,0,0,84.41,-32.94,-40.639,9.0702,-31.46,74.488,-71.194,-51.779,29.597,-33.716
91,1585.9,19.514,0,0,0,83.304,-33.767,-39.685,8.1125,-31.081,75.054,-71.654,-50.673,31.846,-33.707
92,1585.1,19.534,0,0,0,80.8,-34.815,-39.23,6.9324,-30.172,74.639,-71.642,-51.103,31.15,-34.378
93,1603.8,19.573,0,0,0,80.762,-35.123,-39.576,6.7534,-28.888,74.599,-69.966,-49.888,29.857,-33.678
94,1643.2,19.629,0,0,0,79.719,-35.68,-38.875,5.7722,-28.331,76.251,-70.158,-50.047,30.869,-34.111
95,1671.3,19.702,0,0,0,77.732,-34.4,-40.648,7.0479,-28.161,78.244,-70.378,-49.693,32.699,-36.192
96,1691.9,19.791,0,0,0,78.846,-33.838,-41.588,8.0488,-29.974,77.513,-70.07,-50.871,32.675,-38.915
97,1726.7,19.894,0,0,0,78.318,-32.623,-40.497,9.0034,-29.078,78.668,-70.533,-50.998,30.76,-38.002
98,1734.8,20.01,0,0,0,78.478,-33.351,-41.094,11.029,-27.672,77.064,-72.676,-50.986,31.367,-37.024
99,1758,20.137,0,0,0,79.084,-33.561,-39.342,10.999,-28.259,77.46,-73.619,-50.141,32.111,-38.147
100,1806.6,20.274,0,0,0,77.537,-35.386,-39.348,9.7807,-27.082,78.117,-72.929,-50.718,32.06,-39.344
101,1815.1,20.42,0,0,0,77.494,-34.531,-39.133,9.7072,-27.622,77.698,-71.635,-50.876,31.792,-39.061
