Time,Altitude,AirSpeed,Landing_Gear,Thrust_Rev,Flaps,Param1_1,Param1_2,Param1_3,Param1_4,Param2,Param3_1,Param3_2,Param3_3,Param3_4,Param4
1,0.19435,18.404,1,0,9.5,-52.583,9.952,-17.446,1.0405,-62.776,85.426,-27.397,-57.641,-128.42,-31.528
2,6.249,18.447,1,0,9.5,-53.313,10.696,-17.238,2.456,-62.535,86.461,-27.431,-57.051,-129.49,-31.977
3,9.3135,18.532,1,0,9.5,-52.358,11.281,-17.512,1.6748,-64.711,85.158,-26.5,-56.647,-129.87,-31.89
4,5.9182,18.659,1,0,9.5,-54.089,12.071,-16.911,0.11699,-64.698,84.525,-24.425,-56.504,-129.57,-33.043
5,-10.385,18.826,1,0,9.5,-54.851,14.924,-16.138,-0.35707,-64.194,83.749,-24.285,-57.012,-130.76,-33.025
6,-3.8261,19.032,1,0,9.5,-54.81,13.154,-15.709,0.15622,-64.759,83.062,-23.535,-55.418,-131.12,-34.027
7,-7.3677,19.274,1,0,9.5,-55.227,12.941,-15.637,1.3713,-64.653,83.116,-24.227,-56.169,-131.11,-35.089
8,-15.513,19.551,1,0,9.5,-55.009,14.094,-15.23,2.0724,-61.046,82.794,-26.122,-54.811,-128.99,-35.005
9,3.7297,19.858,1,0,9.5,-56.245,13.177,-14.837,3.0034,-60.019,81.611,-25.539,-54.406,-126.85,-35.527
10,10.571,20.194,1,0,9.5,-55.437,11.238,-15.045,3.0761,-60.775,82.007,-24.732,-56.164,-128.42,-34.119
11,0.75921,20.555,1,0,9.5,-56.445,12.075,-14.84,3.6157,-60.763,82.199,-25.662,-56.569,-128.66,-32.995
12,-7.893,20.937,1,0,9.5,-57.172,10.878,-14.24,3.7533,-59.227,80.94,-24.485,-56.956,-129.06,-32.374
13,2.9459,21.336,1,0,9.5,-58.308,12.134,-15.111,2.7794,-59.893,81.64,-25.035,-57.301,-129.63,-30.777
14,12.348,21.748,1,0,9.5,-59.375,11.317,-13.908,6.066,-59.592,81.135,-26.156,-59.045,-129.61,-30.041
15,-3.3806,22.17,1,0,9.5,-58.537,11.097,-12.327,7.16,-59.52,80.197,-24.571,-57.351,-130.02,-31.726
16,2.2912,22.597,1,0,9.5,-58.969,12.575,-12.64,5.9468,-58.997,82.108,-21.689,-58.067,-129.04,-30.975
17,7.2726,23.024,1,0,9.5,-59.361,12.681,-14.387,8.679,-59.853,79.667,-21.322,-57.121,-129.16,-29.548
18,-3.3738,23.448,1,0,9.5,-58.634,14.528,-12.827,8.4139,-59.065,79.651,-21.438,-56.042,-128.76,-29.707
19,-1.0737,23.864,1,0,9.5,-58.193,13.794,-13.326,7.2897,-60.726,80.28,-19.964,-56.089,-131.77,-29.077
20,-6.6068,24.268,1,0,9.5,-59.114,14.613,-12.329,9.8498,-61.496,81.495,-20.09,-57.875,-131.56,-30.938
21,5.9135,24.657,1,0,9.5,-62.025,15.501,-11.299,10.763,-61.212,82.224,-21.029,-58.55,-131.96,-31.035
22,13.347,25.025,1,0,9.5,-63.695,13.695,-12.34,11.339,-60.039,82.401,-20.048,-60.178,-132.08,-31.083
23,13.728,25.371,1,0,9.5,-62.991,12.458,-12.754,11.999,-60.244,83.499,-19.692,-60.876,-132.2,-31.108
24,12.955,25.69,1,0,9.5,-60.725,13.749,-12.12,11.098,-59.638,83.433,-21.548,-61.84,-134.07,-31.76
25,10.765,25.98,1,0,9.5,-61.588,14.095,-13.126,13.138,-58.467,85.237,-21.846,-63.253,-135.2,-30.775
26,-9.6328,26.237,1,0,9.5,-61.225,13.043,-13.723,13.041,-57.263,84.613,-20.462,-62.492,-135.52,-31.002
27,15.741,26.46,1,0,9.5,-60.217,14.152,-14.806,13.843,-57.604,84.654,-19.66,-63.154,-136.02,-29.164
28,11.966,26.646,1,0,9.5,-60.94,13.763,-14.911,12.246,-57.661,83.249,-18.954,-62.503,-135.72,-28.68
29,14.974,26.793,1,0,9.5,-59.996,15.407,-14.975,10.656,-57.579,81.798,-18.193,-61.36,-135.69,-28.379
30,21.177,26.902,1,0,9.5,-59.967,14.339,-15.764,11.088,-56.806,80.968,-17.401,-62.11,-137.39,-28.36
31,33.282,26.97,1,0,9.5,-58.113,15.775,-16.922,11.047,-58.356,79.279,-18.53,-61.451,-136.15,-28.808
32,64.543,26.997,1,0,9.5,-55.113,16.702,-16.736,11.394,-58.644,79.368,-18.932,-62.025,-135.3,-28.533
33,80.439,26.983,1,0,9.5,-55.579,17.601,-16.099,10.063,-56.264,79.807,-17.939,-60.851,-134.9,-29.459
34,96.735,26.93,1,0,9.5,-55.868,17.687,-16.738,8.9475,-56.647,81.702,-17.437,-61.069,-136.57,-29.55
35,120.69,26.837,1,0,9.5,-56.464,20.054,-16.366,8.6373,-55.749,83.3,-19.342,-61.818,-135.35,-29.452
36,154.38,26.707,0,0,9.5,-56.604,18.894,-17.498,9.1857,-54.361,82.879,-20.217,-64.147,-135.11,-29.218
37,174.04,26.54,0,0,9.5,-56.495,17.856,-16.439,8.7129,-53.709,83.836,-21.039,-63.763,-135.02,-29.082
38,194.87,26.34,0,0,9.5,-56.674,16.818,-16.967,7.4159,-53.623,83.902,-21.581,-64.16,-135.33,-29.449
39,223.21,26.107,0,0,9.5,-57.439,14.905,-18.848,7.8116,-52.33,84.029,-20.98,-63.131,-136.86,-28.202
40,261.79,25.846,0,0,9.5,-56.124,14.256,-18.277,9.5869,-51.234,84.293,-21.165,-62.721,-136.43,-27.369
41,275.63,25.559,0,0,9.5,-56.324,15.17,-18.332,9.579,-51.091,84.081,-21.28,-63.625,-136.56,-29.261
42,316.14,25.25,0,0,9.5,-56.322,14.985,-19.087,9.1967,-50.596,83.536,-21.553,-62.642,-136.36,-29.963
43,355.29,24.922,0,0,9.5,-55.469,15.614,-19.842,8.6526,-51.09,83.985,-22.39,-62.86,-137.13,-27.746
44,328.76,24.579,0,0,9.5,-55.625,14.851,-18.944,8.7263,-49.969,84.397,-23.191,-63.653,-136.38,-27.826
45,369.82,24.225,0,0,9.5,-55.517,14.026,-18.004,8.267,-48.709,85.505,-22.693,-64.606,-135.84,-27.043
46,382.65,23.863,0,0,9.5,-55.163,15.155,-17.718,7.7487,-47.869,84.691,-24.508,-65.255,-136.77,-27.243
47,413.03,23.499,0,0,9.5,-56.171,14.601,-17.806,6.7741,-49.402,84.241,-25.081,-65.329,-134.86,-27.725
48,441.2,23.136,0,0,9.5,-55.094,13.775,-17.248,7.9134,-50.985,81.305,-26.29,-66.577,-134.15,-29.462
49,445.56,22.778,0,0,9.5,-56.453,13.405,-16.806,7.7038,-51.899,81.29,-27.978,-66.615,-133.47,-27.971
50,482.04,22.429,0,0,9.5,-54.186,13.674,-16.848,8.1584,-51.594,81.805,-27.972,-67.214,-132.22,-29.898
51,518.55,22.094,0,0,9.5,-53.704,14.121,-15.433,6.6097,-51.417,82.308,-28.351,-67.355,-132.5,-30.577
52,524.48,21.775,0,0,9.5,-52.638,14.521,-15.522,6.3559,-51.902,82.182,-27.77,-68.218,-132.97,-30.409
53,566.31,21.477,0,0,9.5,-52.702,13.379,-16.038,7.5603,-51.525,84.469,-27.189,-68.276,-133.2,-31.752
54,568.09,21.203,0,0,9.5,-50.683,15.205,-16.726,7.8531,-51.129,85.654,-26.418,-68.523,-134.03,-31.994
55,611.88,20.957,0,0,9.5,-51.828,12.567,-17.482,8.7604,-51.269,85.098,-26.718,-70.264,-131.65,-30.629
