Time,Altitude,AirSpeed,Landing_Gear,Thrust_Rev,Flaps,Param1_1,Param1_2,Param1_3,Param1_4,Param2,Param3_1,Param3_2,Param3_3,Param3_4,Param4
1,14.707,21.376,1,0,9.5,-61.18,29.308,-54.871,36.247,59.736,-14.065,-123.85,-60.228,-15.144,-14.975
2,19.769,21.359,1,0,9.5,-60.959,29.006,-54.383,35.365,61.657,-14.353,-123.7,-59.083,-16.63,-13.843
3,-14.033,21.326,1,0,9.5,-60.959,29.119,-55.424,35.847,62.343,-14.456,-125.01,-60.876,-17.664,-15.611
4,26.497,21.277,1,0,9.5,-62.542,28.938,-54.515,36.948,61.766,-15.025,-124.23,-61.122,-16.85,-18.129
5,-3.3193,21.213,1,0,9.5,-62.662,28.466,-55.693,34.364,62.18,-16.054,-124.44,-61.418,-17.483,-18.499
6,6.577,21.135,1,0,9.5,-61.839,28.98,-55.924,33.099,62.582,-16.746,-124.49,-61.513,-16.637,-19.06
7,8.1246,21.044,1,0,9.5,-62.432,28.499,-57.598,32.687,60.86,-17.743,-123.57,-61.143,-17.899,-20.203
8,3.3464,20.941,1,0,9.5,-62.902,28.482,-56.022,33.591,61.19,-16.813,-123.74,-61.534,-20.063,-19.447
9,-3.959,20.828,1,0,9.5,-62.46,28.591,-55.107,32.842,60.698,-15.939,-124.62,-60.265,-21.238,-19.227
10,-10.943,20.707,1,0,9.5,-61.515,26.819,-55.481,33.29,60.155,-15.917,-123.82,-59.467,-20.763,-19.247
11,6.7787,20.58,1,0,9.5,-61.207,28.657,-55.034,33.151,60.761,-15.06,-123.49,-59.476,-18.838,-18.026
12,-8.4275,20.449,1,0,9.5,-61.983,28.211,-54.72,34.599,62.205,-15.586,-122.87,-59.352,-15.605,-17.712
13,-12.623,20.316,1,0,9.5,-63.162,28.495,-53.678,32.564,61.183,-15.178,-121.58,-59.953,-16.468,-17.976
14,-1.2894,20.183,1,0,9.5,-63.145,28.541,-54.634,31.096,61.657,-15.815,-121.67,-61.745,-18.085,-17.88
15,2.5334,20.052,1,0,9.5,-62.709,30.435,-54.365,33.257,62.444,-15.024,-121.59,-62.287,-17.967,-17.096
16,11.712,19.926,1,0,9.5,-62.505,30.567,-55.339,32.865,60.64,-14.974,-121.85,-62.371,-18.444,-16.805
17,-8.5653,19.808,1,0,9.5,-62.216,30.808,-55.663,31.453,61.348,-16.024,-122.81,-62.21,-17.67,-17.74
18,22.597,19.699,1,0,9.5,-62.523,32.908,-55.711,31.486,61.174,-16.946,-123.39,-63.925,-18.032,-15.716
19,12.714,19.601,1,0,9.5,-62.655,35.074,-56.761,32.292,61.621,-17.97,-124.79,-63.179,-18.284,-14.433
20,8.9856,19.518,1,0,9.5,-62.945,34.186,-55.542,32.047,62.259,-16.66,-123.25,-63.89,-19.114,-12.616
21,9.6021,19.45,1,0,9.5,-62.204,34.163,-57.909,31.547,63.334,-15.688,-124.41,-62.388,-17.843,-13.099
22,21.431,19.4,1,0,9.5,-63.024,34.276,-57.94,30.455,64.249,-16.424,-122.48,-62.911,-17.343,-13.009
23,9.5231,19.37,1,0,9.5,-63.897,34.93,-57.759,29.775,64.878,-15.624,-121.61,-64.074,-17.524,-13.512
24,-1.1614,19.361,1,0,9.5,-64.734,35.565,-57.41,29.523,63.625,-15.179,-120.56,-64.822,-15.513,-13.04
25,-9.8506,19.374,1,0,9.5,-65.236,35.237,-56.906,28.528,62.136,-14.113,-119.47,-63.28,-15.309,-13.398
