Time,Altitude,AirSpeed,Landing_Gear,Thrust_Rev,Flaps,Param1_1,Param1_2,Param1_3,Param1_4,Param2,Param3_1,Param3_2,Param3_3,Param3_4,Param4
1,10.362,16.591,1,0,9.5,89.65,134.01,50.572,2.6227,24.159,3.4749,-17.74,-70.201,-63.757,-46.763
2,-8.5073,16.604,1,0,9.5,89.295,135.15,51.038,1.1555,25.318,2.6797,-20.117,-70.693,-62.404,-46.501
3,-15.498,16.629,1,0,9.5,88.814,136.13,51.641,2.1979,26.383,1.6959,-19.389,-70.414,-62.705,-46.1
4,-1.4201,16.668,1,0,9.5,89.185,135.99,52.843,1.9732,25.995,1.4939,-19.898,-70.229,-63.843,-47.775
5,3.4039,16.719,1,0,9.5,88.27,137.44,53.544,1.848,22.676,1.2033,-19.656,-70.521,-63.933,-49.258
6,-6.75,16.782,1,0,9.5,87.989,138.27,53.835,2.2649,23.815,0.60395,-20.156,-69.955,-63.633,-49.204
7,-9.2263,16.858,1,0,9.5,88.562,137.8,53.262,2.9966,23.583,1.2701,-20.592,-68.915,-63.335,-49.201
8,15.037,16.945,1,0,9.5,87.406,138.83,51.893,4.1321,25.07,0.2078,-21.199,-69.706,-61.994,-50.718
9,-9.4582,17.042,1,0,9.5,86.615,137.81,52.569,4.2649,25.31,-0.8798,-23.852,-69.795,-63.912,-52.407
10,-2.2918,17.151,1,0,9.5,86.622,138.37,52.64,6.6023,25.603,-1.5731,-24.881,-70.815,-64.744,-52.101
11,9.6489,17.27,1,0,9.5,87.476,138.77,53.153,5.7006,25.19,-1.1034,-26.064,-72.379,-65.819,-52.632
12,28.519,17.398,1,0,9.5,86.37,139.12,52.177,5.3513,26.448,-0.21834,-25.896,-71.986,-65.704,-52.215
13,17.469,17.535,1,0,9.5,86.008,137.84,52.232,6.6876,25.084,-0.42685,-25.086,-71.795,-66.014,-51.389
14,6.8818,17.68,1,0,9.5,87.12,137.08,52.718,7.4429,26.322,-0.95995,-24.851,-72.464,-66.155,-50.918
15,8.2842,17.832,1,0,9.5,86.091,136.3,51.154,8.3155,27.859,-1.7171,-25.19,-71.663,-65.584,-51.292
16,8.5488,17.992,1,0,9.5,86.049,134.31,49.992,7.7666,27.74,-1.5532,-24.751,-69.62,-67.156,-49.894
17,-1.5293,18.157,1,0,9.5,86.808,134.28,49.648,6.9698,28.127,-2.046,-24.358,-69.668,-68.941,-48.024
18,-5.746,18.327,1,0,9.5,87.983,134.71,50.25,4.9471,27.656,-2.7377,-22.693,-69.927,-70.358,-48.461
19,-2.7762,18.502,1,0,9.5,88.309,135.39,50.433,4.5401,26.768,-2.2333,-23.095,-70.721,-70.673,-46.672
20,-0.64124,18.681,1,0,9.5,89.933,134.98,50.638,5.8951,27.478,-1.864,-23.915,-71.947,-70.845,-48.361
21,23.143,18.862,1,0,9.5,89.593,134.35,52.092,5.7158,27.028,-2.5126,-23.963,-71.931,-70.361,-49.233
22,11.924,19.045,1,0,9.5,88.549,132.8,53.616,6.2809,26.554,-2.8303,-23.373,-72.122,-71.113,-48.856
23,19.158,19.23,1,0,9.5,87.528,133.02,55.491,6.8314,25.891,-2.7999,-25.101,-70.924,-70.462,-49.092
24,9.2094,19.415,1,0,9.5,88.071,133.55,56.886,5.017,24.293,-3.2754,-26.001,-70.666,-71.26,-48.486
25,2.2707,19.599,1,0,9.5,87.732,131.71,57.964,4.1978,24.602,-3.7847,-25.409,-69.676,-70.249,-49.351
26,11.94,19.783,1,0,9.5,85.444,131.41,58.42,6.0876,24.355,-4.0168,-24.54,-68.911,-69.907,-50.7
27,12.803,19.964,1,0,9.5,85.749,131.2,59.657,5.5752,25.219,-5.4594,-24.915,-68.125,-71.06,-50.725
28,39.451,20.144,1,0,9.5,87.697,132.18,61.056,4.8273,25.821,-4.7712,-22.68,-67.619,-72.664,-49.271
29,62.351,20.32,1,0,9.5,88.753,133.16,58.671,4.6087,25.596,-4.9821,-22.552,-68.559,-71.821,-50.878
30,113.98,20.492,1,0,9.5,89.879,131.74,58.007,5.0711,25.753,-3.7532,-21.588,-67.586,-70.881,-51.992
31,116.28,20.66,0,0,9.5,90.001,133.15,58.456,2.8352,26.399,-3.4496,-21.194,-67.308,-70.901,-51.917
32,161.35,20.823,0,0,9.5,90.293,132.58,59.303,1.5777,27.021,-3.4635,-21.733,-67.508,-69.327,-50.801
33,168.7,20.981,0,0,9.5,89.804,132.51,57.507,3.6608,28.349,-4.1535,-22.968,-65.932,-67.988,-51.348
34,215.23,21.133,0,0,9.5,91.335,131.97,60.585,2.8768,27.648,-3.166,-21.054,-65.135,-69.315,-50.307
35,213.66,21.279,0,0,9.5,92.29,132.66,60.383,2.1218,28.013,-3.5829,-21.599,-64.136,-69.551,-50.32
36,285.98,21.418,0,0,9.5,91.166,132.66,61.079,2.9963,27.499,-4.7111,-22.716,-63.395,-70.169,-49.839
37,282.69,21.55,0,0,9.5,93.858,133.25,61.655,2.8429,27.085,-4.4055,-25.054,-64.025,-70.034,-51.456
38,311.75,21.675,0,0,9.5,93.589,132.56,61.932,3.2507,26.792,-4.8885,-25.447,-61.923,-70.872,-52.317
39,350.06,21.793,0,0,9.5,94.328,132.8,61.607,2.9241,27.316,-4.4798,-26.36,-61.254,-71.2,-51.679
40,375.65,21.903,0,0,9.5,93.581,131.28,62.093,3.4355,25.966,-5.1443,-26.851,-61.711,-72.214,-51.975
41,404.86,22.005,0,0,9.5,93.19,129.58,61.57,3.8988,27.407,-4.2722,-25.759,-62.184,-72.286,-51.89
42,436.25,22.099,0,0,9.5,92.6,129.27,64.613,3.7095,28.191,-3.8495,-25.231,-60.961,-74.027,-51.538
43,461.61,22.185,0,0,9.5,91.692,127.71,64.355,2.5459,28.473,-2.6135,-25.828,-59.913,-73.589,-52.089
44,491.72,22.263,0,0,9.5,90.813,126.97,64.205,2.7763,29.502,-4.1931,-24.232,-60.485,-74.495,-51.156
45,520.83,22.333,0,0,9.5,90.837,126.08,65.878,1.6334,30.721,-4.1466,-23.027,-61.123,-75.154,-51.788
46,543.65,22.396,0,0,9.5,92.98,125.27,66.837,3.4412,31.283,-4.93,-24.619,-62.348,-75.737,-52.884
47,559.56,22.45,0,0,9.5,93.78,126.56,67.432,3.3699,31.202,-6.739,-23.088,-61.865,-78.106,-52.014
48,594.75,22.497,0,0,9.5,93.42,125.47,67.24,2.6491,30.887,-5.7068,-24.231,-63.303,-77.126,-55.391
49,615.55,22.536,0,0,9.5,91.687,123.93,67.755,1.6143,31.567,-5.8677,-22.974,-63.593,-77.111,-55.219
50,661.49,22.568,0,0,9.5,90.184,124.87,66.903,3.6458,31.783,-3.988,-22.838,-63.517,-76.233,-53.142
51,684.05,22.592,0,0,9.5,90.255,125.39,67.865,2.9871,32.496,-4.6118,-22.7,-62.917,-74.365,-54.146
52,702.34,22.61,0,0,9.5,88.383,124.94,67.883,3.0503,30.057,-5.4519,-22.133,-62.902,-75.57,-55.384
53,722.6,22.621,0,0,9.5,87.058,124.33,68.583,1.6844,29.487,-3.081,-21.201,-62.656,-76.198,-55.83
54,752.28,22.626,0,0,9.5,87.997,122.52,69.3,2.2328,28.869,-1.8416,-22.047,-63.646,-76.001,-57.634
55,801.24,22.625,0,0,9.5,86.68,123.62,66.629,1.2502,28.85,-1.1232,-23.464,-63.905,-75.808,-56.152
56,810.55,22.617,0,0,9.5,87.383,124.85,64.952,0.23695,26.722,0.52023,-23.814,-63.858,-76.218,-54.604
57,842.14,22.605,0,0,9.5,88.486,123.37,62.704,-0.27945,26.687,1.5246,-22.897,-63.11,-76.264,-53.1
58,885.19,22.587,0,0,9.5,87.704,123.74,63.045,-1.0788,28.795,1.8509,-21.551,-64.417,-75.278,-52.759
59,884.65,22.565,0,0,9.5,86.952,124.98,62.173,-0.6672,28.727,2.6004,-22.846,-64.301,-76.495,-53.992
60,942.78,22.538,0,0,9.5,85.345,124.65,60.481,0.47534,28.956,2.6221,-22.63,-63.314,-76.922,-53.943
61,950.4,22.507,0,0,9.5,85.595,125.1,59.802,0.91385,30.624,4.5754,-22.393,-62.47,-76.298,-52.245
62,987.47,22.473,0,0,9.5,84.04,125.01,58.24,-0.45681,30.369,5.8789,-22.764,-62.298,-78.144,-50.682
63,1020.1,22.436,0,0,9.5,84.005,125.34,57.068,-0.32882,31.993,5.4315,-22.381,-64.696,-77.075,-49.606
64,1045.5,22.396,0,0,9.5,83.982,125.3,57.937,-1.4119,30.147,5.0342,-22.109,-63.249,-75.917,-49.661
65,1061.1,22.354,0,0,9.5,83.114,126.19,57.755,-2.8025,30.033,2.8198,-21.29,-64.297,-76.172,-49.075
66,1100.7,22.31,0,0,9.5,83.529,125.19,56.591,-2.1,30.459,0.77495,-21.31,-64.956,-76.033,-49.1
67,1130.3,22.264,0,0,8.4444,83.455,124.56,57.137,-3.3291,30.697,0.75355,-20.917,-63.706,-74.879,-48.943
68,1142.7,22.218,0,0,7.3889,83.915,125.63,56.231,-4.5098,32.301,-0.95967,-20.572,-62.796,-73.041,-48.558
69,1166.7,22.172,0,0,6.3333,84.58,126.16,54.878,-4.4882,32.948,-1.0602,-20.626,-61.228,-72.818,-49.314
70,1205.5,22.126,0,0,5.2778,86.173,125.88,54.856,-5.0387,32.567,-1.3093,-19.553,-61.204,-71.62,-51.179
71,1232.1,22.08,0,0,4.2222,85.917,126.65,53.724,-4.3873,34.029,-1.9916,-18.89,-62.321,-69.849,-51.043
72,1267.8,22.036,0,0,3.1667,84.42,128.6,53.34,-3.8034,34.819,-2.9443,-17.719,-62.026,-69.904,-49.741
73,1280.2,21.993,0,0,2.1111,83.308,128.56,51.901,-1.6065,34.694,-2.4505,-17.505,-62.488,-70.02,-49.643
74,1330.4,21.953,0,0,1.0556,84.227,129.12,51.419,-1.5441,35.295,-1.3351,-16.605,-61.26,-69.641,-47.432
75,1354.5,21.915,0,0,0,83.235,129.01,50.952,-2.4611,34.898,-1.5368,-16.403,-60.985,-68.588,-48.433
76,1380.5,21.881,0,0,0,84.016,127.33,49.9,-4.3352,35.83,-1.2712,-17.56,-61.983,-69.044,-49.466
77,1392.7,21.85,0,0,0,83.368,126.81,49.399,-4.172,33.258,-2.1053,-16.712,-62.548,-69.055,-48.444
78,1430.5,21.825,0,0,0,84.951,125.03,49.027,-4.0974,32.355,-1.2751,-15.797,-62.664,-70.241,-49.335
79,1455.2,21.804,0,0,0,85.443,124.52,48.623,-3.0757,31.484,-0.85805,-16.262,-64.154,-70.645,-50.183
80,1476.9,21.789,0,0,0,86.324,122.65,46.481,-2.9528,30.904,0.8283,-15.97,-64.92,-69.917,-48.909
81,1507.8,21.779,0,0,0,86.986,123.01,45.607,-2.6926,30.713,1.0062,-17.016,-66.622,-70.046,-47.617
82,1535.8,21.777,0,0,0,85.684,122.57,44.647,-2.7351,32.896,-0.2066,-17.208,-65.736,-70.918,-47.287
83,1558.2,21.782,0,0,0,84.909,122.08,44.362,-2.4428,33.392,0.049162,-17.204,-65.318,-71.619,-47.374
