Time,Altitude,AirSpeed,Landing_Gear,Thrust_Rev,Flaps,Param1_1,Param1_2,Param1_3,Param1_4,Param2,Param3_1,Param3_2,Param3_3,Param3_4,Param4
1,1.8416,20.488,1,0,9.5,-73.027,-13.206,-51.37,26.37,-45.147,-0.696,-53.954,15.678,-28.938,71.666
2,7.108,20.481,1,0,9.5,-73.05,-13.291,-49.716,27.03,-44.615,-0.56214,-53.495,17.119,-29.781,68.537
3,1.3491,20.467,1,0,9.5,-74.766,-13.459,-48.765,28.028,-45.9,-1.1371,-54.372,17.994,-30.89,69.022
4,-18.818,20.447,1,0,9.5,-73.726,-13.423,-49.519,28.251,-46.846,-2.4384,-54.185,18.835,-30.332,69.534
5,1.3121,20.42,1,0,9.5,-74.323,-13.546,-50.064,29.525,-45.518,-2.2465,-52.722,19.421,-30.927,68.897
6,-7.5391,20.388,1,0,9.5,-74.299,-14.702,-50.296,29.406,-45.109,-1.9272,-51.777,18.192,-29.999,69.726
7,3.0474,20.351,1,0,9.5,-74.408,-16.425,-52.622,29.175,-46.217,-3.3491,-50.821,19.72,-26.878,69.872
8,-9.2284,20.309,1,0,9.5,-75.932,-16.114,-52.649,30.289,-46.311,-4.0894,-50.262,19.292,-26.336,71.255
9,11.441,20.264,1,0,9.5,-75.822,-15.659,-53.521,31.294,-45.307,-3.4822,-50.202,19.743,-25.949,71.449
10,6.8384,20.217,1,0,9.5,-74.892,-16.156,-52.041,32.05,-44.009,-3.5536,-50.858,19.477,-27.513,69.911
11,6.6111,20.168,1,0,9.5,-73.916,-15.072,-51.735,32.756,-44.789,-3.4794,-50.654,19.994,-26.839,69.774
12,7.2812,20.118,1,0,9.5,-73.96,-14.894,-52.107,33.368,-43.502,-3.7869,-51.364,18.327,-27.109,69.033
13,16.799,20.07,1,0,9.5,-74.608,-15.366,-53.003,34.367,-44.133,-5.9448,-50.454,18.05,-26.776,71.413
14,-0.97934,20.023,1,0,9.5,-73.862,-16.158,-52.417,34.189,-42.847,-5.7667,-49.777,18.048,-25.514,71.492
15,13.281,19.98,1,0,9.5,-74.147,-16.618,-52.698,34.322,-42.729,-5.1621,-49.328,16.896,-26.598,72.157
16,13.928,19.941,1,0,9.5,-74.407,-17.558,-51.877,33.154,-41.779,-4.0988,-49.621,17.466,-29.31,71.765
17,-0.35907,19.907,1,0,9.5,-72.327,-18.036,-52.597,33.241,-42.782,-5.1743,-49.038,14.554,-28.97,70.949
18,-19.193,19.88,1,0,9.5,-71.861,-17.01,-54.805,32.888,-42.167,-6.7216,-47.07,15.009,-27.817,72.103
19,11.908,19.861,1,0,9.5,-71.893,-17.334,-54.54,33.864,-41.384,-6.5783,-45.695,13.999,-28.625,72.219
20,16.781,19.851,1,0,9.5,-71.768,-15.625,-55.458,34.08,-43.033,-6.9866,-45.092,14.25,-28.104,70.691
21,7.5675,19.85,1,0,9.5,-70.829,-15.023,-55.497,34.006,-43.373,-6.4978,-44.783,13.892,-27.706,68.934
22,9.6701,19.861,1,0,9.5,-70.961,-13.857,-57.278,33.418,-43.203,-5.7688,-43.133,14.515,-26.822,68.319
23,-2.6003,19.883,1,0,9.5,-70.712,-14.267,-57.502,33.644,-41.859,-5.0912,-45.453,13.866,-25.09,69.495
24,5.5322,19.918,1,0,9.5,-70.589,-15.164,-56.502,32.974,-41.704,-3.8166,-46.044,13.818,-23.726,69.279
25,-2.2312,19.965,1,0,9.5,-69.759,-15.114,-56.781,32.153,-41.395,-4.2379,-47.486,11.022,-24.187,71.774
26,3.8872,20.026,1,0,9.5,-70.15,-15.771,-56.308,31.614,-42.674,-5.5335,-46.696,11.095,-22.236,73.76
27,0.39146,20.101,1,0,9.5,-71.239,-15.755,-56.461,31.111,-42.559,-8.0591,-47.951,11.834,-22.731,74.875
28,16.911,20.19,1,0,9.5,-71.323,-14.595,-56.566,29.968,-42.957,-6.4099,-48.53,12.419,-23.279,74.233
29,-7.2448,20.293,1,0,9.5,-71.939,-12.905,-56.208,29.612,-42.676,-6.2585,-49.598,10.907,-20.966,73.58
30,19.844,20.41,1,0,9.5,-72.134,-13.871,-57.548,30.343,-43.762,-6.4091,-50.743,11.355,-20.761,72.632
31,17.936,20.541,1,0,9.5,-72.088,-12.253,-56.693,31.438,-42.137,-5.3866,-53.347,9.7187,-22.759,72.912
32,5.8802,20.685,1,0,9.5,-72.141,-12.51,-55.637,30.845,-42.837,-3.9695,-54.281,8.7911,-22.927,69.693
33,13.101,20.841,1,0,9.5,-73.837,-11.802,-55.216,31.133,-42.489,-3.0051,-55.065,9.1946,-21.405,68.72
34,-1.0837,21.01,1,0,9.5,-73.108,-13.702,-54.704,31.06,-44.21,-3.8831,-53.697,9.9187,-20.064,67.852
35,52.034,21.19,1,0,9.5,-75.23,-13.207,-55.564,31.076,-45.86,-4.0404,-53.354,8.45,-20.685,66.726
36,49.44,21.38,1,0,9.5,-75.636,-13.069,-55.968,31.149,-44.985,-3.5062,-52.657,8.8727,-19.576,68.098
37,65.004,21.579,1,0,9.5,-76.522,-14.302,-53.731,30.027,-44.484,-3.7701,-52.782,8.4723,-19.569,67.814
38,90.883,21.786,1,0,9.5,-78.429,-14.173,-53.903,31.303,-43.964,-2.2015,-52.353,7.72,-18.656,68.737
39,112.69,22,1,0,9.5,-78.757,-14.289,-54.285,32.588,-42.788,-1.8508,-51.955,7.674,-18.364,71.041
40,124.83,22.218,0,0,9.5,-77.953,-14.182,-55.99,32.664,-42.031,-1.8553,-53.459,7.613,-18.202,72.829
41,166.83,22.44,0,0,9.5,-76.098,-14.952,-56.059,32.641,-43.554,-2.4687,-52.608,6.5651,-17.684,71.986
42,177.7,22.663,0,0,9.5,-74.645,-13.706,-56.829,32.928,-44.619,-2.0245,-51.792,7.2584,-18.18,73.485
43,195.66,22.887,0,0,9.5,-74.981,-12.907,-57.713,34.002,-43.944,-2.5361,-52.068,6.7092,-17.354,74.53
44,228.83,23.11,0,0,9.5,-74.426,-11.104,-59.028,34.417,-43.525,-3.6502,-51.112,6.418,-18.152,74.475
45,248.2,23.329,0,0,9.5,-74.88,-10.929,-57.998,34.143,-42.088,-2.9264,-51.093,6.4506,-16.647,75.967
46,265.37,23.543,0,0,9.5,-74.558,-11.419,-58.834,33.872,-42.109,-2.9696,-53.637,5.8366,-17.371,76.928
