Time,Altitude,AirSpeed,Landing_Gear,Thrust_Rev,Flaps,Param1_1,Param1_2,Param1_3,Param1_4,Param2,Param3_1,Param3_2,Param3_3,Param3_4,Param4
1,-13.932,22.277,1,0,9.5,-12.648,-52.141,88.234,23.594,-6.8261,-64.49,-25.19,55.761,-1.4982,19.186
2,0.16896,22.273,1,0,9.5,-12.961,-53.139,89.12,23.778,-7.5123,-62.89,-25.521,54.176,0.10754,19.803
3,-3.7192,22.266,1,0,9.5,-11.398,-53.777,89.753,23.941,-6.3189,-61.307,-26.743,53.929,-0.75247,19.686
4,4.2053,22.255,1,0,9.5,-11.058,-54.156,92.404,24.728,-6.2685,-62.208,-27.998,51.25,-1.3569,19.342
5,9.1154,22.241,1,0,9.5,-12.726,-54.774,91.189,26.139,-4.8772,-62.698,-27.632,50.653,-1.4124,20.15
6,15.215,22.224,1,0,9.5,-12.684,-55.09,91.376,27.105,-4.1978,-62.976,-28.039,51.22,0.51904,21.687
7,4.6297,22.204,1,0,9.5,-12.934,-55.702,91.698,28.315,-4.6272,-64.499,-27.16,52.652,0.16229,21.758
8,6.3075,22.183,1,0,9.5,-12.168,-54.701,92.061,28.753,-5.3202,-63.52,-26.521,52.764,-0.91173,21.622
9,-13.346,22.16,1,0,9.5,-11.329,-56.447,92.387,29.195,-5.3425,-64.557,-26.521,51.905,-1.9296,22.628
10,6.2027,22.137,1,0,9.5,-12.765,-56.711,91.385,27.843,-4.8137,-63.829,-26.9,50.49,-1.7926,22.399
11,6.6294,22.113,1,0,9.5,-11.098,-55.633,93.521,28.202,-3.2623,-64.041,-27.534,49.991,-2.4746,25.023
12,7.8937,22.09,1,0,9.5,-10.817,-55.804,95.017,27.002,-3.4264,-61.943,-27.023,50.927,-2.3917,24.5
13,9.031,22.068,1,0,9.5,-11.021,-56.156,95.83,27.199,-4.6774,-62.253,-26.077,51.162,-3.625,24.97
14,21.356,22.048,1,0,9.5,-13.282,-57.013,95.858,27.485,-3.81,-62.591,-25.977,52.62,-4.4856,25.435
15,0.49586,22.031,1,0,9.5,-14.11,-56.506,96.262,25.918,-5.3431,-61.95,-24.187,52.883,-3.7598,26.976
16,-1.1415,22.018,1,0,9.5,-14.615,-56.508,95.395,27.345,-7.7407,-61.236,-25.561,53.645,-3.9219,28.535
17,-0.13465,22.009,1,0,9.5,-16.913,-56.463,95.69,26.894,-9.2342,-61.807,-23.881,52.305,-4.6074,28.995
18,8.5243,22.004,1,0,9.5,-15.961,-56.347,95.193,25.551,-9.9287,-61.858,-25.101,52.527,-6.143,27.722
19,4.531,22.006,1,0,9.5,-15.29,-57.832,95.083,25.769,-11.54,-62.471,-25.774,53.086,-6.6329,26.955
20,13.839,22.013,1,0,9.5,-14.199,-57.863,96.743,25.845,-10.995,-61.985,-26.403,54.297,-6.8134,28.594
21,-3.0136,22.028,1,0,9.5,-13.151,-58.298,95.315,24.642,-10.388,-61.44,-26.097,53.974,-5.9543,27.274
