Time,Altitude,AirSpeed,Landing_Gear,Thrust_Rev,Flaps,Param1_1,Param1_2,Param1_3,Param1_4,Param2,Param3_1,Param3_2,Param3_3,Param3_4,Param4
1,-6.3776,25.784,1,0,9.5,28.555,79.615,17.029,-16.891,-118.06,7.275,13.216,12.512,111.13,83.273
2,0.67817,25.769,1,0,9.5,26.654,80.081,18.231,-16.555,-118.93,7.5799,12.765,12.798,112.19,85.183
3,-1.7846,25.74,1,0,9.5,27.773,81.229,16.532,-16.269,-119.09,7.3062,12.917,11.785,111.97,84.501
4,-2.5625,25.697,1,0,9.5,26.781,81.501,18.399,-15.169,-117.32,6.5827,13.172,9.9348,111.68,83.334
5,-2.9253,25.639,1,0,9.5,26.899,81.462,21.047,-14.27,-117,6.0725,13.525,9.713,111.89,84.493
6,-12.584,25.568,1,0,9.5,25.83,81.726,22.585,-13.759,-116.83,4.4869,13.41,10.248,111.19,84.792
7,7.2163,25.482,1,0,9.5,22.942,83.445,23.745,-14.171,-116.67,5.4216,14.061,9.7599,111.16,84.754
8,-3.7756,25.382,1,0,9.5,23.553,84.349,25.855,-12.466,-116.01,5.5636,15.015,11.14,111.42,83.812
9,-11.268,25.269,1,0,9.5,23.908,84.32,27.361,-12.87,-114.79,6.8419,14.887,11.851,110.42,83.348
10,2.1178,25.142,1,0,9.5,23.579,82.914,27.47,-12.481,-113.6,8.022,13.871,12.651,109.54,83.614
11,-12.443,25.002,1,0,9.5,22.972,82.544,26.982,-13.504,-113.16,9.0692,14.108,12.458,111.14,83.185
12,-1.1569,24.849,1,0,9.5,24.906,82.365,26.823,-13.963,-113.25,8.8184,13.635,10.049,110.1,83.382
13,4.0523,24.684,1,0,9.5,26.126,81.984,26.247,-13.663,-112.58,8.5654,12.292,6.4356,110.55,83.644
14,0.55162,24.507,1,0,9.5,26.827,81.569,26.151,-13.442,-113.68,8.6047,12.145,6.1772,110.73,83.001
15,1.4136,24.319,1,0,9.5,26.139,81.527,27.758,-13.262,-114.17,9.484,13.762,5.0151,109.7,81.848
16,9.7615,24.119,1,0,9.5,25.302,80.038,26.628,-13.002,-115.59,10.412,15.063,7.0078,110.02,82.439
17,15.39,23.91,1,0,9.5,25.133,80.331,26.684,-13.529,-114.92,10.719,16.633,7.4429,108.21,83.359
18,-3.4095,23.69,1,0,9.5,25.64,78.596,24.852,-10.863,-114.14,9.9588,16.082,8.4532,106.89,84.109
19,10.699,23.462,1,0,9.5,26.314,77.561,25.082,-12.626,-114.61,8.2862,14.464,9.2252,106.6,81.469
20,3.3369,23.225,1,0,9.5,25.298,79.67,25.995,-10.817,-114.21,8.1762,13.671,7.7731,106.98,81.154
21,12.95,22.981,1,0,9.5,25.939,78.911,26.993,-9.3317,-113.98,9.0341,12.426,6.7447,107.74,80.97
22,19.73,22.73,1,0,9.5,25.411,79.748,26.693,-8.2778,-114.41,10.344,12.301,6.9005,106.67,80.697
23,4.1064,22.474,1,0,9.5,25.403,81.61,26.461,-9.6521,-115.65,10.415,12.445,6.5342,105.59,81.573
24,17.489,22.213,1,0,9.5,27.567,81.84,26.504,-9.3459,-116.88,12.069,13.303,4.5738,105.23,81.812
25,9.479,21.948,1,0,9.5,27.633,82.627,25.7,-9.968,-116.03,12.598,14.475,6.9878,106.07,81.661
