Time,Altitude,AirSpeed,Landing_Gear,Thrust_Rev,Flaps,Param1_1,Param1_2,Param1_3,Param1_4,Param2,Param3_1,Param3_2,Param3_3,Param3_4,Param4
1,-0.07384,17.882,1,0,9.5,-26.666,39.166,-2.2063,-67.603,103.03,-50.75,-37.386,1.0436,99.371,30.225
2,10.014,17.898,1,0,9.5,-26.575,38.738,-2.1325,-68.284,103.08,-50.893,-37.148,2.5125,99.601,31.845
3,0.11308,17.93,1,0,9.5,-28.391,39.95,-1.2488,-69.112,104.06,-50.169,-34.997,2.1949,99.592,33.466
4,16.127,17.979,1,0,9.5,-28.452,40.886,-0.64109,-69.084,104.95,-50.762,-36.974,2.4152,99.872,32.978
5,-4.0209,18.043,1,0,9.5,-28.004,40.37,-0.68453,-67.048,104.86,-51.403,-38.286,3.3376,99.254,32.38
6,10.734,18.123,1,0,9.5,-28.734,40.851,-1.9739,-71.369,106.08,-51.97,-38.313,4.0995,98.511,32.818
7,3.2847,18.219,1,0,9.5,-29.058,41.391,-2.1867,-71.875,106,-52.518,-37.866,4.2015,97.907,32.056
8,-7.8383,18.329,1,0,9.5,-28.837,40.176,-1.6936,-70.977,106.1,-52.119,-36.434,3.9194,98.393,31.726
9,5.9881,18.453,1,0,9.5,-26.994,40.215,-2.1356,-69.572,106.06,-52.801,-36.667,3.7188,100.13,32.853
10,-11.339,18.591,1,0,9.5,-27.104,40.002,-1.5758,-70.938,105.31,-54.537,-38.035,3.1662,100.98,33.93
11,-4.7644,18.743,1,0,9.5,-27.195,40.22,-0.56801,-71.917,105.14,-55.376,-37.079,2.7972,101.8,34.539
12,-0.075579,18.907,1,0,9.5,-27.815,40.866,-1.3834,-71.752,105.2,-54.647,-37.316,4.6155,101.85,35.316
13,1.1678,19.082,1,0,9.5,-27.128,42.533,0.38764,-70.625,104.9,-54.639,-35.548,3.8817,100.92,35.742
14,27.012,19.269,1,0,9.5,-26.932,39.97,2.0177,-71.386,103.15,-53.541,-33.657,4.4033,103.11,34.623
15,-3.3307,19.467,1,0,9.5,-26.343,41.106,1.6108,-71.463,104.19,-53.597,-33.058,5.3067,102.5,33.783
16,3.3531,19.673,1,0,9.5,-26.88,41.324,1.5557,-70.976,103.66,-53.99,-33.479,7.3693,101.72,32.788
17,-5.631,19.889,1,0,9.5,-27.105,40.785,0.80742,-70.313,101.94,-52.778,-34.437,7.2484,102,35.209
18,7.0018,20.112,1,0,9.5,-26.631,40.095,0.36304,-70.165,101.79,-52.142,-34.791,7.8361,100.91,34.626
19,6.7586,20.343,1,0,9.5,-26.362,40.356,-0.48279,-71.383,103.24,-52.697,-36.315,7.0646,103.19,34.933
20,-6.9985,20.579,1,0,9.5,-25.417,39.989,-1.4296,-72.182,102.42,-52.459,-34.865,7.226,103.19,35.6
21,12.51,20.82,1,0,9.5,-25.071,40.801,-1.1168,-72.437,103.07,-53.103,-34.976,5.3231,102.64,36.164
22,11.19,21.066,1,0,9.5,-25.266,40.74,-2.2102,-72.886,102.55,-51.601,-33.291,3.5792,101.29,35.545
23,-3.5245,21.314,1,0,9.5,-26.349,41.263,-2.742,-72.921,103.11,-53.11,-32.326,4.4735,102.35,34.473
24,0.38692,21.565,1,0,9.5,-24.919,41.623,-3.8685,-73.302,102.56,-53.315,-31.535,4.8487,101.1,34.114
25,1.9756,21.818,1,0,9.5,-23.602,42.148,-4.4988,-72.605,101.27,-54,-31.618,6.1441,100.8,34.333
