Time,Altitude,AirSpeed,Landing_Gear,Thrust_Rev,Flaps,Param1_1,Param1_2,Param1_3,Param1_4,Param2,Param3_1,Param3_2,Param3_3,Param3_4,Param4
1,-13.406,16.095,1,0,9.5,-15.219,77.488,39.125,-46.681,-52.936,30.613,-74.863,-9.9476,31.813,27.399
2,-1.6491,16.134,1,0,9.5,-14.387,74.982,40.391,-45.725,-52.705,30.258,-73.928,-9.3895,31.872,27.162
3,33.859,16.213,1,0,9.5,-14.6,75.237,40.726,-44.45,-53.077,28.943,-73.761,-9.9943,31.667,26.794
4,-2.5228,16.331,1,0,9.5,-14.752,75.397,39.933,-44.079,-54.165,29.545,-73.789,-11.984,32.407,27.078
5,-0.46885,16.486,1,0,9.5,-15.273,73.588,40.293,-43.89,-53.987,30.493,-73.374,-12.235,33.253,27.003
6,3.4126,16.676,1,0,9.5,-15.69,73.205,41.292,-45.39,-52.825,31.787,-73.173,-11.153,31.819,27.201
7,5.5288,16.901,1,0,9.5,-16.195,73.893,42.921,-45.57,-52.581,31.559,-73.534,-11.73,31.483,28.837
8,-12.429,17.157,1,0,9.5,-17.383,74.878,43.774,-43.478,-53.842,33.655,-71.48,-10.926,30.708,28.923
9,-2.8479,17.442,1,0,9.5,-17.479,76.151,46.683,-44.043,-53.425,34.408,-70.091,-9.9928,33.163,30.593
10,-11.578,17.754,1,0,9.5,-18.623,75.185,46.956,-44.787,-52.962,35.675,-70.275,-11.565,32.603,28.032
11,3.948,18.089,1,0,9.5,-18.586,74.875,46.438,-44.454,-53.146,34.612,-69.845,-11.753,32.836,28.393
12,-12.026,18.444,1,0,9.5,-18.266,74.219,46.391,-44.844,-53.108,34.72,-68.852,-12.928,33.341,28.833
13,8.2233,18.816,1,0,9.5,-17.018,73.664,48.032,-41.683,-53.676,34.051,-69.834,-11.812,33.901,29.362
14,0.14243,19.2,1,0,9.5,-17.377,73.051,49.292,-41.825,-52.399,33.742,-69.629,-11.971,34.132,29.395
15,8.3723,19.594,1,0,9.5,-17.458,71.671,49.878,-42.22,-52.985,34.61,-69.233,-12.039,33.465,29.25
16,0.17021,19.992,1,0,9.5,-15.621,69.937,49.921,-42.672,-54.29,35.514,-70.073,-12.991,33.466,28.237
17,19.291,20.392,1,0,9.5,-14.935,70.103,49.011,-43.989,-53.917,35.134,-71.979,-11.451,35.84,29.886
18,-5.6405,20.789,1,0,9.5,-15.921,73.226,47.672,-45.544,-53.698,34.317,-70.638,-11.149,37.192,30.24
19,12.779,21.18,1,0,9.5,-17.532,73.992,48.271,-44.498,-53.35,34.424,-70.227,-11.096,37.084,30.059
20,17.092,21.561,1,0,9.5,-16.119,72.993,48.54,-42.905,-52.783,36.097,-69.282,-11.935,36.46,29.903
21,2.0309,21.928,1,0,9.5,-17.601,70.035,48.072,-43.347,-52.251,34.869,-69.51,-10.648,35.979,29.524
22,1.555,22.277,1,0,9.5,-16.252,70.439,47.627,-42.673,-51.885,33.713,-69.15,-9.6021,36.346,30.54
23,-1.1655,22.606,1,0,9.5,-16.891,70.331,46.877,-42.981,-51.785,32.505,-70.068,-7.64,37.172,30.689
24,6.4879,22.911,1,0,9.5,-16.088,70.405,46.188,-42.46,-51.345,31.912,-71.377,-7.0717,38.484,30.899
25,10.791,23.189,1,0,9.5,-14.085,69.97,45.568,-43.428,-51.829,32.571,-71.759,-8.6557,39.01,30.127
26,11.102,23.438,1,0,9.5,-14.48,69.28,46.692,-42.54,-52.108,33.483,-71.298,-9.4638,39.436,31.13
27,7.7058,23.656,1,0,9.5,-14.021,71.467,46.424,-41.958,-52.651,34.615,-70.992,-10.39,39.222,30.813
28,-2.8755,23.84,1,0,9.5,-12.461,71.687,47.128,-41.159,-53.194,34.984,-70.88,-10.822,38.435,31.192
29,-5.1498,23.989,1,0,9.5,-12.675,70.311,46.598,-42.925,-53.522,35.575,-71.64,-11.057,38.723,31.87
30,6.973,24.102,1,0,9.5,-12.979,70.357,44.257,-43.092,-54.917,33.953,-72.296,-11.069,37.543,32.714
31,42.94,24.178,1,0,9.5,-13.549,69.83,45.356,-42.168,-54.617,33.696,-72.949,-10.57,38.455,32.664
32,77.262,24.216,1,0,9.5,-12.633,69.16,46.333,-42.936,-54.555,33.558,-70.527,-10.194,40.162,32.135
33,85.73,24.217,1,0,9.5,-13.284,69.541,47.181,-41.313,-54.719,32.538,-71.007,-10.033,38.454,30.363
34,127.5,24.181,1,0,9.5,-13.343,68.071,47.783,-41.205,-54.615,30.069,-70.82,-11.032,40.966,32.008
35,124.47,24.108,0,0,9.5,-13.968,65.994,47.576,-43.122,-53.091,30.748,-70.381,-11.981,41.85,31.385
36,165.11,24,0,0,9.5,-13.766,66.64,47.679,-44.985,-53.125,31.392,-71.499,-11.985,42.555,31.513
37,170.56,23.857,0,0,9.5,-13.39,65.175,47.913,-44.504,-53.11,32.797,-71.232,-12.653,41.793,30.934
38,202.96,23.683,0,0,9.5,-14.351,64.125,49.379,-44.419,-51.659,31.896,-71.953,-10.859,41.907,29.756
39,233.68,23.478,0,0,9.5,-14.203,64.572,49.308,-43.164,-51.801,32.012,-71.254,-10.751,42.71,30.274
40,241.97,23.246,0,0,9.5,-14.407,64.469,50.153,-43.142,-51.62,32.505,-69.975,-10.955,43.618,30.265
41,280.65,22.989,0,0,9.5,-14.664,65.793,49.893,-43.494,-52.324,32.715,-70.519,-11.464,42.742,29.712
42,302.75,22.71,0,0,9.5,-16.518,64.934,48.35,-44.36,-51.71,32.051,-72.248,-9.6653,42.431,28.686
43,325.32,22.413,0,0,9.5,-17.718,65.171,48.358,-44.283,-52.177,31.914,-72.088,-9.6217,41.293,29.16
44,351.76,22.1,0,0,9.5,-16.566,64.902,46.861,-45.38,-52.976,31.977,-73.99,-9.2641,40.488,28.632
45,387.94,21.775,0,0,9.5,-17.427,65.253,48.072,-45.409,-53.903,32.037,-74.855,-10.777,38.596,28.642
46,387.46,21.442,0,0,9.5,-18.445,63.89,47.801,-45.582,-53.981,32.062,-74.116,-9.6435,38.364,29.023
47,406.76,21.105,0,0,9.5,-16.794,63.615,47.82,-45.262,-54.617,33.286,-73.357,-10.77,39.348,28.405
48,454.39,20.767,0,0,9.5,-17.217,63.278,46.818,-44.302,-54.764,32.537,-74.077,-11.708,39.045,28.678
49,475.14,20.433,0,0,9.5,-18.68,63.664,45.203,-43.851,-55.775,33.553,-74.843,-11.536,38.916,29.315
50,502.49,20.105,0,0,9.5,-18.442,64.267,45.159,-43.406,-56.227,33.939,-74.947,-11.579,39.425,30.69
51,537.26,19.788,0,0,9.5,-17.758,64.897,44.48,-43.11,-55.974,33.619,-74.945,-11.531,39.807,31.188
52,539.44,19.484,0,0,9.5,-18.16,65.396,43.102,-43.721,-54.686,33.944,-74.502,-11.488,40.393,30.443
53,558.27,19.199,0,0,9.5,-17.713,64.973,42.6,-45.56,-54.882,33.092,-74.351,-11.584,39.659,29.93
54,603.68,18.933,0,0,9.5,-17.51,65.13,41.102,-44.363,-53.022,35.287,-75.562,-12.491,40.766,30.104
55,616.93,18.692,0,0,9.5,-16.429,66.02,41.134,-43.906,-51.923,35.599,-75.221,-11.757,41.88,30.617
56,674.68,18.477,0,0,9.5,-15.358,64.518,41.069,-44.618,-51.642,34.177,-74.43,-13.308,41.913,30.296
57,681.65,18.29,0,0,9.5,-14.1,63.828,41.2,-44.222,-53.109,34.19,-73.356,-13.09,41.594,31.084
58,697.32,18.135,0,0,9.5,-13.697,62.251,40.074,-44.67,-54.655,34.01,-72.131,-12.955,41.464,30.979
59,720.66,18.012,0,0,9.5,-12.827,61.62,40.029,-45.429,-54.685,33.148,-71.316,-14.912,40.645,30.646
60,748.24,17.923,0,0,9.5,-12.54,60.577,38.977,-44.987,-53.349,33.421,-69.421,-14.622,39.411,29.855
61,780.93,17.87,0,0,9.5,-11.653,60.664,39.414,-45.771,-53.668,34.127,-68.762,-13.464,38.574,30.343
62,806.46,17.852,0,0,9.5,-11.728,59.688,38.788,-46.274,-53.13,32.884,-68.891,-15.282,38.087,30.7
63,836.4,17.871,0,0,9.5,-12.122,59.027,38.485,-46.623,-53.257,31.881,-70.174,-14.669,38.157,30.868
64,852.96,17.925,0,0,9.5,-12.658,59.789,38.132,-45.256,-56.578,32.759,-71.971,-12.991,38.793,27.989
65,860.06,18.016,0,0,9.5,-12.674,60.739,37.253,-44.856,-54.62,33.377,-72.04,-12.055,37.576,28.276
66,900.83,18.142,0,0,9.5,-11.506,60.551,37.414,-45.128,-57.463,32.077,-71.608,-11.238,37.528,28.827
67,918.2,18.301,0,0,9.5,-10.894,59.945,38.075,-45.443,-58.367,32.179,-70.974,-10.442,37.882,28.151
68,942.07,18.492,0,0,9.5,-11.566,61.094,38.322,-45.689,-59.253,33.569,-70.643,-9.9314,37.413,26.828
69,957.62,18.714,0,0,9.5,-12.673,60.917,36.955,-47.318,-60.745,34.32,-71.901,-8.9014,37.941,26.856
