Time,Altitude,AirSpeed,Landing_Gear,Thrust_Rev,Flaps,Param1_1,Param1_2,Param1_3,Param1_4,Param2,Param3_1,Param3_2,Param3_3,Param3_4,Param4
1,16.643,22.057,1,0,9.5,57.417,-31.361,-47.388,89.006,21.399,-0.44317,-25.298,54.914,-8.8118,73.523
2,11.32,22.062,1,0,9.5,57.367,-31.489,-48.327,89.114,21.439,-0.99977,-25.562,54.396,-8.945,75.099
3,4.2123,22.074,1,0,9.5,56.684,-33.783,-46.77,90.25,20.102,0.83747,-26.177,56.243,-9.621,74.019
4,12.346,22.091,1,0,9.5,57.37,-34.475,-47.314,92.234,18.936,1.2737,-26.671,56.537,-9.5064,73.84
5,-16.339,22.113,1,0,9.5,57.353,-32.54,-47.016,91.44,19.837,3.0154,-26.038,55.113,-9.1449,73.813
6,-3.4288,22.14,1,0,9.5,57.753,-32.589,-47.127,90.82,18.879,3.1708,-27.84,55.286,-8.4413,72.537
7,-13.366,22.172,1,0,9.5,56.715,-32.757,-44.204,90.77,17.514,2.7668,-27.726,54.419,-7.2939,71.906
8,-13.159,22.209,1,0,9.5,58.411,-33.006,-43.774,90.592,18.002,3.8108,-26.663,53.448,-7.5183,70.875
9,0.59205,22.25,1,0,9.5,57.913,-33.286,-43.887,90.472,15.898,4.7913,-27.637,54.495,-7.8209,70.663
10,-1.5487,22.294,1,0,9.5,59.347,-33.455,-43.007,90.082,16.253,4.1977,-28.949,53.289,-6.93,70.745
11,-16.034,22.342,1,0,9.5,59.31,-32.244,-42.045,90.951,17.786,4.4134,-29.859,54.615,-8.3818,71.046
12,3.7507,22.392,1,0,9.5,58.6,-33.353,-42.903,91.686,18.754,5.383,-29.597,55.418,-7.9724,72.618
13,-13.117,22.444,1,0,9.5,57.977,-33.385,-42.068,92.692,19.286,3.6057,-28.034,54.316,-6.4973,73.49
14,-6.3893,22.497,1,0,9.5,56.644,-34.543,-41.708,93.847,19.091,4.6007,-26.76,55.512,-5.8208,76.07
15,6.1205,22.551,1,0,9.5,55.487,-33.362,-42.704,94.056,19.194,3.9282,-27.644,57.4,-4.0722,75.869
16,2.8163,22.606,1,0,9.5,56.083,-35.527,-41.964,93.033,20.171,4.7267,-27.626,56.144,-4.7669,76.876
17,12.162,22.66,1,0,9.5,54.953,-34.807,-41.745,93.469,20.665,4.5817,-28.794,56.518,-4.8137,76.562
18,8.8541,22.713,1,0,9.5,55.916,-35.459,-43.349,93.755,21.138,4.2425,-28.865,57.503,-5.7042,76.896
19,0.77222,22.764,1,0,9.5,57.606,-36.414,-43.524,92.771,23.069,2.808,-28.164,57.971,-5.4913,76.795
20,8.1382,22.813,1,0,9.5,56.654,-35.224,-43.176,92.44,23.117,2.5241,-26.646,57.752,-5.2991,75.734
21,22.617,22.859,1,0,9.5,57.219,-35.493,-41.947,92.042,23.864,1.6383,-25.464,58.772,-3.107,75.951
22,11.449,22.902,1,0,9.5,57.992,-34.159,-39.344,91.634,22.96,0.45754,-25.508,59.381,-3.2329,76.982
23,20.432,22.94,1,0,9.5,58.755,-33.605,-39.329,90.779,22.618,-0.24445,-26.466,61.89,-3.9248,76.251
24,-1.3626,22.974,1,0,9.5,59.499,-32.755,-38.353,91.088,20.463,-0.49882,-26.942,61.497,-4.888,73.557
25,-1.3584,23.003,1,0,9.5,58.096,-31.402,-36.917,92.344,20.138,-1.9415,-26.927,60.994,-4.3445,74.657
26,3.6626,23.027,1,0,9.5,58.103,-30.244,-36.6,92.004,22.586,-0.44829,-25.03,61.94,-5.8355,74.999
27,15.356,23.045,1,0,9.5,58.655,-32.426,-36.935,92.468,22.565,-0.67403,-24.987,61.455,-5.1305,75.699
28,5.8381,23.057,1,0,9.5,57.939,-31.352,-36.642,94.404,21.729,-0.50462,-24.072,61.697,-5.5521,74.945
29,32.298,23.063,1,0,9.5,60.405,-32.526,-37.949,93.039,20.387,-0.52038,-23.388,60.725,-4.7527,75.732
30,64.618,23.062,1,0,9.5,60.559,-31.098,-38.469,94.47,20.947,-1.4965,-21.978,61.912,-5.5036,75.532
31,105.85,23.054,1,0,9.5,60.746,-32.287,-37.864,94.694,20.914,-0.75504,-23.792,61.922,-4.8464,75.321
32,107.91,23.04,1,0,9.5,58.359,-32.78,-38.247,94.172,19.522,-0.81996,-24.939,60.654,-4.0132,76.406
33,137.25,23.019,1,0,9.5,60.621,-32.08,-37.188,93.106,18.778,-0.74954,-24.913,59.397,-4.561,75.385
34,182.5,22.991,0,0,9.5,60.773,-31.751,-38.909,92.365,19.577,0.5475,-25.309,59.48,-5.2728,76.693
35,205.15,22.958,0,0,9.5,59.802,-32.147,-37.592,94.679,18.764,0.28237,-24.923,59.299,-5.6757,75.69
36,209.56,22.917,0,0,9.5,57.92,-31.891,-38.516,93.591,17.058,-0.092217,-23.605,59.358,-6.6573,75.927
37,251.8,22.871,0,0,9.5,57.542,-32.254,-36.956,93.066,17.486,-1.1455,-24.071,59.607,-6.0286,76.485
38,280.32,22.82,0,0,9.5,58.464,-32.328,-37.305,93.669,17.812,-2.468,-23.674,60.778,-7.6689,77.641
39,304.35,22.763,0,0,9.5,58.429,-31.35,-38.204,93.404,17.682,-1.5698,-24.212,61.877,-8.9099,79.088
40,334.88,22.702,0,0,9.5,57.358,-32.689,-38.126,94.626,18.325,-1.7597,-24.9,62.59,-9.7333,79.142
41,362.78,22.637,0,0,9.5,58.069,-33.084,-39.924,95.529,16.483,-0.038093,-26.097,64.333,-11.852,78.166
42,366.78,22.568,0,0,9.5,60.302,-34.14,-41.122,93.687,18.306,0.37747,-26.129,65.676,-10.886,78.831
43,407.76,22.496,0,0,9.5,62.055,-34.096,-40.581,94.713,18.085,0.31654,-26.437,67.748,-10.715,78.3
44,449.35,22.423,0,0,9.5,61.517,-33.931,-40.487,92.938,18.127,-0.37201,-25.699,66.338,-12.384,78.425
45,471.17,22.347,0,0,9.5,62.128,-35.272,-38.701,93.339,18.466,0.94612,-26.544,67.438,-12.196,78.42
46,506.64,22.272,0,0,9.5,61.242,-35.58,-36.831,92.584,18.979,0.57903,-26.53,68.93,-13.724,76.315
47,518.25,22.196,0,0,9.5,61.777,-34.332,-37.942,90.174,19.018,-0.17164,-25.29,66.939,-14.113,75.476
48,526.07,22.121,0,0,9.5,60.181,-33.933,-38.201,88.735,19.508,-0.13449,-24.753,66.102,-14.499,75.176
49,583.22,22.048,0,0,9.5,60.471,-34.557,-36.953,87.153,19.02,0.55392,-24.158,66.905,-14.4,76.719
50,594.74,21.978,0,0,9.5,60.548,-34.034,-37.269,85.698,19.272,-0.14813,-22.76,66.452,-14.197,77.495
51,634.67,21.91,0,0,9.5,60.969,-35.121,-36.717,86.301,19.462,1.5596,-24.258,66.39,-14.615,79.63
52,638.44,21.847,0,0,9.5,61.946,-35.689,-35.301,85.144,19.861,2.507,-23.526,66.565,-13.916,78.662
53,674.22,21.789,0,0,9.5,62.533,-35.14,-36.03,84.121,21.514,2.4267,-22.351,67.242,-15.245,77.688
54,699.8,21.737,0,0,9.5,65.029,-34.339,-36.09,83.332,22.744,3.0084,-23.375,67.095,-14.183,77.617
55,745.04,21.69,0,0,9.5,65.972,-31.688,-34.643,83.487,22.168,4.3573,-22.351,68.754,-15.601,77.33
56,756.03,21.651,0,0,9.5,66.052,-31.09,-35.555,83.679,21.676,5.6726,-20.488,71.042,-17.895,77.511
57,797.23,21.619,0,0,9.5,67.745,-31.01,-34.571,84.003,21.945,5.6294,-19.747,71.13,-18.021,76.46
58,804.54,21.596,0,0,9.5,67.673,-30.095,-36.575,84.845,21.748,6.1358,-20.993,71.085,-18.709,76.758
59,845.84,21.581,0,0,9.5,69.016,-30.931,-35.556,85.839,20.733,6.011,-21.633,69.144,-18.79,75.898
60,867.07,21.575,0,0,9.5,70.186,-31.24,-34.183,84.244,19.536,6.9355,-21.109,68.043,-19.268,76.636
61,908.64,21.578,0,0,9.5,72.609,-32.444,-34.683,83.291,20.542,7.2519,-22.446,70.883,-18.987,77.333
62,930.08,21.591,0,0,9.5,71.758,-33.271,-34.312,83.865,22.027,8.1828,-21.231,71.181,-19.602,76.506
63,921.94,21.614,0,0,9.5,70.663,-31.773,-33.75,84.422,22.336,9.1363,-21.819,70.547,-17.562,75.991
64,947.05,21.647,0,0,9.5,70.254,-32.163,-33.266,82.857,22.65,9.8053,-23.157,69.48,-16.736,77.129
65,1002.5,21.689,0,0,9.5,69.346,-31.856,-33.998,83.468,22.093,8.9957,-22.24,69.695,-17.054,77.655
66,1014.9,21.741,0,0,9.5,68.416,-32.22,-33.095,80.794,21.197,9.053,-22.89,69.229,-15.377,78.881
67,1053.2,21.803,0,0,9.5,68.686,-31.577,-32.214,82.119,21.778,8.3137,-22.568,69.16,-17.43,79.225
68,1070.8,21.874,0,0,9.5,68.591,-30.558,-30.265,82.103,22.101,8.6448,-23.052,69.511,-16.948,80.439
69,1101.6,21.955,0,0,9.5,67.498,-32.175,-28.629,82.71,23.215,8.88,-23.258,70.29,-17.817,81.216
70,1140.3,22.043,0,0,8.4444,67.183,-29.354,-28.702,81.042,23.93,9.8395,-21.915,71.462,-19.166,82.257
71,1159.8,22.14,0,0,7.3889,65.723,-29.403,-28.661,81.282,23.167,9.1405,-22.675,70.294,-18.427,83.211
72,1174.2,22.244,0,0,6.3333,66.186,-29.302,-30.021,82.645,23.788,8.596,-21.542,71.949,-19.363,83.346
73,1222.7,22.355,0,0,5.2778,66.197,-29.358,-29.733,81.802,22.77,9.3229,-21.163,72.846,-18.157,83.567
74,1246.3,22.472,0,0,4.2222,66.086,-29.135,-28.666,81.574,21.799,10.786,-20.089,70.848,-17.017,83.731
75,1283.5,22.594,0,0,3.1667,65.385,-28.178,-30.136,80.964,20.315,9.5192,-20.316,72.001,-16.508,83.885
76,1298.2,22.72,0,0,2.1111,64.285,-28.02,-30.477,80.804,19.459,9.1313,-20.805,73.614,-16.307,82.772
77,1323.4,22.849,0,0,1.0556,64.307,-29.289,-28.532,80.322,18.609,7.2104,-20.543,73.143,-17.576,83.168
78,1343.2,22.981,0,0,0,65.077,-28.969,-27.155,80.584,19.784,7.8116,-21.855,72.86,-18.396,83.233
79,1379.4,23.115,0,0,0,65.952,-30.275,-26.724,81.918,21.213,9.0217,-20.965,72.215,-17.992,83.064
80,1378.1,23.248,0,0,0,65.408,-30.402,-26.901,83.986,22.506,9.1605,-20.835,71.463,-17.265,82.886
81,1421.8,23.381,0,0,0,64.965,-30.275,-29.109,84.571,21.223,7.9903,-20.42,70.572,-17.185,82.89
