Time,Altitude,AirSpeed,Landing_Gear,Thrust_Rev,Flaps,Param1_1,Param1_2,Param1_3,Param1_4,Param2,Param3_1,Param3_2,Param3_3,Param3_4,Param4
1,0.20612,15.84,1,0,9.5,68.828,-4.9764,-66.007,-72.44,-51.563,-40.403,14.399,13.758,63.525,-48.875
2,8.3312,15.87,1,0,9.5,67.627,-5.0772,-66.592,-70.775,-51.305,-38.876,13.335,12.888,63.965,-48.802
3,-13.791,15.93,1,0,9.5,67.296,-6.6928,-65.929,-71.951,-51.142,-38.963,14.01,13.346,64.569,-50.167
4,-3.7689,16.02,1,0,9.5,67.998,-8.4736,-67.114,-73.163,-50.323,-38.776,15.814,14.717,63.783,-49.192
5,1.5844,16.138,1,0,9.5,67.813,-8.4906,-67.361,-74.948,-49.006,-38.197,17.685,16.556,61.903,-48.475
6,1.382,16.285,1,0,9.5,67.067,-9.4737,-66.076,-74.549,-49.222,-39.913,17.572,16.95,62.861,-48.381
7,-10.047,16.458,1,0,9.5,67.63,-9.7098,-65.142,-74.323,-48.407,-38.622,17.655,16.334,63.787,-49.063
8,3.9386,16.658,1,0,9.5,66.084,-10.063,-65.159,-72.404,-49.558,-36.961,19.073,16.764,63.686,-49.635
9,-21.311,16.881,1,0,9.5,65.224,-8.6333,-65.608,-73.752,-49.403,-36.804,18.748,17.347,62.212,-47.719
10,-6.0069,17.126,1,0,9.5,66.372,-8.7402,-67.437,-72.893,-49.548,-35.351,18.784,17.236,63.134,-46.423
11,7.3499,17.392,1,0,9.5,66.149,-9.9237,-66.409,-72.036,-51.043,-35.78,18.041,17.414,63.381,-45.999
12,7.9928,17.677,1,0,9.5,65.369,-11.306,-67.519,-71.23,-50.818,-36.567,18.14,17.555,63.773,-44.474
13,15.306,17.979,1,0,9.5,66.665,-10.285,-66.958,-70.537,-52.256,-35.424,18.785,18.464,64.484,-44.602
14,-1.966,18.295,1,0,9.5,66.067,-9.8765,-66.979,-69.957,-52.548,-35.757,20.057,18.956,64.18,-45.143
15,4.7,18.623,1,0,9.5,66.912,-10.621,-66.716,-69.221,-53.553,-35.073,20.092,20.624,64.172,-45.305
16,-1.2386,18.961,1,0,9.5,66.152,-9.5043,-65.037,-68.983,-54.272,-36.533,19.337,20.499,65.614,-46.515
17,4.926,19.306,1,0,9.5,64.532,-7.9515,-64.9,-68.238,-54.894,-37.051,17.381,20.419,65.516,-47.054
18,9.4121,19.657,1,0,9.5,63.388,-8.9362,-64.935,-68.625,-55.856,-36.876,17.959,19.152,65.01,-47.759
19,15.623,20.01,1,0,9.5,63.082,-10.168,-64.563,-69.033,-55.215,-36.453,17.177,20.111,65.13,-46.773
20,12.282,20.363,1,0,9.5,61.979,-9.2709,-66.085,-68.143,-55.138,-34.736,15.831,20.741,64.927,-47.938
21,0.33248,20.715,1,0,9.5,62.597,-8.9067,-67.021,-68.031,-53.646,-34.405,16.958,19.976,64.137,-47.245
22,-0.49189,21.061,1,0,9.5,60.599,-9.6356,-67.037,-66.977,-54.557,-35.201,17.141,21.041,64.805,-46.98
23,7.8469,21.402,1,0,9.5,61.377,-9.5592,-68.839,-66.136,-55.157,-34.422,17.705,20.528,64.554,-45.849
24,2.5219,21.733,1,0,9.5,61.285,-9.4502,-67.656,-68.091,-54.653,-34.084,18.938,21.289,64.493,-46.191
25,6.8486,22.054,1,0,9.5,62.031,-8.9666,-66.836,-69.66,-55.5,-35.109,17.604,17.881,63.12,-45.622
26,18.608,22.362,1,0,9.5,61.437,-8.0703,-64.922,-70.441,-54.68,-36.225,17.821,18.086,63.972,-45.364
27,8.1025,22.655,1,0,9.5,63.406,-7.2134,-64.059,-70.112,-54.134,-36.508,17.994,18.702,63.278,-45.834
28,7.5112,22.933,1,0,9.5,65.769,-6.5468,-63.136,-69.719,-52.951,-36.243,19.316,18.522,62.335,-44.162
