Time,Altitude,AirSpeed,Landing_Gear,Thrust_Rev,Flaps,Param1_1,Param1_2,Param1_3,Param1_4,Param2,Param3_1,Param3_2,Param3_3,Param3_4,Param4
1,10.657,18.192,1,0,9.5,-17.546,56.156,55.395,-76.271,-45.245,-32.964,-1.9454,4.7898,35.289,-13.221
2,1.6825,18.207,1,0,9.5,-15.906,55.479,56.394,-75.812,-46.698,-33.287,-3.7084,3.3619,33.393,-14.008
3,-11.681,18.237,1,0,9.5,-13.653,55.558,57.023,-76.342,-47.771,-33.467,-2.0602,2.2482,33.162,-13.603
4,-8.3983,18.281,1,0,9.5,-13.668,54.438,56.352,-75.938,-48.534,-33.528,-1.319,2.8777,31.806,-14.116
5,1.9087,18.34,1,0,9.5,-13.468,54.872,55.015,-74.633,-48.342,-33.29,-0.063387,2.2386,30.774,-15.94
6,16.969,18.412,1,0,9.5,-11.77,55.964,54.975,-77.359,-49.066,-33.921,-0.30742,3.0355,29.941,-15.158
7,7.7821,18.496,1,0,9.5,-10.814,57.272,56.576,-76.38,-49.197,-33.055,0.41809,3.5224,29.801,-13.715
8,-13.712,18.593,1,0,9.5,-11.812,57.71,58.017,-75.091,-48.925,-31.73,-1.0085,2.9494,28.769,-13.772
9,13.525,18.7,1,0,9.5,-10.748,54.55,57.917,-75.227,-48.172,-29.996,-2.5769,2.3768,30.387,-13.364
10,16.174,18.817,1,0,9.5,-11.791,55.763,58.292,-76.379,-48.796,-28.547,-2.3432,-0.49337,29.766,-15.843
11,10.235,18.943,1,0,9.5,-10.888,57.19,56.571,-76.073,-48.084,-26.882,-2.7529,-0.1161,31.144,-17.122
12,0.85652,19.076,1,0,9.5,-11.386,57.642,57.721,-74.935,-47.164,-26.761,-2.9098,1.7526,30.605,-14.752
13,17.814,19.215,1,0,9.5,-14.025,58.928,58.387,-74.911,-47.72,-26.811,-2.7145,1.3182,32.03,-16.875
14,28.87,19.358,1,0,9.5,-12.389,59.056,57.072,-75.893,-49.462,-28.057,-2.4263,-0.2778,33.089,-17.677
15,-9.375,19.505,1,0,9.5,-12.395,60.205,57.995,-74.622,-49.053,-28.237,-2.9097,-0.62165,33.297,-18.633
16,13.653,19.653,1,0,9.5,-12.317,60.525,56.309,-74.908,-48.47,-27.193,-3.6911,-0.65553,33.488,-17.974
