Time,Altitude,AirSpeed,Landing_Gear,Thrust_Rev,Flaps,Param1_1,Param1_2,Param1_3,Param1_4,Param2,Param3_1,Param3_2,Param3_3,Param3_4,Param4
1,6.9639,20.204,1,0,9.5,38.319,76.457,-57.999,3.2986,-48.752,34.171,-28.019,-131.83,-79.813,-50.968
2,-0.51906,20.221,1,0,9.5,37.917,76.942,-58.728,3.6232,-49.364,32.024,-28.002,-133.2,-78.302,-51.805
3,3.4446,20.253,1,0,9.5,38.566,77.133,-57.944,4.0776,-48.279,31.473,-28.268,-130.73,-78.9,-52.177
4,7.5515,20.302,1,0,9.5,39.144,78.328,-57.47,3.8171,-49.258,31.035,-29.557,-131.2,-79.213,-51.453
5,-6.7741,20.365,1,0,9.5,39.373,79.48,-57.821,3.8221,-49.31,31.017,-27.895,-128.5,-79.817,-51.515
6,-3.8801,20.443,1,0,9.5,39.752,78.203,-56.919,2.0912,-49.035,32.197,-27.545,-128.69,-78.921,-51.14
7,-4.172,20.534,1,0,9.5,39.755,79.447,-57.113,2.6805,-48.266,31.988,-26.864,-128.69,-77.478,-49.993
8,0.39363,20.637,1,0,9.5,40.736,80.571,-57.769,2.6879,-46.613,32.971,-26.797,-127.67,-77.385,-48.918
9,-5.1957,20.75,1,0,9.5,42.173,80.903,-58.888,2.8531,-46.908,33.095,-26.1,-126.3,-77.164,-50.489
10,14.903,20.873,1,0,9.5,42.911,81.87,-59.458,3.1484,-46.928,33.014,-27.565,-126.64,-77.359,-50.234
11,-15.559,21.002,1,0,9.5,42.081,81.895,-58.971,2.7057,-48.52,32.288,-27.584,-125.97,-77.278,-51.714
12,0.46579,21.138,1,0,9.5,41.548,82.107,-61.758,1.9381,-48.628,32.486,-27.966,-124.87,-77.38,-52.628
13,-2.5962,21.277,1,0,9.5,41.855,82.281,-61.892,2.349,-46.936,31.987,-27.746,-126.65,-76.98,-52.624
14,7.5295,21.417,1,0,9.5,42.794,82.869,-61.437,2.8576,-45.724,33.112,-28.489,-127.9,-76.808,-54.16
15,-3.8158,21.557,1,0,9.5,41.528,82.054,-61.367,3.1205,-47.055,33.602,-27.896,-128.13,-75.132,-55.132
16,-16.594,21.695,1,0,9.5,41.923,79.547,-61.051,3.1242,-46.292,33.842,-25.79,-128.85,-74.693,-56.297
17,21.323,21.829,1,0,9.5,40.555,78.517,-61.532,3.2315,-43.828,35.534,-24.57,-130.05,-74.487,-56.807
18,8.0842,21.956,1,0,9.5,39.2,77.989,-62.609,2.7351,-43.312,35.79,-24.271,-129.67,-73.988,-57.556
19,-9.5538,22.074,1,0,9.5,37.986,79.585,-62.373,3.1436,-42.964,34.971,-23.829,-129.22,-74.22,-58.298
20,14.323,22.182,1,0,9.5,38.213,79.411,-62.765,3.0463,-42.288,35.256,-22.308,-132.4,-73.481,-58.789
21,-1.3472,22.279,1,0,9.5,39.156,79.865,-63.435,3.0453,-42.449,35.791,-23.181,-132.93,-72.431,-59.253
22,7.7648,22.361,1,0,9.5,38.02,80.894,-64.8,3.8183,-42.911,35.313,-22.181,-132.78,-72.363,-61.614
23,3.4476,22.428,1,0,9.5,37.325,79.693,-63.642,3.7475,-41.653,37.1,-22.79,-134.24,-73.85,-61.819
24,-8.9464,22.479,1,0,9.5,37.201,81.235,-62.907,3.9602,-40.705,36.195,-23.855,-133.89,-73.827,-61.396
25,8.0364,22.512,1,0,9.5,37.198,79.132,-62.807,4.0582,-41.205,36.812,-24.48,-134.34,-72.351,-62.268
26,14.685,22.526,1,0,9.5,36.023,79.806,-63.104,3.0657,-41.948,39.154,-25.078,-131.63,-73.537,-63.294
27,-2.6824,22.52,1,0,9.5,37.252,80.815,-63.402,3.4865,-41.226,39.259,-25.155,-131.66,-73.042,-65.821
28,10.515,22.494,1,0,9.5,36.469,81.708,-64.248,2.3967,-40.739,39.364,-25.967,-130.82,-73.397,-66.584
29,17.465,22.448,1,0,9.5,36.704,82.42,-63.936,2.5146,-38.74,39.209,-24.418,-129.88,-72.404,-66.221
30,-12.294,22.381,1,0,9.5,34.251,83.704,-63.871,-0.15555,-37.102,38.957,-26.895,-128.51,-74.201,-64.412
31,22.351,22.293,1,0,9.5,35.179,81.673,-63.147,0.45388,-35.069,39.965,-27.387,-129.2,-74.338,-65.011
32,8.3044,22.186,1,0,9.5,35.174,80.083,-65.113,1.3947,-35.659,37.954,-28.424,-129.66,-75.585,-63.968
33,7.3673,22.059,1,0,9.5,34.482,79.22,-65.885,-0.97983,-36.919,37.574,-27.66,-128.29,-76.443,-63.064
34,14.29,21.913,1,0,9.5,35.339,80.443,-64.847,1.4913,-37.298,37.977,-28.447,-130.34,-75.904,-62.194
35,10.27,21.75,1,0,9.5,34.039,78.85,-64.961,1.0646,-35.444,38.672,-29.765,-131.1,-78.369,-64.271
36,25.83,21.571,1,0,9.5,33.219,79.287,-66.168,0.8204,-34.302,38.428,-30.821,-131.86,-77.862,-64.453
37,57.351,21.376,1,0,9.5,32.892,78.839,-65.668,2.4983,-35.45,37.019,-30.256,-131.52,-77.513,-65.525
38,68.587,21.169,1,0,9.5,33.169,79.089,-65.118,3.0611,-34.633,35.982,-31.577,-131.09,-75.55,-64.855
39,94.449,20.951,1,0,9.5,34.714,80.513,-63.554,4.242,-34.256,36.235,-30.905,-131.65,-73.764,-65.101
40,122.67,20.723,1,0,9.5,35.131,82.183,-63.428,3.6781,-33.794,36.189,-29.958,-130.86,-74.981,-65.005
