Time,Altitude,AirSpeed,Landing_Gear,Thrust_Rev,Flaps,Param1_1,Param1_2,Param1_3,Param1_4,Param2,Param3_1,Param3_2,Param3_3,Param3_4,Param4
1,2.6283,21.407,1,0,9.5,-16.999,58.489,-50.764,9.0889,35.22,-13.125,-30.002,-4.8029,91.293,38.406
2,10.176,21.421,1,0,9.5,-16.576,58.131,-51.384,8.3395,35.053,-14.032,-31.205,-3.4314,93.911,38.914
3,7.5423,21.448,1,0,9.5,-15.735,58.686,-50.972,7.6092,34.766,-14.468,-31.607,-3.8669,92.056,38.296
4,1.9379,21.489,1,0,9.5,-15.389,59.444,-49.974,9.4549,33.632,-13.089,-32.866,-4.7771,91.064,37.965
5,-1.9555,21.542,1,0,9.5,-13.725,58.889,-50.964,10.584,33.671,-13.427,-32.541,-4.2572,91.881,37.081
6,-7.4049,21.609,1,0,9.5,-14.957,60.613,-50.067,10.949,34.711,-12.577,-33.49,-3.913,91.507,36.055
7,-8.1828,21.687,1,0,9.5,-16.328,58.767,-50.472,11.71,34.869,-13.433,-34.562,-4.7305,92.165,35.674
8,16.915,21.776,1,0,9.5,-15.962,58.335,-50.733,13.733,34.337,-14.432,-33.935,-6.2444,90.456,36.045
9,19.949,21.876,1,0,9.5,-15.009,59.325,-49.161,14.174,34.253,-14.4,-34.628,-7.9513,92.473,35.426
10,8.2115,21.985,1,0,9.5,-15.8,60.185,-49.199,12.516,34.8,-14.568,-34.987,-9.0704,92.5,35.304
11,18.335,22.103,1,0,9.5,-16.597,61.235,-49.567,12.967,35.357,-14.511,-34.757,-8.6201,92.619,35.169
12,-6.0326,22.229,1,0,9.5,-15.188,59.086,-49.575,13.856,33.449,-12.87,-33.786,-7.8942,91.655,35.191
13,4.1893,22.361,1,0,9.5,-14.718,60.145,-47.446,12.73,33.944,-12.583,-33.754,-7.3714,92.829,34.365
14,3.6348,22.499,1,0,9.5,-14.751,60.999,-47.184,13.467,35.393,-13.411,-32.867,-6.158,93.805,36.087
15,6.7442,22.641,1,0,9.5,-13.823,62.003,-48.426,13.451,33.848,-14.755,-32.972,-5.9071,93.264,38.244
16,5.8911,22.786,1,0,9.5,-14.244,61.462,-47.465,12.492,35.41,-13.66,-32.536,-6.5913,93.221,38.106
17,2.1165,22.933,1,0,9.5,-17.418,60.197,-47.153,12.786,35.162,-13.745,-33.8,-8.2561,94.687,37.749
18,-2.4633,23.08,1,0,9.5,-18.304,59.48,-47.554,14.265,34.634,-13.504,-35.194,-9.2685,93.674,38.124
19,9.2583,23.226,1,0,9.5,-17.58,59.145,-46.462,13.792,34.213,-12.761,-34.978,-11.27,91.673,38.456
20,10.952,23.37,1,0,9.5,-18.772,58.87,-47.002,15.181,33.158,-13.857,-36.921,-12.045,90.637,37.707
21,-1.5419,23.511,1,0,9.5,-19.049,58.7,-48.215,15.269,34.611,-14.164,-37.228,-11.274,90.575,35.769
22,-0.60795,23.647,1,0,9.5,-19.844,58.374,-47.649,15.937,34.172,-15.46,-35.461,-11.742,89.903,33.957
23,18.227,23.777,1,0,9.5,-18.839,58.277,-49.402,15.704,35.16,-15.927,-34.768,-12.509,89.762,34.923
24,30.504,23.9,1,0,9.5,-19.527,58.268,-49.257,16.542,34.439,-15.731,-35.873,-12.548,89.683,34.132
25,29.568,24.015,1,0,9.5,-20.25,58.733,-49.734,16.858,33.457,-15.229,-35.551,-12.879,90.225,35.555
26,14.374,24.121,1,0,9.5,-17.891,59.419,-50.235,18.091,32.828,-15.917,-35.068,-12.377,88.407,36.36
27,4.9005,24.216,1,0,9.5,-18.108,60.32,-49.21,18.918,31.638,-15.421,-35.085,-12.061,87.48,37.084
28,15.443,24.301,1,0,9.5,-18.626,59.556,-48.126,18.744,32.168,-15.428,-34.237,-11.907,88.915,38.364
29,28.296,24.374,1,0,9.5,-19.432,59.789,-48.531,18.977,32.283,-16.763,-34.376,-13.065,87.827,37.716
30,67.873,24.435,1,0,9.5,-18.987,59.981,-48.344,19.892,32.158,-14.036,-36.525,-11.485,87.435,37.788
31,85.686,24.482,1,0,9.5,-20.765,60.944,-48.734,19.338,32.539,-10.983,-35.571,-11.266,86.892,39.106
32,122.92,24.516,1,0,9.5,-20.666,59.296,-48.676,19.032,34.537,-11.115,-35.178,-14.2,87.18,38.547
33,140.31,24.537,0,0,9.5,-20.481,59.101,-48.421,21.691,35.219,-10.533,-35.1,-14.802,87.848,38.142
34,173.25,24.542,0,0,9.5,-18.748,58.749,-49.727,20.961,36.146,-12.636,-36.987,-14.861,88.268,39.408
35,195.75,24.534,0,0,9.5,-19.155,58.348,-47.118,21.975,35.865,-11.852,-36.425,-15.7,88.881,39.489
36,211.6,24.511,0,0,9.5,-18.01,58.148,-48.942,21.264,35.522,-12.055,-36.256,-16.609,90.378,38.932
37,252.12,24.474,0,0,9.5,-18.582,57.457,-49.923,20.757,35.279,-13.818,-35.24,-16.388,91.076,38.276
38,260.81,24.423,0,0,9.5,-19.087,59.328,-50.209,20.934,36.396,-13.534,-34.935,-16.665,91.095,38.36
39,301.19,24.358,0,0,9.5,-18.865,58.589,-49.867,22.081,35.698,-12.706,-35.494,-16.601,90.304,38.536
40,342.55,24.28,0,0,9.5,-17.598,57.915,-50.503,21.644,36.489,-12.289,-35.11,-15.237,90.936,37.998
41,346.36,24.189,0,0,9.5,-17.645,59.805,-49.797,21.093,36.169,-12.028,-35.787,-15.187,89.8,38.728
42,389.1,24.085,0,0,9.5,-17.59,60.691,-50.563,21.165,36.833,-12.122,-36.06,-17.459,89.845,37.042
43,404.26,23.97,0,0,9.5,-18.208,62.138,-52.417,20.958,37.84,-12.01,-34.741,-17.703,90.26,38.947
44,417.73,23.844,0,0,9.5,-17.991,63.283,-52.596,22.481,39.452,-12.549,-35.369,-18.697,90.138,39.895
45,446.8,23.709,0,0,9.5,-19.268,63.772,-52.919,23.298,40.543,-12.262,-36.451,-18.629,89.464,39.33
46,482.3,23.564,0,0,9.5,-17.607,63.48,-53.29,25.465,38.476,-13.049,-35.92,-21.243,88.369,40.855
47,515.46,23.412,0,0,9.5,-17.907,62.749,-52.749,24.726,37.78,-12.425,-36.209,-22.74,88.195,42.376
48,541.62,23.253,0,0,9.5,-18.282,63.587,-54.234,24.985,39.079,-11.191,-37.3,-22.373,89.557,41.57
49,568.36,23.088,0,0,9.5,-18.196,64.651,-55.114,24.863,40.004,-12.398,-36.387,-22.596,88.538,41.486
50,578.29,22.918,0,0,9.5,-17.414,64.448,-55.854,25.349,39.969,-12.495,-36.623,-22.882,89.956,41.286
51,606.67,22.746,0,0,9.5,-17.587,64.4,-55.762,25.91,41.018,-14.032,-37.047,-22.219,89.765,40.221
52,652.82,22.571,0,0,9.5,-18.143,64.33,-56.178,26.14,39.823,-14.089,-37.294,-22.501,89.683,40.395
53,672.41,22.395,0,0,9.5,-18.349,64.664,-56.007,26.976,39.945,-13.927,-36.266,-21.33,89.865,40.32
54,686.91,22.22,0,0,9.5,-17.925,62.675,-54.115,27.435,39.205,-13.802,-35.829,-22.184,90.544,39.633
55,727.62,22.047,0,0,9.5,-19.136,63.121,-57.004,26.39,39.947,-13.811,-35.795,-21.031,90.026,39.728
56,747.4,21.876,0,0,9.5,-17.725,62.889,-55.639,25.846,40.338,-14.205,-36.963,-21.06,90.507,39.734
57,775.95,21.709,0,0,9.5,-19.427,62.768,-54.583,23.769,37.286,-14.436,-36.062,-20.602,89.504,38.039
58,808.93,21.548,0,0,9.5,-18.37,63.87,-54.893,23.96,37.537,-12.826,-36.901,-19.224,88.698,38.811
59,821.37,21.392,0,0,9.5,-19.918,63.55,-53.399,23.249,37.9,-11.321,-36.419,-20.132,87.563,36.348
60,843.23,21.245,0,0,9.5,-21.277,64.612,-54.737,22.893,37.653,-13.427,-34.714,-21.371,87.516,37.18
61,860.12,21.105,0,0,9.5,-21.007,63.978,-55.352,24.362,36.628,-14.223,-34.991,-21.925,87.788,38.857
62,902.98,20.975,0,0,9.5,-21.933,61.469,-56.087,24.72,34.955,-16.24,-35.023,-22.769,87.369,38.428
63,913.33,20.855,0,0,9.5,-21.925,60.623,-56.943,25.44,36.082,-16.76,-35.23,-23.147,86.676,38.546
64,952.63,20.746,0,0,9.5,-21.176,61.472,-58.054,24.951,33.736,-15.913,-35.914,-23.544,88.107,37.995
65,985.1,20.649,0,0,9.5,-24.66,60.718,-58.312,26.112,34.09,-16.002,-36.098,-22.963,88.947,36.377
66,1019.1,20.565,0,0,9.5,-26.124,60.998,-59.158,25.163,33.482,-15.247,-37.003,-22.532,89.305,35.618
67,1032.4,20.493,0,0,9.5,-25.559,60.194,-58.148,24.742,30.69,-15.258,-37.254,-23.414,89.006,33.938
68,1063.9,20.435,0,0,9.5,-25.307,61.535,-58.685,23.51,32.408,-15.839,-36.211,-24.264,88.219,32.953
69,1086.1,20.39,0,0,8.4444,-24.942,61.286,-56.894,24.189,32.487,-15.644,-36.45,-25.408,88.728,34.398
70,1085.4,20.36,0,0,7.3889,-26.479,59.736,-57.499,24.539,33.931,-14.055,-35.925,-27.225,89.404,35.443
71,1146,20.344,0,0,6.3333,-28.687,59.78,-59.07,24.848,33.259,-15.449,-35.091,-26.874,87.696,36.704
72,1180.3,20.342,0,0,5.2778,-25.999,62.386,-59.995,23.509,34.232,-15.318,-34.655,-25.274,86.7,36.502
73,1202.4,20.355,0,0,4.2222,-24.239,62.692,-59.555,22.788,34.464,-15.315,-34.465,-24.932,86.701,34.892
74,1214.9,20.382,0,0,3.1667,-24.54,63.207,-60.241,23.491,33.303,-15.529,-32.895,-23.029,88.287,36.001
75,1239.9,20.423,0,0,2.1111,-23.62,64.013,-60.034,23.098,33.53,-16.427,-32.875,-22.806,87.349,36.056
