Time,Altitude,AirSpeed,Landing_Gear,Thrust_Rev,Flaps,Param1_1,Param1_2,Param1_3,Param1_4,Param2,Param3_1,Param3_2,Param3_3,Param3_4,Param4
1,17.553,18.169,1,0,9.5,-11.229,-53.205,48.005,-30.676,-11.862,82.662,-59.151,30.591,-1.1757,-21.992
2,-0.050087,18.179,1,0,9.5,-10.639,-52.04,47.428,-30.973,-12.102,81.358,-58.726,29.627,-0.14138,-22.477
3,-8.5999,18.199,1,0,9.5,-9.7426,-50.546,46.151,-31.314,-12.421,81.932,-59.999,29.399,-0.18723,-22.822
4,-0.64731,18.228,1,0,9.5,-11.957,-52.13,46.3,-31.419,-10.262,82.523,-59.526,29.687,0.014245,-21.435
5,16.949,18.267,1,0,9.5,-13.36,-51.599,45.52,-29.301,-10.413,82.999,-59.065,29.69,-1.1998,-20.728
6,9.8693,18.316,1,0,9.5,-12.909,-52.061,46.303,-29.587,-8.7283,83.2,-57.214,29.731,-1.5817,-21.498
7,10.378,18.375,1,0,9.5,-14.889,-50.191,46.245,-28.577,-9.043,83.923,-58.038,29.689,-2.6465,-22.665
8,4.6062,18.442,1,0,9.5,-14.499,-49.082,45.595,-29.132,-9.9615,84.591,-57.866,30.862,-3.9921,-23.334
9,4.0566,18.519,1,0,9.5,-15.51,-48.626,45.896,-27.312,-10.493,85.255,-57.444,31.211,-5.5377,-23.143
10,-5.3871,18.605,1,0,9.5,-12.857,-48.904,47.807,-28.207,-9.2434,85.598,-57.534,31.123,-5.9669,-21.711
11,-0.1704,18.7,1,0,9.5,-12.741,-48.965,48.23,-26.766,-9.9625,84.099,-57.648,32.59,-4.2762,-21.555
12,16.752,18.803,1,0,9.5,-12.768,-48.936,48.667,-25.922,-13.09,83.358,-58.525,33.722,-4.7627,-20.884
13,-14.626,18.914,1,0,9.5,-13.014,-48.963,47.162,-26.535,-14.644,82.88,-58.498,31.43,-6.1659,-22.353
14,-9.7499,19.034,1,0,9.5,-14.28,-49.8,46.717,-27.821,-13.944,85.072,-58.866,30.626,-6.3505,-22.934
15,8.9657,19.16,1,0,9.5,-13.157,-47.356,47.958,-27.629,-14.186,84.272,-58.207,30.066,-6.36,-22.778
16,-7.749,19.294,1,0,9.5,-12.441,-47.942,48.878,-28.133,-15.551,83.077,-59.091,30.934,-6.4392,-22.837
17,-3.9367,19.434,1,0,9.5,-11.368,-47.988,48.23,-28.486,-15.775,83.242,-58.513,30.19,-7.3829,-22.343
18,3.2672,19.58,1,0,9.5,-8.7319,-48.639,47.463,-27.151,-14.946,81.089,-59.494,29.946,-7.7873,-21.941
19,-7.2162,19.731,1,0,9.5,-5.5423,-48.534,47.787,-26.833,-15.638,79.519,-58.75,31.552,-8.6359,-23.932
20,24.832,19.887,1,0,9.5,-6.3625,-47.979,48.297,-25.738,-13.62,80.7,-58.017,31.262,-8.1259,-23.45
21,8.4426,20.048,1,0,9.5,-7.8612,-48.89,47.111,-25.143,-12.858,82.036,-59.992,31.295,-7.9467,-22.616
22,-9.4129,20.212,1,0,9.5,-5.4118,-48.096,47.48,-23.388,-13.202,82.056,-58.552,31.159,-7.6895,-25.068
23,-11.282,20.378,1,0,9.5,-4.9446,-49.702,46.423,-23.393,-12.885,82.139,-58.969,31.824,-7.3139,-27.009
24,14.828,20.546,1,0,9.5,-3.7875,-49.595,47.066,-23.205,-12.674,81.67,-59.661,31.965,-6.153,-29.018
25,8.5759,20.716,1,0,9.5,-3.9294,-50.097,46.465,-23.348,-12.35,82.956,-60.442,32.28,-6.9945,-28.958
26,20.072,20.886,1,0,9.5,-4.0814,-50.22,46.231,-21.693,-11.829,83.947,-60.835,32.316,-6.3124,-28.355
27,12.585,21.054,1,0,9.5,-4.469,-48.592,46.029,-22.328,-11.975,83.123,-61.752,32.193,-6.5293,-29.343
28,19.125,21.222,1,0,9.5,-5.1423,-49.698,45.365,-21.424,-11.452,80.583,-62.426,31.339,-5.1471,-31.164
