Time,Altitude,AirSpeed,Landing_Gear,Thrust_Rev,Flaps,Param1_1,Param1_2,Param1_3,Param1_4,Param2,Param3_1,Param3_2,Param3_3,Param3_4,Param4
1,-9.3814,18.338,1,0,9.5,-7.0096,49.918,64.001,-22.553,8.5903,-7.3705,-35.215,37.561,68.455,86.925
2,8.8207,18.351,1,0,9.5,-5.5755,48.741,64.653,-23.067,9.3403,-6.1528,-35.782,36.471,68.588,88.856
3,-13.059,18.377,1,0,9.5,-5.9469,47.277,64.313,-24.179,10.345,-6.5343,-36.241,35.592,67.268,87.96
4,1.1425,18.415,1,0,9.5,-7.6833,46.624,64.159,-25.77,10.323,-6.6275,-34.822,36.448,66.408,88.546
5,-4.2193,18.466,1,0,9.5,-6.8324,47.553,64.143,-26.213,10.369,-8.1367,-36.23,36.536,67.813,88.943
6,-1.5432,18.528,1,0,9.5,-8.9412,48.26,65.308,-26.151,8.8553,-7.683,-36.499,37.268,68.823,88.509
7,-6.0446,18.602,1,0,9.5,-7.1609,49.042,63.531,-24.492,10.636,-7.598,-36.002,36.705,68.694,87.941
8,22.143,18.687,1,0,9.5,-6.0955,46.349,63.667,-24.8,9.9747,-6.5084,-37.224,35.487,66.391,86.293
9,-5.0717,18.781,1,0,9.5,-6.5336,44.86,63.891,-25.576,11.41,-6.3666,-37.73,35.341,65.627,86.574
10,1.2414,18.884,1,0,9.5,-7.3741,44.472,65.079,-26.843,11.161,-6.096,-37.92,35.937,64.485,86.185
11,-1.7227,18.996,1,0,9.5,-9.0608,44.726,66.948,-27.142,11.489,-5.6818,-38.761,35.139,64.598,87.4
12,13.878,19.116,1,0,9.5,-9.6088,43.596,68.159,-26.626,10.356,-4.89,-38.97,35.063,64.971,86.635
13,-2.6487,19.241,1,0,9.5,-9.1406,43.158,67.595,-27.524,10.972,-6.2058,-38,34.92,65.124,86.524
14,11.347,19.372,1,0,9.5,-8.9687,42.59,68.084,-28.48,10.883,-6.3843,-38.388,34.058,65.019,88.326
15,2.9675,19.508,1,0,9.5,-8.7321,42.283,70.099,-29.565,9.5816,-6.48,-38.325,33.859,63.863,87.786
16,1.7236,19.646,1,0,9.5,-6.4576,42.303,69.66,-31.385,8.6421,-6.247,-38.257,34.97,63.438,87.357
17,7.7388,19.787,1,0,9.5,-4.6565,41.283,70.047,-31.2,9.231,-8.0517,-39.426,37.738,62.739,85.812
18,3.3971,19.929,1,0,9.5,-4.6443,40.621,69.686,-30.849,8.7837,-7.213,-40.826,37.816,62.218,84.928
19,-0.49928,20.071,1,0,9.5,-4.9242,39.91,70.735,-30.361,9.7192,-8.3578,-40.454,39.553,61.215,85.963
20,16.417,20.212,1,0,9.5,-4.3453,40.913,71.336,-30.812,8.2577,-7.9587,-40.385,38.477,60.465,85.177
21,-21.625,20.35,1,0,9.5,-2.8151,40.855,71.748,-33.452,7.342,-6.0696,-40.916,38.374,60.242,84.907
22,20.121,20.486,1,0,9.5,-5.2939,41.284,71.871,-34.947,5.9552,-5.2619,-40.05,39.838,60.491,83.011
