Time,Altitude,AirSpeed,Landing_Gear,Thrust_Rev,Flaps,Param1_1,Param1_2,Param1_3,Param1_4,Param2,Param3_1,Param3_2,Param3_3,Param3_4,Param4
1,-6.7067,16.338,1,0,9.5,-18.283,-23.774,-58.81,33.803,17.766,-2.3594,38.754,47.009,41.366,12.421
2,-11.352,16.364,1,0,9.5,-17.036,-22.829,-57.944,33.249,17.82,-2.3253,40.34,46.905,40.32,12.522
3,10.9,16.416,1,0,9.5,-16.707,-23.345,-55.79,32.249,17.609,-3.6454,41.323,46.789,38.884,11.732
4,-7.6599,16.494,1,0,9.5,-18.779,-25.21,-55.264,31.729,18.196,-3.727,42.628,45.228,37.171,11.61
5,2.8952,16.597,1,0,9.5,-18.833,-25.254,-57.068,31.304,18.472,-3.8257,41.05,45.348,37.3,10.787
6,0.4498,16.724,1,0,9.5,-18.125,-26.184,-56.217,31.667,18.914,-2.5019,41.168,45.437,38.375,10.408
7,-4.8683,16.875,1,0,9.5,-18.225,-27.177,-55.131,32.258,18.777,-4.1137,40.725,45.569,37.704,12.487
8,13.183,17.048,1,0,9.5,-18.518,-27.631,-55.458,32.261,19.164,-2.7685,41.333,45.958,39.29,12.869
9,0.70515,17.242,1,0,9.5,-18.623,-27.897,-56.992,33.109,20.165,-3.608,41.016,45.931,37.96,14.218
10,0.5525,17.455,1,0,9.5,-19.466,-28.09,-57.961,33.51,20.047,-3.3063,41.484,46.197,39.248,13.301
11,1.4937,17.687,1,0,9.5,-18.436,-27.942,-57.83,34.046,19.946,-3.5547,42.257,45.366,40.392,12.709
12,10.253,17.935,1,0,9.5,-16.38,-27.593,-58.597,34.458,19.625,-4.8801,41.59,44.312,38.503,13.16
13,-10.011,18.197,1,0,9.5,-16.736,-26.757,-58.763,33.951,18.872,-4.7686,43.024,43.977,40.072,13.919
14,-8.717,18.473,1,0,9.5,-16.983,-27.157,-58.805,33.339,19.738,-4.4692,45.048,44.923,39.525,13.052
15,20.866,18.759,1,0,9.5,-17.078,-29.051,-57.951,34.961,18.527,-5.2389,43.261,43.946,40.217,13.367
16,11.486,19.054,1,0,9.5,-17.05,-28.072,-59.286,33.862,19.773,-6.1858,41.665,43.849,39.892,13.993
17,1.8835,19.355,1,0,9.5,-17.773,-27.74,-59.424,32.321,20.167,-7.0933,41.981,43.839,39.39,14.471
18,-6.2963,19.662,1,0,9.5,-16.69,-26.973,-59.046,31.149,20.177,-8.3575,41.407,45.036,38.304,15.756
19,8.5964,19.971,1,0,9.5,-17.301,-27.165,-58.057,31.604,20.809,-9.5116,41.165,43.847,38.424,15.735
20,-10.25,20.281,1,0,9.5,-15.761,-25.719,-55.599,31.487,20.961,-9.5059,41.275,43.169,39.126,16.164
21,16.013,20.589,1,0,9.5,-15.615,-25.955,-54.969,32.195,20.787,-9.7835,41.326,42.978,39.37,15.884
22,1.4421,20.894,1,0,9.5,-14.833,-25.872,-54.662,33.721,21.046,-9.2973,42.281,42.908,39.543,15.696
23,8.8935,21.194,1,0,9.5,-14.634,-24.856,-55.022,32.753,20.584,-8.7614,40.835,44.446,40.113,16.88
24,-9.0022,21.487,1,0,9.5,-16.03,-23.415,-53.753,32.817,20.162,-10.183,41.95,44.079,40.563,18.978
25,6.1624,21.771,1,0,9.5,-17.074,-25.018,-54.129,33.281,19.965,-10.318,41.759,44.8,41.642,18.796
