Time,Altitude,AirSpeed,Landing_Gear,Thrust_Rev,Flaps,Param1_1,Param1_2,Param1_3,Param1_4,Param2,Param3_1,Param3_2,Param3_3,Param3_4,Param4
1,15.066,19.282,1,0,9.5,-18.307,105.15,18.328,-32.657,4.1235,11.98,69.663,-90.452,-0.79378,-30.934
2,15.363,19.286,1,0,9.5,-17.554,104.18,17.928,-32.132,3.3204,11.942,70.92,-89.836,-1.2905,-31.289
3,-3.022,19.292,1,0,9.5,-17.679,103.02,18.179,-32.19,4.6556,13.608,70.704,-89.931,-1.5727,-31.207
4,17.454,19.301,1,0,9.5,-17.87,102.51,16.832,-30.134,3.9259,14.246,71.552,-90.089,-1.8883,-32.215
5,6.3849,19.313,1,0,9.5,-17.266,104.23,16.205,-28.392,4.8584,13.824,71.654,-89.835,-2.4582,-32.468
6,11.284,19.328,1,0,9.5,-17.859,104,16.436,-26.787,4.7995,14.23,72.333,-88.3,-2.5729,-31.857
7,7.5248,19.345,1,0,9.5,-19.199,102.53,16.256,-27.957,4.3601,14.976,73.202,-87.836,-4.4173,-31.584
8,5.301,19.364,1,0,9.5,-19.968,102.6,17.021,-26.189,5.3593,15.491,70.817,-88.41,-5.211,-29.78
9,5.0459,19.385,1,0,9.5,-21.072,103.21,18.822,-26.263,5.9272,15.085,71.641,-87.827,-4.6377,-29.036
10,-10.844,19.406,1,0,9.5,-20.153,102.01,17.847,-26.573,5.6018,16.329,72.015,-88.952,-4.989,-30.745
11,9.2569,19.429,1,0,9.5,-20.707,102.14,17.267,-25.882,4.9847,15.545,71.223,-88.732,-6.4285,-30.54
12,-0.20163,19.452,1,0,9.5,-21.159,101.11,17.096,-25.695,5.7822,14.365,71.79,-88.58,-5.5437,-30.575
13,6.8114,19.474,1,0,9.5,-21.044,98.757,18.903,-25.348,5.6212,14.263,71.962,-88.123,-5.272,-30.955
14,-6.0052,19.496,1,0,9.5,-21.656,97.683,19.501,-22.784,6.0143,13.837,72.22,-87.678,-5.1149,-30.553
15,26.026,19.516,1,0,9.5,-20.074,97.287,21.645,-23.854,5.0018,13.747,72.561,-87.387,-3.0948,-29.859
16,12.249,19.535,1,0,9.5,-22.29,95.724,21.951,-21.818,5.1333,13.664,73.647,-87.071,-2.5989,-31.243
17,12.189,19.551,1,0,9.5,-20.926,95.071,23.153,-22.271,5.6895,13.169,73.805,-89,-2.9042,-30.316
18,11.671,19.564,1,0,9.5,-20.784,94.531,21.289,-23.889,5.376,12.167,73.692,-87.676,-3.7571,-30.964
19,19.926,19.574,1,0,9.5,-19.704,93.814,20.129,-23.383,5.2924,10.567,73.989,-87.405,-3.3292,-32.427
20,3.1537,19.58,1,0,9.5,-20.612,92.363,19.147,-24.487,2.8831,10.647,71.693,-86.298,-5.0749,-33.375
21,16.267,19.582,1,0,9.5,-22.653,92.058,18.24,-24.645,2.9407,11.075,71.244,-86.261,-4.0931,-32.363
22,12.487,19.579,1,0,9.5,-22.225,91.236,18.622,-24.84,3.6596,11.387,71.879,-86.387,-3.9017,-30.55
23,15.94,19.571,1,0,9.5,-23.806,91.068,18.35,-25.621,5.0567,10.766,71.852,-86.55,-3.4717,-31.475
24,5.4535,19.558,1,0,9.5,-23.876,89.327,17.662,-25.62,4.9294,9.0811,73.436,-87.522,-2.9268,-29.669
25,9.1528,19.539,1,0,9.5,-24.039,89.472,16.231,-25.328,3.2113,8.176,71.549,-87.121,-1.3628,-29.847
26,27.353,19.514,1,0,9.5,-25.183,90.092,16.904,-26.323,3.4682,8.2159,73.034,-87.1,-2.149,-30.293
