Time,Altitude,AirSpeed,Landing_Gear,Thrust_Rev,Flaps,Param1_1,Param1_2,Param1_3,Param1_4,Param2,Param3_1,Param3_2,Param3_3,Param3_4,Param4
1,2.5666,16.949,1,0,9.5,-40.241,24.744,-12.231,31.733,-72.764,-73.441,28.202,-9.8948,43.105,51.59
2,0.74763,16.96,1,0,9.5,-41.163,24.239,-12.238,31.743,-72.334,-71.94,27.755,-9.8587,42.563,51.975
3,-0.67245,16.981,1,0,9.5,-40.631,23.069,-12.55,31.673,-73.159,-71.109,28.848,-9.8904,43.11,51.608
4,-5.467,17.012,1,0,9.5,-38.991,23.118,-13.132,32.504,-74.183,-70.424,29.396,-7.889,43.331,52.434
5,3.9966,17.054,1,0,9.5,-38.877,22.897,-11.57,32.681,-74.004,-71.255,27.707,-7.4147,45.24,54.717
6,-2.1153,17.106,1,0,9.5,-38.882,24.579,-12.872,31.923,-73.629,-71.097,28.54,-7.8027,45.419,54.405
7,5.6649,17.168,1,0,9.5,-38.829,23.114,-13.241,32.956,-72.767,-71.563,29.048,-8.5182,46.302,53.276
8,-3.463,17.239,1,0,9.5,-38.787,22.17,-14.799,34.269,-72.267,-72.207,27.184,-7.9551,45.202,52.972
9,6.2237,17.32,1,0,9.5,-39.082,22.133,-12.873,33.343,-73.073,-71.051,26.893,-6.3786,45.13,53.118
10,6.2401,17.41,1,0,9.5,-38.235,22.399,-12.221,32.771,-71.904,-71.526,26.41,-7.2695,43.48,51.634
11,8.8165,17.509,1,0,9.5,-39.093,21.782,-13.479,33.69,-72.494,-71.83,25.511,-4.7037,41.832,51.454
12,-13.205,17.615,1,0,9.5,-38.657,20.665,-13.863,32.746,-72.836,-73.516,26.202,-5.1092,42.062,49.682
13,6.4669,17.73,1,0,9.5,-37.726,20.587,-12.731,32.339,-71.604,-74.499,25.708,-5.6203,42.84,50.153
14,-8.1786,17.852,1,0,9.5,-37.502,19.904,-11.598,33.793,-70.807,-75.102,25.017,-8.1257,42.959,50.699
15,4.2978,17.98,1,0,9.5,-37.526,20.721,-11.788,33.074,-71.831,-75.437,23.707,-8.8111,42.433,50.931
16,-1.806,18.115,1,0,9.5,-39.56,20.086,-10.61,31.093,-73.152,-74.11,23.598,-7.5894,41.072,51.896
17,17.598,18.256,1,0,9.5,-39.558,20.302,-9.1855,30.504,-72.452,-73.643,21.795,-8.6035,39.215,52.91
18,7.2011,18.402,1,0,9.5,-38.926,20.39,-8.2392,29.978,-71.707,-71.666,22.15,-9.3426,40.312,53.943
19,12.847,18.552,1,0,9.5,-38.23,20.533,-9.2126,30.187,-70.749,-73.228,21.958,-9.7628,41.671,52.679
20,0.075632,18.706,1,0,9.5,-39.705,20.658,-10.977,30.769,-70.497,-73.243,20.591,-9.1577,42.328,52.408
21,24.688,18.864,1,0,9.5,-38.715,21.28,-9.9853,30.594,-71.326,-73.897,20.398,-9.3048,42.126,51.606
22,5.9669,19.024,1,0,9.5,-39.247,21.922,-10.348,31.122,-69.832,-72.673,20.639,-8.9981,42.092,51.262
23,9.6187,19.187,1,0,9.5,-38.181,23.436,-9.9751,31.47,-70.399,-74.735,21.025,-10.259,41.982,51.395
24,4.5969,19.35,1,0,9.5,-40.456,24.802,-9.7665,29.93,-71.544,-75.395,22.481,-10.34,43.195,51.253
25,23.72,19.515,1,0,9.5,-39.965,23.304,-8.5171,30.701,-71.158,-74.882,22.737,-9.4248,41.917,52.263
26,-5.5072,19.68,1,0,9.5,-39.474,22.935,-8.8954,30.927,-71.645,-73.96,21.734,-9.1549,42.449,50.572
27,-4.1601,19.844,1,0,9.5,-40.704,23.413,-9.4802,29.998,-71.934,-73.765,22.096,-10.238,43.591,50.535
28,8.4816,20.007,1,0,9.5,-42.316,23.677,-10.073,29.881,-74.294,-74.953,21.82,-10.605,46.291,51.342
29,-7.024,20.169,1,0,9.5,-43.567,23.02,-9.4793,28.875,-73.764,-76.702,22.163,-11.897,47.049,50.862
30,16.238,20.328,1,0,9.5,-42.76,23.584,-11.215,28.046,-72.911,-76.389,23.058,-12.356,47.121,48.414
31,40.62,20.484,1,0,9.5,-41.031,23.203,-12.989,29.079,-73.636,-75.841,21.249,-12.091,47.94,49.765
32,78.07,20.637,1,0,9.5,-41.799,25.136,-13.537,30.466,-72.627,-74.575,21.511,-12.236,49.39,49.609
33,66.178,20.786,1,0,9.5,-43.118,26.236,-12.955,30.151,-72.061,-77.288,23.394,-12.423,49.824,46.636
34,102.81,20.931,1,0,9.5,-43.05,25.204,-12.252,29.791,-70.57,-77.965,22.442,-12.421,48.847,47.948
35,139.74,21.07,1,0,9.5,-44.402,25.855,-11.87,29.879,-70.042,-78.355,24.276,-12.128,48.872,46.944
36,144,21.205,0,0,9.5,-43.906,27.019,-11.732,28.095,-68.83,-79.963,22.806,-11.973,46.561,47.063
37,175.97,21.334,0,0,9.5,-43.339,27.201,-11.266,27.854,-68.657,-80.44,22.882,-11.3,47.461,47.135
38,194.36,21.456,0,0,9.5,-42.322,26.53,-10.439,28.406,-68.448,-77.78,22.494,-9.9702,48.547,47.708
39,216.21,21.572,0,0,9.5,-42.767,24.672,-11.53,30.967,-69.462,-78.319,22.604,-10.225,49.624,47.919
40,237.2,21.682,0,0,9.5,-43.014,24.381,-11.592,29.777,-69.187,-79.131,22.568,-11.28,49.628,48.172
41,273.9,21.785,0,0,9.5,-40.657,23.769,-13.902,28.311,-69.548,-80.368,22.867,-11.499,49.663,49.217
42,300.7,21.881,0,0,9.5,-39.41,23.07,-12.777,28.315,-70.687,-80.643,23.848,-10.185,48.073,49.654
43,331.68,21.969,0,0,9.5,-40.062,22.63,-12.32,28.997,-68.255,-81.211,23.697,-9.7836,47.191,50.928
44,338,22.05,0,0,9.5,-40.719,21.302,-13.782,28.804,-67.501,-81.434,24.748,-8.5371,47.104,49.946
45,381.93,22.124,0,0,9.5,-42.386,22.874,-13.444,28.301,-67.124,-81.331,25.141,-9.1087,46.952,51.595
46,419.26,22.191,0,0,9.5,-41.866,23.009,-13.822,28.661,-67.63,-80.486,24.403,-10.148,47.798,51
47,417.29,22.25,0,0,9.5,-42.343,23.357,-14.669,28.024,-66.527,-82.045,23.805,-9.9573,49.826,50.369
48,461.21,22.302,0,0,9.5,-42.899,24.698,-15.976,26.029,-66.754,-82.829,24.023,-11.135,50.096,51.266
49,478.54,22.347,0,0,9.5,-43.563,25.75,-15.098,26.502,-67.265,-83.202,24.755,-14.236,50.602,52.311
50,509.29,22.385,0,0,9.5,-44.613,25.328,-13.209,28.474,-67.089,-83.333,23.471,-13.08,50.907,50.765
51,524.1,22.416,0,0,9.5,-45.366,25.998,-12.76,28.912,-67.215,-83.438,22.476,-12.52,50.563,51.288
52,520.97,22.441,0,0,9.5,-47.481,26.252,-12.098,26.017,-67.137,-81.461,23.011,-11.714,51.77,51.044
53,576.73,22.459,0,0,9.5,-47.614,26.526,-11.979,24.637,-68.102,-81.153,22.673,-11.341,52.496,52.438
54,583.71,22.471,0,0,9.5,-47.856,26.585,-11.904,25.678,-68.409,-80.331,24.515,-10.902,52.837,51.567
55,614.16,22.478,0,0,9.5,-49.393,26.594,-11.406,25.236,-68.654,-81.46,24.534,-11.687,50.432,52.389
56,621.25,22.479,0,0,9.5,-48.678,25.917,-10.636,27.062,-68.878,-81.806,25.086,-12.688,52.497,51.792
57,668.29,22.476,0,0,9.5,-50.531,26.785,-11.819,24.638,-69.616,-81.68,24.928,-13.732,53.024,51.124
58,678.25,22.468,0,0,9.5,-49.615,27.053,-12.646,24.399,-70.457,-83.497,24.025,-13.917,52.905,51.145
59,709.63,22.456,0,0,9.5,-49.937,28.297,-11.871,23.469,-70.647,-84.009,25.385,-14.358,52.835,51.99
60,724.82,22.44,0,0,9.5,-51.218,29.376,-11.633,22.985,-70.278,-83.378,25.766,-13.812,52.01,52.276
61,765.1,22.42,0,0,9.5,-51.732,29.606,-11.956,22.748,-71.541,-84.494,23.725,-14.696,50.382,52.255
62,781.54,22.398,0,0,9.5,-51.12,30.209,-13.524,22.361,-71.91,-86.21,24.319,-14.678,49.579,51.928
63,811.51,22.373,0,0,9.5,-51.241,29.4,-13.788,22.318,-70.777,-85.299,25.262,-15.836,48.199,52.454
64,812.39,22.347,0,0,9.5,-49.479,28.882,-14.078,23.825,-70.769,-86.162,25.707,-17.312,47.177,51.304
65,840.41,22.318,0,0,9.5,-49.86,28.302,-11.945,24.028,-71.149,-87.728,24.756,-16.908,46.603,51.28
66,861.59,22.289,0,0,9.5,-49.65,29.518,-10.689,23.785,-71.033,-87.636,25.499,-16.645,45.897,50.855
67,901.61,22.258,0,0,9.5,-47.65,30.53,-13.17,24.508,-70.885,-86.797,24.584,-16.653,44.399,51.349
68,904.55,22.227,0,0,9.5,-46.546,31.212,-12.205,25.358,-71.877,-87.237,22.906,-17.267,44.792,51.058
69,950.87,22.197,0,0,9.5,-47.439,31.182,-11.307,25.889,-72.14,-87.11,21.73,-18.966,44.502,52.285
70,959.87,22.166,0,0,9.5,-47.324,31.072,-11.787,25.182,-71.538,-86.478,21.194,-20.252,45.633,53.031
71,993.65,22.135,0,0,9.5,-48.614,31.575,-12.048,24.094,-70.523,-86.292,20.816,-18.551,44.42,50.278
72,1010.2,22.106,0,0,9.5,-48.383,31.787,-12.564,22.945,-70.195,-86.816,19.41,-18.301,42.752,49.784
73,1050.5,22.078,0,0,9.5,-47.032,33.174,-11.114,24.146,-71.576,-89.011,19.085,-18.396,42.164,48.478
74,1041.7,22.051,0,0,8.4444,-46.569,34.841,-10.565,22.979,-69.278,-91.467,20.472,-19.081,42.255,49.24
75,1081.9,22.025,0,0,7.3889,-47.514,33.96,-10.484,23.319,-68.096,-91.922,21.333,-20.59,42.219,49.971
76,1118.9,22.001,0,0,6.3333,-46.138,33.475,-9.1106,24.899,-66.789,-93.265,21.405,-21.524,41.47,49.765
77,1129.5,21.978,0,0,5.2778,-46.55,32.757,-9.7584,25.474,-67.506,-92.451,21.536,-22.956,41.918,50.852
78,1176.3,21.958,0,0,4.2222,-45.194,33.279,-9.3027,25.553,-66.605,-93.975,19.457,-22.678,41.572,50.493
79,1182.5,21.939,0,0,3.1667,-46.481,33.434,-9.311,25.631,-64.322,-95.491,18.155,-22.213,41.49,51.044
80,1209.4,21.922,0,0,2.1111,-44.977,32.36,-9.5581,26.218,-63.353,-94.806,18.042,-20.895,42.805,50.864
81,1224.8,21.907,0,0,1.0556,-43.832,33.863,-10.841,26.292,-63.994,-94.683,20.04,-20.409,41.025,52.491
82,1263.1,21.894,0,0,0,-43.961,34.265,-11.164,28.34,-63.142,-94.321,21.938,-21.009,42.333,53.082
83,1277,21.883,0,0,0,-42.783,33.341,-10.842,28.594,-62.207,-95.672,22.693,-21.274,39.984,53.81
84,1314.2,21.873,0,0,0,-43.053,32.419,-10.217,28.232,-62.549,-96.019,23.77,-22.296,39.469,54.12
85,1342,21.865,0,0,0,-42.752,32.493,-10.401,27.745,-61.376,-96.325,25.068,-22.001,39.582,55.117
86,1327.3,21.859,0,0,0,-42.878,32.374,-10.613,28.65,-61.823,-96.723,24.848,-21.297,39.2,53.524
87,1386.7,21.853,0,0,0,-43.036,30.486,-12.903,28.482,-63.651,-96.061,24.986,-20.087,41.125,54.715
88,1403.7,21.849,0,0,0,-43.316,30.067,-12.538,29.387,-64.285,-96.133,24.649,-20.734,40.001,53.945
89,1434.7,21.846,0,0,0,-43.033,30.537,-12.329,27.865,-64.014,-97.194,24.549,-21.342,41.06,54.802
90,1466.3,21.844,0,0,0,-42.424,29.906,-13.183,30.319,-62.629,-98.539,24.243,-19.463,39.77,54.365
91,1474.9,21.842,0,0,0,-42.65,29.273,-14.095,29.83,-63.274,-100.56,23.558,-19.117,41.025,53.75
92,1509,21.841,0,0,0,-42.49,26.636,-14.233,28.525,-64.579,-101.32,22.28,-21.165,39.615,51.883
93,1515.4,21.839,0,0,0,-42.733,27.342,-13.141,28.675,-65.958,-100.76,22.784,-20.573,39.724,53.342
94,1537.9,21.839,0,0,0,-44.473,25.902,-12.704,29.511,-65.215,-98.893,22.969,-20.824,39.311,53.257
95,1563.9,21.838,0,0,0,-44.378,26.114,-11.495,29.345,-64.824,-98.309,22.551,-19.919,38.507,53.805
96,1585,21.836,0,0,0,-43.487,27.191,-10.285,30.294,-64.259,-97.916,21.217,-20.514,38.265,55.655
97,1631.2,21.835,0,0,0,-41.679,25.763,-11.041,29.444,-63.373,-97.85,21.031,-19.779,38.161,57.185
98,1648.6,21.833,0,0,0,-41.995,25.497,-10.608,28.606,-63.559,-97.219,20.281,-20.177,38.601,57.43
99,1683.6,21.83,0,0,0,-43.1,25.584,-9.4733,28.659,-63.489,-97.355,19.339,-17.814,39.513,60.033
100,1696.1,21.827,0,0,0,-43.54,25.933,-10.014,28.31,-62.584,-97.831,20.643,-18.1,38.577,60.474
101,1716,21.823,0,0,0,-43.905,25.463,-10.401,29.69,-62.628,-100.37,22.517,-18.256,37.52,58.61
102,1740.6,21.819,0,0,0,-44.157,25.493,-11.34,29.467,-62.884,-101.13,22.684,-18.088,36.662,57.949
103,1780.2,21.814,0,0,0,-43.134,25.748,-10.611,30.973,-63.383,-100.29,24.801,-18.697,36.755,58.489
104,1772.8,21.808,0,0,0,-40.183,27.976,-11.279,32.829,-63.427,-99.542,25.65,-19.461,35.414,58.242
105,1829.1,21.802,0,0,0,-40.654,26.754,-10.772,32.195,-62.364,-100.67,24.544,-21.573,35.437,57.372
106,1849.6,21.795,0,0,0,-40.451,27.468,-10.958,32.814,-62.208,-100.13,24.666,-21.267,35.329,57.108
107,1857.3,21.789,0,0,0,-42.443,28.89,-11.012,32.7,-63.631,-99.825,24.745,-20.847,33.257,58.547
108,1891.7,21.782,0,0,0,-43.789,27.849,-9.0721,32.393,-62.368,-100.08,26.195,-20.799,32.66,57.364
109,1906.4,21.775,0,0,0,-41.632,28.204,-9.6056,33.313,-64.294,-99.843,26.402,-21.767,32.77,56.209
110,1912.8,21.769,0,0,0,-40.437,27.375,-9.8225,33.857,-65.34,-99.25,27.136,-21.986,31.638,56.993
111,1966.3,21.763,0,0,0,-40.063,28.218,-10.065,33.886,-64.83,-101.25,26.617,-20.45,32.008,57.161
112,1974.2,21.758,0,0,0,-39.263,28.048,-10.502,33.949,-65.419,-103.17,27.299,-20.015,32.371,56.802
113,2001.4,21.754,0,0,0,-39.932,30.748,-11.953,34.074,-64.502,-101.81,28.101,-19.17,31.641,56.881
114,2038.3,21.752,0,0,0,-40.999,31.013,-11.948,35.155,-65.043,-101.93,28.505,-20,31.56,55.21
115,2028.1,21.751,0,0,0,-41.806,29.367,-11.919,35.896,-65.887,-100.96,28.377,-20.918,31.873,56.222
116,2091.7,21.752,0,0,0,-41.484,27.952,-12.686,35.42,-67.166,-100.73,28.572,-21.105,32.579,55.479
117,2109.5,21.756,0,0,0,-41.989,27.527,-12.868,34.162,-68.096,-100.52,27.945,-20.636,33.287,55.417
118,2123,21.762,0,0,0,-40.649,27.861,-13.393,33.56,-69.547,-100.26,26.135,-21.251,33.072,55.197
119,2155.4,21.771,0,0,0,-40.398,28.556,-13.971,32.982,-68.634,-98.965,26.182,-19.424,34.545,55.643
120,2154.4,21.783,0,0,0,-40.381,28.347,-14.036,33.183,-67.343,-99.031,25.883,-20.091,33.762,55.702
121,2207.3,21.799,0,0,0,-40.716,27.231,-15.561,32.52,-68.069,-99.974,25.441,-19.633,32.795,56.562
122,2205.5,21.818,0,0,0,-41.148,26.162,-13.814,32.677,-67.251,-101.21,26.03,-18.752,32.769,56.877
123,2258.1,21.842,0,0,0,-40.271,25.857,-14.095,31.959,-68.203,-101.92,25.612,-18.151,33.191,58.526
124,2269.6,21.869,0,0,0,-40.39,24.79,-14.842,32.509,-67.862,-101.94,27.263,-18.54,33.276,60.612
125,2306.3,21.901,0,0,0,-39.772,25.608,-15.026,32.005,-67.901,-101.45,27.712,-19.85,34.058,61.276
126,2310.4,21.937,0,0,0,-39.786,25.906,-16.039,32.315,-69.389,-101.59,26.644,-18.848,36.32,59.422
127,2336.8,21.977,0,0,0,-40.128,24.937,-14.979,30.858,-69.065,-100.06,27.816,-21.398,37.436,59.533
128,2360.6,22.022,0,0,0,-40.451,25.72,-13.922,31.405,-70.484,-99.956,29.005,-19.894,38.449,57.236
129,2391.3,22.071,0,0,0,-40.8,26.177,-12.51,31.383,-71.081,-100.46,29.256,-20.209,37.615,57.142
130,2424,22.124,0,0,0,-39.352,25.43,-13.157,31.466,-71.598,-99.591,29.199,-20.073,37.09,56.971
131,2441.6,22.182,0,0,0,-40.811,25.837,-12.917,29.979,-73.071,-98.761,29.741,-19.815,36.627,58.724
132,2459.8,22.243,0,0,0,-40.516,24.919,-12.775,28.014,-69.832,-97.286,29.828,-19.994,33.826,60.367
133,2480.7,22.309,0,0,0,-41.552,24.315,-12.242,26.216,-69.965,-96.943,28.588,-19.051,32.181,59.773
134,2497.1,22.377,0,0,0,-39.884,25.925,-14.536,26.485,-70.479,-96.411,28.936,-17.979,31.919,61.621
135,2534.5,22.449,0,0,0,-39.861,26.29,-14.965,26.284,-70.833,-97.071,30.013,-19.358,33.826,61.19
136,2556.6,22.524,0,0,0,-41.667,26.396,-14.458,25.921,-70.51,-97.113,31.833,-19.289,32.816,61.441
137,2577.3,22.6,0,0,0,-42.299,27.31,-14.11,24.527,-70.073,-97.964,32.34,-19.406,31.975,60.446
138,2625.3,22.679,0,0,0,-41.22,26.138,-13.394,24.558,-69.485,-100.31,31.868,-17.733,31.76,59.572
139,2632.6,22.758,0,0,0,-40.398,26.997,-12.66,25.537,-70.436,-100.73,32.901,-19.077,31.294,61.736
140,2641.9,22.839,0,0,0,-40.938,28.831,-12.755,25.855,-70.155,-100.42,31.039,-21.547,31.98,63.044
141,2690.8,22.919,0,0,0,-42.946,28.651,-12.897,25.997,-70.315,-99.617,31.582,-23.29,33.187,63.413
142,2695.6,22.999,0,0,0,-44.8,28.757,-13.503,27.242,-69.076,-100.29,30.494,-23.461,32.586,64.075
143,2724.4,23.078,0,0,0,-45.416,27.923,-13.393,26.521,-68.741,-100.49,31.447,-22.142,33.512,64.556
144,2747.4,23.154,0,0,0,-45.762,29.018,-13.681,26.294,-69.562,-100.21,29.72,-22.997,32.695,64.852
145,2765.9,23.229,0,0,0,-45.756,29.289,-13.393,26.559,-69.014,-101.23,30.478,-25.036,31.646,64.622
146,2782.5,23.3,0,0,0,-46.38,28.876,-13.279,26.118,-69.491,-100.41,29.638,-26.444,31.299,65.458
147,2806.8,23.367,0,0,0,-47.398,29.28,-13.92,28.093,-69.789,-99.877,28.346,-25.457,30.91,64.943
148,2852.3,23.43,0,0,0,-47.117,28.694,-15.54,27.336,-70.049,-100.58,27.626,-26.137,29.822,64.121
149,2874.7,23.487,0,0,0,-45.772,29.311,-14.792,28.707,-71.192,-100.7,27.369,-26.483,31.557,64.782
150,2895.2,23.539,0,0,0,-45.395,29.661,-13.945,29.881,-72.406,-100.76,29.519,-26.166,30.17,64.227
