Time,Altitude,AirSpeed,Landing_Gear,Thrust_Rev,Flaps,Param1_1,Param1_2,Param1_3,Param1_4,Param2,Param3_1,Param3_2,Param3_3,Param3_4,Param4
1,-13.336,19.824,1,0,9.5,-19.599,38.71,-17.69,-12.12,-70.454,-5.2164,90.268,-74.191,37.143,36.164
2,-1.8895,19.809,1,0,9.5,-18.359,37.856,-16.958,-11.673,-69.481,-5.2076,93.473,-74.476,37.68,35.148
3,17.034,19.778,1,0,9.5,-16.963,38.805,-16.799,-11.054,-70.428,-5.3049,93.549,-75.501,38.671,35.382
4,15.609,19.733,1,0,9.5,-18.057,37.129,-16.697,-10.079,-68.712,-4.8317,92.791,-76.729,39.259,35.115
5,-2.0706,19.673,1,0,9.5,-19.878,36.061,-16.75,-13.578,-68.868,-6.2558,92.711,-76.439,39.048,35.145
6,10.193,19.601,1,0,9.5,-20.579,34.792,-17.194,-14.551,-68.272,-5.4086,90.96,-75.298,38.441,35.822
7,-1.7822,19.516,1,0,9.5,-21.509,34.573,-17.697,-14.09,-68.091,-5.9571,90.734,-75.624,39.517,35.266
8,-4.1642,19.42,1,0,9.5,-21.439,33.617,-19.426,-13.779,-67.302,-6.0689,91.259,-74.773,41.042,36.339
9,6.0396,19.314,1,0,9.5,-21.971,31.9,-19.047,-12.256,-66.622,-5.945,92.235,-74.381,41.017,36.97
10,6.1869,19.2,1,0,9.5,-20.275,31.943,-20.058,-12.211,-67.799,-6.6194,91.641,-75.118,39.551,37.291
11,-0.65918,19.079,1,0,9.5,-19.479,31.083,-20.605,-12.25,-64.963,-5.3633,91.663,-75.043,40.164,36.568
12,-12.667,18.954,1,0,9.5,-21.293,30.752,-21.28,-13.642,-65.761,-4.6429,91.468,-73.289,40.283,36.902
13,8.7978,18.825,1,0,9.5,-22.246,31.176,-22.154,-14.754,-64.624,-5.9107,92.107,-71.044,42.095,37.594
14,-3.4176,18.696,1,0,9.5,-23.402,32.174,-23.69,-14.053,-65.08,-4.8226,91.769,-71.422,42.325,37.907
