Time,Altitude,AirSpeed,Landing_Gear,Thrust_Rev,Flaps,Param1_1,Param1_2,Param1_3,Param1_4,Param2,Param3_1,Param3_2,Param3_3,Param3_4,Param4
1,2.5284,19.405,1,0,9.5,83.371,18.255,-61.822,-0.02897,28.926,-34.871,-24.823,11.788,-81.381,97.175
2,-13.825,19.416,1,0,9.5,82.85,18.744,-61.092,1.6598,27.699,-33.641,-25.993,13.694,-82.598,98.991
3,7.0343,19.437,1,0,9.5,83.111,19.124,-60.254,2.1197,27.813,-33.846,-26.16,14.763,-82.322,98.588
4,18.17,19.47,1,0,9.5,82.813,18.84,-60.47,4.6949,26.146,-34.486,-26.066,13.542,-82.815,99.523
5,9.6264,19.512,1,0,9.5,83.436,16.85,-60.14,4.0675,26.9,-33.99,-24.157,12.745,-82.953,99.138
6,11.624,19.564,1,0,9.5,83.455,15.929,-60.436,3.7328,28.394,-33.956,-26.081,12.89,-84.252,100.61
7,14.213,19.625,1,0,9.5,82.336,16.768,-60.592,3.3009,27.83,-35.044,-26.757,12.89,-82.802,99.125
8,8.0996,19.694,1,0,9.5,83.093,16.94,-61.972,2.6288,28.316,-35.571,-26.347,12.469,-82.963,100.26
9,14.325,19.771,1,0,9.5,82.345,16.952,-60.494,2.8234,28.877,-35.626,-27.216,13.222,-83.463,98.924
10,15.72,19.855,1,0,9.5,81.603,16.355,-59.281,1.5834,28.512,-35.745,-28.009,12.243,-83.517,97.55
11,-0.48699,19.945,1,0,9.5,80.552,17.276,-60.057,1.8951,29.517,-34.967,-26.554,13.068,-84.151,96.915
12,3.5519,20.04,1,0,9.5,80.019,16.644,-60.305,2.107,28.547,-34.969,-25.681,14.4,-83.531,97.323
13,6.3775,20.138,1,0,9.5,79.44,16.534,-60.938,2.3054,27.535,-34.217,-24.416,15.546,-85.179,97.411
14,8.1114,20.24,1,0,9.5,78.476,17.084,-60.478,1.8394,29.455,-32.281,-24.073,16.685,-86.92,96.453
15,24.481,20.342,1,0,9.5,80.208,17.04,-59.835,1.6956,30.266,-32.981,-25.134,16.655,-88.368,97.584
16,2.54,20.446,1,0,9.5,79.112,18.192,-61.452,2.5001,30.386,-31.822,-24.782,16.166,-88.812,97.475
17,1.9614,20.548,1,0,9.5,79.379,18.282,-62.089,2.5155,29.85,-31.031,-24.749,17.687,-89.235,97.141
18,11.649,20.649,1,0,9.5,79.988,17.395,-60.074,2.4324,29.724,-32.893,-24.273,18.605,-87.957,96.423
19,5.5328,20.747,1,0,9.5,79.571,15.035,-60.389,3.1503,29.63,-32.142,-23.598,18.649,-86.919,96.356
20,13.022,20.841,1,0,9.5,79.836,15.449,-60.577,0.54157,29.528,-32.21,-23.106,18.31,-88.393,96.272
21,-3.0383,20.93,1,0,9.5,79.325,15.244,-59.649,0.60476,28.502,-31.806,-23.924,17.872,-86.46,96.417
22,-1.1817,21.013,1,0,9.5,80.091,14.595,-58.224,0.87493,28.143,-31.921,-23.615,18.932,-86.819,96.97
23,14.09,21.088,1,0,9.5,80.918,15.443,-57.901,0.31677,29.593,-31.258,-24.936,19.475,-87.445,96.698
24,4.9427,21.156,1,0,9.5,80.381,16.532,-58.687,0.40303,29.571,-30.353,-26.602,19.945,-86.188,97.904
25,20.19,21.216,1,0,9.5,77.933,16.05,-57.67,-0.13416,29.368,-28.337,-26.595,19.612,-85.314,97.886
26,2.5741,21.266,1,0,9.5,78.088,14.829,-58.724,0.57547,30.425,-29.194,-27.338,19.527,-84.988,96.015
27,-1.9465,21.307,1,0,9.5,77.166,11.786,-57.303,1.8808,32.038,-28.177,-26.408,19.971,-84.235,94.968
28,-12.929,21.337,1,0,9.5,76.634,12.477,-56.348,1.4826,30.648,-27.551,-26.728,21.616,-84.176,95.136
29,14.357,21.357,1,0,9.5,76.347,12.481,-54.494,3.7847,31.288,-26.723,-26.843,20.451,-83.942,94.136
30,8.4732,21.367,1,0,9.5,78.08,11.294,-53.402,5.0321,31.13,-25.795,-27.141,20.858,-83.012,94.366
31,34.448,21.365,1,0,9.5,77.971,10.775,-52.773,5.0516,31.533,-26.724,-25.225,21.029,-81.476,93.87
32,17.739,21.353,1,0,9.5,79.178,12.374,-53.717,3.4947,30.279,-26.181,-25.432,21.423,-83.605,93.637
33,-2.3857,21.331,1,0,9.5,77.958,11.187,-54.832,3.3677,30.849,-24.945,-23.979,22.031,-82.511,94.081
34,3.839,21.299,1,0,9.5,78.727,11.872,-55.587,4.0543,30.585,-24.109,-24.313,20.264,-84.012,94.034
35,29.56,21.257,1,0,9.5,77.424,12.095,-54.815,3.8796,30.956,-24.028,-25.554,20.024,-83.916,97.273
36,43.057,21.207,1,0,9.5,75.707,12.063,-54.238,2.9511,29.318,-24.448,-24.287,19.426,-83.747,95.963
37,86.812,21.148,1,0,9.5,75.645,12.776,-53.268,3.593,27.973,-23.56,-25.136,19.083,-84.004,96.677
38,95.468,21.082,1,0,9.5,74.887,12.947,-52.347,3.3124,27.294,-25.185,-25.329,19.799,-84.069,95.033
39,96.017,21.009,1,0,9.5,76.801,13.998,-51.892,3.36,27.28,-23.393,-24.493,21.66,-83.45,95.949
40,120.41,20.931,1,0,9.5,78.664,12.277,-50.975,3.6916,26.81,-24.014,-23.443,22.958,-84.141,96.799
41,156.2,20.849,0,0,9.5,78.463,11.602,-51.84,4.3194,27.758,-23.716,-24.696,22.148,-84.093,95.66
42,170.32,20.763,0,0,9.5,79.197,10.1,-52.297,5.6148,26.686,-23.058,-24.951,22.291,-83.706,96.891
43,196.24,20.677,0,0,9.5,78.878,9.9026,-51.63,4.9393,26.276,-24.063,-25.553,24.174,-82.489,97.235
44,197.29,20.589,0,0,9.5,79.478,10.755,-51.643,3.6037,26.943,-24.755,-26.367,24.62,-81.846,98.044
45,230.19,20.503,0,0,9.5,80.736,10.934,-51.572,4.1482,26.972,-24.706,-28.148,24.994,-81.209,99.211
46,251.59,20.419,0,0,9.5,81.831,10.523,-50.464,3.8929,27.791,-25.138,-27.978,25.859,-82.065,99.272
47,255.93,20.339,0,0,9.5,82.731,11.581,-50.301,3.3335,29.869,-25.238,-28.688,25.729,-81.169,99.502
48,294.09,20.264,0,0,9.5,83.844,12.09,-49.462,3.0877,31.812,-25.958,-28.992,25.029,-80.168,98.351
49,320.95,20.196,0,0,9.5,84.248,12.445,-50.597,2.8853,32.404,-26.156,-27.834,24.37,-79.63,99.731
50,334.44,20.136,0,0,9.5,84.928,13.959,-51.267,3.3448,31.956,-26.93,-27.936,23.806,-79.283,99.819
51,357.53,20.085,0,0,9.5,84.182,12.551,-52.259,2.6231,30.7,-26.752,-28.733,24.152,-77.169,98.425
52,375.04,20.045,0,0,9.5,82.971,11.421,-50.886,2.9792,30.904,-28.282,-28.381,24.495,-78.494,98.246
53,401.06,20.017,0,0,9.5,82.057,10.961,-49.558,3.7752,29.779,-28.078,-28.942,24.97,-77.317,99.72
54,432.74,20.002,0,0,9.5,82.389,9.2896,-50.09,3.412,28.703,-28.75,-27.804,24.282,-79.719,100.02
55,444,20.001,0,0,9.5,83.549,7.496,-49.247,2.1535,28.17,-29.133,-26.447,24.933,-79.98,100.42
56,462.99,20.015,0,0,9.5,84.03,7.9179,-49.704,1.0289,28.118,-29.426,-25.881,24.874,-79.404,100.11
57,473.63,20.046,0,0,9.5,84.723,7.9764,-50.004,1.7044,28.729,-29.408,-26.148,24.326,-80.105,99.403
58,488.93,20.092,0,0,9.5,84.391,8.4501,-48.334,3.5911,28.72,-29.968,-25.146,26.318,-78.049,98.535
59,526.25,20.156,0,0,9.5,84.764,8.9823,-48.18,4.4851,27.796,-29.763,-24.471,26.872,-76.928,97.68
60,527.88,20.237,0,0,9.5,83.327,9.5569,-47.297,3.7624,29.718,-29.981,-24.696,25.237,-77.608,98.176
61,553.26,20.336,0,0,9.5,84.848,8.9106,-47.654,3.2401,31.175,-28.515,-25.786,25.065,-79.377,97.844
62,583.79,20.453,0,0,9.5,84.413,8.2355,-45.55,3.9913,33.437,-27.16,-26.717,25.018,-78.355,98.883
63,584.05,20.588,0,0,9.5,83.229,9.4178,-46.059,5.0444,33.011,-26.321,-27.104,25.916,-78.583,99.044
64,634.18,20.74,0,0,9.5,83.571,7.3183,-45.194,6.1754,33.043,-28.118,-27.463,25.202,-77.339,98.457
65,626.02,20.909,0,0,9.5,82.914,8.5685,-45.136,5.0722,33.912,-28.483,-28.997,25.975,-77.057,100.26
66,643.19,21.095,0,0,9.5,84.567,8.0762,-45.316,4.9865,34.173,-29.166,-29.791,27.291,-76.085,101.98
67,670.2,21.297,0,0,9.5,85.741,7.5098,-45.693,3.4847,33.269,-29.097,-30.876,27.344,-78.833,101.62
68,691.99,21.514,0,0,9.5,84.17,6.0498,-47.082,2.0157,33.307,-28.782,-28.869,25.665,-78.651,99.91
69,711.19,21.745,0,0,9.5,83.283,5.5065,-46.599,0.96021,33.723,-27.644,-27.316,27.021,-76.24,99.668
70,707.97,21.989,0,0,9.5,85.249,3.1783,-46.617,1.8492,32.893,-27.955,-27.645,25.763,-76.764,100.01
71,729.3,22.244,0,0,9.5,85.423,3.2254,-45.375,1.095,34.658,-27.89,-27.717,27.11,-76.52,100.08
72,787.5,22.51,0,0,9.5,87.046,4.0686,-47.116,1.6254,35.496,-27.336,-25.935,26.169,-77.451,97.937
73,792.49,22.784,0,0,9.5,87.217,4.5517,-46.469,1.2207,36.713,-27.214,-26.757,23.589,-76.91,96.652
74,806.51,23.065,0,0,9.5,87.213,2.7075,-47.311,0.17826,36.499,-26.805,-26.681,24.03,-78.208,97.857
75,851.63,23.352,0,0,9.5,86.734,3.8824,-48.507,0.27109,36.255,-26.66,-25.822,23.845,-77.474,97.274
76,830.76,23.641,0,0,9.5,84.926,3.5767,-48.303,2.0569,34.617,-25.183,-24.734,23.798,-77.465,97.915
77,882.1,23.933,0,0,9.5,84.339,2.4237,-47.238,3.7661,33.552,-23.263,-25.038,24.447,-75.852,96.543
78,879.9,24.224,0,0,9.5,84.751,1.3413,-46.4,5.5479,32.61,-24.093,-26.729,24.722,-76.141,96.223
79,920.94,24.512,0,0,9.5,85.368,1.6729,-48.198,5.9086,30.11,-24.432,-25.616,23.84,-74.953,96.792
80,933.85,24.796,0,0,9.5,86.032,1.7355,-48.422,6.4004,28.419,-23.042,-25.388,22.592,-74.207,98.463
81,957.89,25.074,0,0,9.5,84.647,2.3262,-48.447,4.6989,28.314,-22.886,-25.644,22.171,-74.933,97.561
82,980.46,25.343,0,0,9.5,85.613,3.5332,-46.557,5.2516,26.41,-21.689,-27.261,23.986,-75.592,99.053
83,983.29,25.602,0,0,9.5,87.058,4.9413,-45.536,3.0343,26.455,-21.698,-28.996,24.57,-75.643,97.259
84,1015,25.849,0,0,9.5,88.35,5.1339,-45.842,3.2743,25.986,-20.733,-27.454,21.966,-75.718,98.026
85,1017.5,26.082,0,0,9.5,88.737,5.2686,-44.034,2.1553,25.789,-21.974,-27.116,23.419,-76.545,98.608
86,1042,26.3,0,0,9.5,89.812,5.9831,-44.174,1.3482,24.463,-21.606,-27.335,22.031,-76.545,98.465
87,1084.7,26.5,0,0,9.5,89.434,6.9282,-44.077,1.5722,23.846,-22.07,-26.979,22.646,-78,97.041
88,1096.3,26.68,0,0,8.4444,90.757,7.0287,-43.799,0.80961,24.284,-21.915,-26.713,23.064,-78.404,96.877
89,1105.5,26.841,0,0,7.3889,90.674,7.0825,-44.561,0.78662,23.912,-22.933,-25.41,21.692,-77.722,97.694
90,1148.9,26.98,0,0,6.3333,90.049,7.7894,-45.503,-0.13711,24.962,-23.71,-26.43,21.587,-77.434,96.203
91,1151.5,27.096,0,0,5.2778,89.789,7.9628,-45.934,-1.1523,23.859,-24.508,-26.65,21.845,-78.937,95.667
92,1167,27.189,0,0,4.2222,89.234,6.809,-44.596,-1.2163,22.693,-25.347,-26.651,20.413,-81.027,96.515
93,1196,27.257,0,0,3.1667,88.923,6.0706,-47.019,-0.25241,23.401,-27.428,-25.672,20.408,-81.452,98.56
94,1214.7,27.3,0,0,2.1111,90.582,5.8633,-46.694,0.091893,23.768,-27.812,-24.168,20.915,-81.486,98.537
95,1224.9,27.317,0,0,1.0556,89.747,6.1401,-47.377,2.3987,23.712,-28.856,-23.41,22.3,-83.053,98.308
96,1256.9,27.309,0,0,0,89.846,5.4828,-45.678,2.6903,22.992,-28.051,-24.151,21.102,-83.825,97.227
97,1273.1,27.274,0,0,0,89.559,7.1424,-46.26,1.786,24.545,-27.997,-24.106,19.866,-80.425,96.686
98,1305.5,27.213,0,0,0,89.465,6.6696,-46.451,0.69425,25.398,-27.807,-24.086,19.09,-81.301,97.206
99,1300.8,27.127,0,0,0,89.547,7.3861,-45.832,1.2125,25.084,-28.919,-25.06,18.42,-79.595,97.688
100,1338.4,27.016,0,0,0,90.22,7.207,-44.462,-0.53865,23.963,-27.866,-24.789,18.698,-81.028,98.327
101,1335.8,26.881,0,0,0,90.395,8.7356,-43.832,-0.95252,23.508,-28.465,-24.558,18.378,-82.328,98.802
102,1376,26.722,0,0,0,89.81,6.8134,-43.689,-2.473,23.992,-30.26,-22.009,17.987,-82.346,99.189
103,1398,26.541,0,0,0,90.267,6.7618,-42.242,-3.3262,24.413,-30.938,-21.078,17.104,-82.293,99.627
104,1420,26.338,0,0,0,89.049,6.5447,-42.957,-2.4213,23.063,-30.678,-22.047,17.477,-81.316,100.54
105,1425.5,26.116,0,0,0,89.293,7.223,-43.731,-2.8053,24.84,-31.462,-19.608,19.077,-79.16,98.927
106,1454.6,25.876,0,0,0,89.007,7.1486,-41.274,-3.5573,25.079,-31.504,-20.76,20.934,-79.695,98.755
107,1468.6,25.619,0,0,0,90.179,7.3375,-40.019,-4.449,24.361,-32.195,-20.657,21.237,-78.991,99.629
108,1481.7,25.347,0,0,0,91.066,8.2843,-39.988,-2.9548,23.244,-31.948,-19.953,23.25,-77.997,99.294
109,1504.6,25.063,0,0,0,91.017,7.5613,-39.458,-2.79,22.39,-31.589,-18.934,23.157,-78.379,101.12
110,1542.3,24.768,0,0,0,90.914,6.6413,-37.34,-3.06,22.711,-33.096,-18.088,23.59,-79.283,99.825
111,1540.7,24.464,0,0,0,91.682,5.02,-37.785,-3.1028,21.886,-32.392,-18.748,22.594,-79.23,100.34
112,1559.3,24.154,0,0,0,90.9,5.8084,-38.898,-2.4465,20.397,-33.891,-19.13,22.688,-79.893,99.663
113,1587.8,23.84,0,0,0,91.257,5.5909,-39.12,-3.0923,19.839,-32.458,-19.217,22.865,-79.176,98.908
114,1614.5,23.524,0,0,0,91.139,6.2454,-39.523,-4.4527,20.115,-33.144,-17.403,23.711,-81.125,99.239
115,1644.9,23.209,0,0,0,92.305,6.3255,-38.139,-4.4684,19.024,-35.109,-17.998,23.413,-83.043,100.35
116,1664.7,22.897,0,0,0,91.95,5.6722,-38.211,-3.6553,17.562,-33.934,-16.355,22.965,-84.072,99.34
117,1671.3,22.59,0,0,0,91.558,4.1544,-37.88,-3.6929,18.593,-34.664,-17.208,23.935,-82.262,99.163
118,1695.4,22.291,0,0,0,91.811,3.8391,-37.615,-3.3609,18.951,-35.23,-16.801,24.189,-82.315,98.21
119,1726.1,22.002,0,0,0,92.394,4.4199,-39.913,-3.4046,19.327,-37.784,-15.818,23.684,-81.781,98.367
120,1725.8,21.725,0,0,0,92.343,4.7624,-40.714,-3.2238,18.74,-36.296,-15.756,25.216,-79.966,100.23
121,1755.6,21.462,0,0,0,92.153,4.7249,-41.74,-3.3719,19.523,-36.073,-14.559,23.695,-80.288,99.967
122,1773.5,21.216,0,0,0,92.012,3.7645,-41.815,-5.0002,19.857,-37.385,-12.8,22.813,-80.413,97.97
123,1803.8,20.988,0,0,0,92.389,4.4461,-40.831,-6.0821,18.179,-36.813,-14.55,22.301,-81.476,98.627
124,1808.6,20.78,0,0,0,92.197,5.0334,-40.246,-5.914,18.641,-37.376,-14.308,20.813,-80.674,98.656
125,1822.3,20.593,0,0,0,91.915,5.7597,-40.486,-5.8295,20.116,-35.436,-15.625,20.476,-78.791,96.735
126,1847.4,20.431,0,0,0,92.228,6.3106,-41.015,-8.0215,21.161,-35.876,-15.095,20.004,-78.461,97.496
127,1858.5,20.293,0,0,0,93.283,4.454,-41.164,-8.1575,22.239,-35.194,-12.731,22.058,-78.113,98.205
128,1886.9,20.181,0,0,0,93.424,6.2587,-41.182,-8.6375,20.518,-34.131,-14.396,21.093,-78.515,98.971
129,1915.8,20.096,0,0,0,94.225,6.5996,-40.602,-8.5566,21.614,-34.051,-15.005,20.686,-77.228,100.86
130,1917.1,20.039,0,0,0,93.594,4.2632,-40.017,-8.2465,20.267,-33.795,-13.685,18.351,-77.274,101.31
131,1920.7,20.01,0,0,0,93.176,4.888,-39.267,-6.9664,18.542,-33.761,-12.63,17.516,-75.908,103.33
132,1962.4,20.01,0,0,0,93.909,5.0058,-40.388,-6.2471,18.827,-34.465,-12.578,17.154,-75.405,102.69
133,1982.6,20.04,0,0,0,92.953,5.4382,-40.246,-5.8031,19.93,-34.109,-12.024,16.47,-75.545,103.55
134,2007.3,20.099,0,0,0,93.696,4.7399,-38.895,-4.718,19.642,-34.831,-13.081,16.278,-75.197,105.38
135,2030.1,20.188,0,0,0,92.227,4.1066,-39.296,-3.9569,19.982,-35.271,-15.283,16.407,-74.341,106.86
