Time,Altitude,AirSpeed,Landing_Gear,Thrust_Rev,Flaps,Param1_1,Param1_2,Param1_3,Param1_4,Param2,Param3_1,Param3_2,Param3_3,Param3_4,Param4
1,6.3831,22.002,1,0,9.5,2.9791,37.696,-5.9779,-115.5,15.641,-12.432,43.998,-20.208,-12.212,29.995
2,-3.8771,21.985,1,0,9.5,2.4733,37.774,-5.3591,-117.74,16.711,-11.124,43.169,-19.956,-13.259,29.385
3,1.3521,21.95,1,0,9.5,1.159,37.297,-5.5573,-117.07,15.888,-11.04,42.126,-19.324,-12.847,27.181
4,1.1557,21.898,1,0,9.5,0.27503,37.022,-5.6668,-115.8,16.596,-10.994,41.802,-18.226,-12.299,26.59
5,10.671,21.828,1,0,9.5,0.084507,34.691,-5.6508,-116.08,14.756,-10.411,41.291,-16.579,-10.666,26.738
6,0.93122,21.743,1,0,9.5,-0.57791,34.239,-4.2224,-117.21,13.76,-12.057,42.144,-16.73,-11.132,25.903
7,-8.4288,21.641,1,0,9.5,-0.81672,33.468,-5.0775,-116.95,12.483,-11.879,41.528,-17.184,-9.5602,26.855
8,20.613,21.524,1,0,9.5,-0.30694,31.576,-5.1422,-117.26,11.217,-10.867,41.204,-16.331,-9.3294,28.36
9,-9.6757,21.392,1,0,9.5,-1.2326,32.87,-4.2081,-118.12,9.8812,-10.684,42.136,-16.698,-10.734,28.225
10,9.0623,21.246,1,0,9.5,-2.8267,33.726,-4.2383,-118.02,8.7726,-11.178,41.961,-16.437,-9.6182,27.538
11,2.9801,21.086,1,0,9.5,-2.4375,33.253,-4.0204,-116.48,8.6929,-9.3212,42.423,-17.064,-9.0818,26.096
12,-8.4817,20.915,1,0,9.5,-1.6341,34.09,-4.9975,-116.64,6.451,-8.6529,43.678,-15.984,-9.0016,24.697
13,4.4075,20.732,1,0,9.5,-0.99979,34.697,-4.3177,-117.12,6.3954,-8.7187,43.011,-15.177,-7.2333,23.776
14,1.1207,20.539,1,0,9.5,-3.1546,34.465,-4.3575,-117.49,6.378,-7.9103,43.362,-15.686,-8.2906,24.413
15,-0.22963,20.336,1,0,9.5,-2.647,33.693,-2.8424,-117.47,6.7956,-8.5233,44.232,-15.873,-8.26,23.75
16,-1.0885,20.126,1,0,9.5,-2.4887,34.25,-3.2192,-117,6.9886,-7.5087,43.926,-15.371,-8.5822,19.569
17,13.047,19.909,1,0,9.5,-2.5677,34.254,-3.3303,-116.25,6.1552,-6.7041,42.88,-15.647,-7.738,20.863
18,16.419,19.687,1,0,9.5,-1.2174,33.301,-3.0398,-116.24,8.7312,-7.8982,43.836,-15.646,-8.527,20.222
19,39.691,19.461,1,0,9.5,-1.7744,32.703,-1.4988,-117.86,8.4959,-8.222,43.481,-15.645,-6.4383,21.324
20,10.235,19.231,1,0,9.5,-1.5188,33.033,-1.6436,-117.92,7.2859,-7.2736,42.419,-15.287,-6.6756,21.376
21,10.469,19,1,0,9.5,-1.6923,32.822,-2.0254,-118.71,8.1242,-7.6624,42.057,-14.103,-6.1446,21.591
22,7.6464,18.769,1,0,9.5,-3.1441,33.4,-3.2016,-119.02,8.3711,-7.2512,39.941,-14.271,-5.3891,23.184
23,-16.567,18.54,1,0,9.5,-0.76691,34.09,-2.737,-119.15,6.5501,-6.0132,40.326,-14.661,-6.4719,20.834
24,19.56,18.313,1,0,9.5,-0.022229,34.481,-3.1617,-118.84,6.6521,-4.6437,39.524,-14.515,-5.7295,19.905
25,25.974,18.089,1,0,9.5,0.82923,32.993,-4.2844,-118.82,4.228,-3.992,37.765,-13.216,-4.1515,18.971
26,4.0195,17.871,1,0,9.5,0.39523,31.468,-3.3734,-118.14,3.4785,-3.5401,38.396,-12.885,-4.2102,18.772
27,-13.255,17.66,1,0,9.5,-0.94229,32.066,-1.2137,-119.41,5.475,-2.2183,38.416,-13.489,-3.478,18.396
28,16.039,17.456,1,0,9.5,-0.90958,30.623,-0.54841,-121.27,8.0111,-3.4597,38.79,-12.129,-4.3529,17.95
29,20.43,17.261,1,0,9.5,-2.5627,30.001,0.011416,-122.17,7.3737,-2.7307,39.474,-11.993,-3.4079,18.536
30,27.747,17.077,1,0,9.5,-0.98337,30.245,0.39674,-121.57,7.4715,-2.9949,39.898,-12.165,-3.117,18.161
31,13.983,16.904,1,0,9.5,0.73915,29.922,1.2029,-121.18,8.1239,-3.4018,40.506,-12.083,-2.5504,17.408
32,0.058367,16.743,1,0,9.5,0.15072,29.218,2.4525,-121.76,7.5334,-4.6222,39.041,-12.167,-1.1535,17.422
33,17.591,16.596,1,0,9.5,-1.5427,27.965,0.99364,-122.42,7.396,-2.5372,38.711,-11.496,-0.68632,17.677
34,44.072,16.462,1,0,9.5,0.14245,28.856,0.85277,-122.68,6.7786,-2.9951,38.204,-10.585,-0.3361,18.918
35,63.324,16.344,1,0,9.5,0.59386,27.603,2.315,-122.63,6.9916,-3.8807,38.337,-10.445,-0.31204,16.596
36,65.479,16.242,1,0,9.5,1.699,28.069,1.4446,-121.72,7.5113,-4.9243,37.215,-9.5548,-1.1461,16.548
37,121.79,16.156,1,0,9.5,1.169,27.252,1.8067,-120.94,5.6338,-6.292,36.508,-9.3163,-0.61277,17.042
38,112.38,16.087,1,0,9.5,1.5886,26.719,0.24582,-121.23,5.8909,-7.0512,35.936,-7.8585,-1.3373,16.327
39,141.32,16.035,1,0,9.5,0.30631,26.553,0.1856,-121.51,6.7923,-7.4751,35.503,-8.2664,-0.29088,15.245
40,152.71,16.002,0,0,9.5,2.0945,26.279,-0.5352,-122.87,6.9257,-7.5095,36.513,-10.055,-1.6952,17.161
41,178.03,15.986,0,0,9.5,1.5156,25.695,0.75773,-123.73,6.4067,-6.7391,36.567,-10.213,-1.738,16.122
42,199.12,15.989,0,0,9.5,0.62195,25.627,1.2588,-122.25,4.5368,-5.3145,36.013,-11.571,-0.23783,14.421
43,220.73,16.009,0,0,9.5,-0.4014,25.968,0.57678,-121.86,3.7193,-6.3744,35.967,-9.7835,-0.14996,13.917
44,243.52,16.048,0,0,9.5,-1.1916,27.485,-0.18729,-121.65,4.2916,-6.387,34.359,-9.5557,1.1386,12.18
45,278.63,16.105,0,0,9.5,-1.5703,27.562,-1.7402,-120.57,3.537,-6.8503,34.264,-10.424,-0.26402,13.258
46,307.62,16.18,0,0,9.5,-2.1339,28.464,0.10081,-119.45,3.1797,-7.334,33.444,-9.2029,-0.65113,12.234
47,317.07,16.271,0,0,9.5,-4.869,28.946,-0.25616,-119.91,3.7806,-5.5058,32.141,-9.7985,-0.68502,12.076
48,340.53,16.38,0,0,9.5,-5.2004,28.509,0.50071,-119.32,3.4029,-6.4994,32.587,-9.7706,-2.4331,11.69
49,354.81,16.504,0,0,9.5,-5.1511,27.177,0.90975,-117.25,3.1709,-7.2082,33.654,-8.9469,-2.5424,9.8801
50,381.26,16.645,0,0,9.5,-5.5689,27.473,0.24403,-117.77,3.81,-7.7228,35.503,-8.2411,-1.6551,7.8363
51,392.87,16.799,0,0,9.5,-5.5361,27.593,0.5478,-117.66,4.6828,-8.2288,35.107,-7.468,-1.9856,8.9356
52,411.95,16.968,0,0,9.5,-6.5565,25.95,0.28206,-117.5,3.8771,-8.1311,35.611,-7.6316,-2.9323,9.1719
53,457.65,17.149,0,0,9.5,-6.4932,26.264,0.18071,-117.78,2.7961,-8.349,36.61,-9.6633,-5.2334,9.3141
54,447.53,17.343,0,0,9.5,-6.369,26.778,0.062493,-118.48,2.6615,-8.7643,36.366,-8.6779,-4.3481,10.117
55,478.34,17.547,0,0,9.5,-5.76,26.047,-0.19002,-116.66,3.2457,-8.8732,36.909,-7.2528,-2.6979,9.6392
56,513.72,17.76,0,0,9.5,-5.913,24.961,0.29111,-117.86,4.1145,-7.6657,38.305,-6.3388,-3.5866,9.9303
57,543.02,17.982,0,0,9.5,-6.2414,24.542,0.44242,-116.99,4.8085,-7.7024,38.146,-4.2412,-4.7648,9.8356
58,564.14,18.212,0,0,9.5,-6.9573,24.512,2.2824,-117.09,4.5092,-5.9771,38.229,-3.5943,-4.301,11.505
59,584.49,18.447,0,0,9.5,-6.0137,25.937,1.1733,-116.5,5.1491,-7.1806,37.1,-4.1908,-3.4807,12.557
60,591.28,18.686,0,0,9.5,-4.9854,24.804,1.76,-116,3.54,-7.1467,35.846,-4.6611,-3.7971,12.981
61,625.95,18.929,0,0,9.5,-5.5873,23.694,1.3504,-117.04,2.2005,-6.7293,35.919,-3.5069,-4.7899,12.696
62,638.28,19.174,0,0,9.5,-6.0531,22.69,1.7056,-118.02,2.4259,-6.9941,33.931,-2.9772,-4.2931,12.435
63,677.14,19.42,0,0,9.5,-4.8722,23.19,0.83409,-118.45,4.2393,-8.3747,32.08,-2.0955,-2.5189,12.545
64,695.35,19.665,0,0,9.5,-2.9331,23.405,0.52753,-117.77,4.9696,-7.6801,32.753,-2.7023,-2.3144,11.23
65,703.55,19.908,0,0,9.5,-2.5856,23.965,-0.53098,-116.79,3.8391,-8.3622,34.33,-2.0192,-1.962,11.298
66,720.32,20.147,0,0,9.5,-0.53528,23.96,-0.55986,-117.49,3.5138,-7.6074,34.254,-1.6254,-3.4025,11.184
67,763.76,20.383,0,0,9.5,-0.12623,23.333,-0.66763,-118.12,2.4138,-7.2598,34.583,-2.1994,-2.9387,10.204
68,756.34,20.613,0,0,9.5,-0.84582,23.386,0.51737,-116.63,4.5375,-7.6877,35.234,-3.262,-3.9284,10.034
69,779.29,20.836,0,0,9.5,-1.1309,23.873,-0.33299,-115.79,5.2257,-8.2148,34.792,-3.6978,-2.811,10.759
70,822.82,21.051,0,0,9.5,-1.4279,25.803,-2.0706,-116.12,6.1609,-8.6229,32.821,-3.1053,-1.8316,11.607
71,824.69,21.258,0,0,9.5,0.66009,24.73,-1.071,-115.11,7.1196,-6.5546,32.53,-3.6472,-0.95072,11.496
72,864.85,21.455,0,0,9.5,-0.14279,26.27,-0.3646,-117.27,7.1909,-4.7871,32.279,-4.6363,-1.067,12.089
73,883.55,21.641,0,0,9.5,-1.3627,27.652,-1.8353,-115.37,7.568,-4.7242,31.184,-4.758,-3.6838,13.135
74,905.84,21.817,0,0,9.5,0.050281,27.071,-1.6085,-114.21,7.675,-4.9318,29.901,-3.9386,-4.462,12.754
75,933.86,21.981,0,0,9.5,-0.61669,25.839,-2.4623,-115.26,8.5165,-5.8995,30.012,-3.6138,-3.0531,15.496
76,946.76,22.132,0,0,9.5,-0.1014,27.381,-1.3217,-116.15,7.3289,-6.819,30.91,-3.1117,-2.4359,15.515
77,973.88,22.272,0,0,9.5,-0.21091,28.4,-1.7827,-116.65,7.4953,-7.3394,31.446,-3.4338,-3.6268,15.603
78,976.38,22.398,0,0,9.5,-0.41615,29.992,-2.5246,-117.19,8.3176,-6.3754,33.435,-2.8598,-4.1377,16.15
79,994.52,22.511,0,0,9.5,-1.3006,28.213,-0.92246,-116.1,7.8917,-6.1029,32.802,-3.0144,-2.5294,17.521
80,1040,22.611,0,0,9.5,0.46991,28.972,-1.9479,-117.12,9.8364,-6.1133,34.942,-1.1094,-2.3226,17.153
81,1062,22.698,0,0,9.5,0.42678,29.547,0.28771,-117.61,9.387,-8.2374,34.576,-1.1032,-4.1916,17.076
