Time,Altitude,AirSpeed,Landing_Gear,Thrust_Rev,Flaps,Param1_1,Param1_2,Param1_3,Param1_4,Param2,Param3_1,Param3_2,Param3_3,Param3_4,Param4
1,-2.4243,22.554,1,0,9.5,50.653,36.712,-80.442,66.464,10.501,-12.042,3.8133,-69.2,28.208,57.39
2,-6.4318,22.56,1,0,9.5,50.821,37.156,-79.887,68.206,11.063,-10.994,2.9723,-69.544,27.616,57.867
3,-10.875,22.573,1,0,9.5,51.333,37.054,-80.306,67.139,11.418,-11.914,3.1071,-70.143,28.172,57.923
4,17.874,22.592,1,0,9.5,52.335,36.756,-80.423,67.447,11.786,-11.912,4.1209,-70.62,30.281,58.238
5,1.5842,22.616,1,0,9.5,51.32,36.494,-81.524,68.345,11.284,-13.74,3.5318,-69.519,29.891,57.954
6,3.3151,22.647,1,0,9.5,50.523,38.281,-82.779,68.939,10.92,-13.729,3.6946,-67.59,30.048,58.869
7,3.5954,22.682,1,0,9.5,52.124,38.938,-81.724,68.387,10.498,-13.686,3.6871,-68.209,31.687,57.094
8,-0.73276,22.722,1,0,9.5,53.062,38.167,-81.822,68.04,10.625,-12.074,3.1714,-69.903,32.114,56.571
9,-3.7177,22.767,1,0,9.5,51.376,38.661,-81.674,67.095,8.5881,-11.426,3.4125,-70.891,32.452,57.431
10,1.4616,22.815,1,0,9.5,50.886,39.078,-82.245,66.332,8.7607,-11.63,3.0988,-69.799,34.008,55.755
11,-2.5152,22.866,1,0,9.5,50.401,39.165,-81.711,65.46,7.2378,-10.91,3.5275,-68.068,34.971,55.522
12,-3.8752,22.919,1,0,9.5,48.834,40.027,-82.417,64.882,8.2987,-11.223,5.6666,-68.078,34.032,54.757
13,16.556,22.974,1,0,9.5,49.78,40.795,-81.296,65.503,9.7293,-10.888,5.7607,-68.332,33.751,55.33
14,17.89,23.029,1,0,9.5,48.366,41.154,-81.481,66.709,8.1846,-11.673,5.0104,-67.974,31.36,56.299
15,4.2557,23.085,1,0,9.5,48.041,40.482,-81.133,65.87,8.7457,-10.688,5.9894,-66.674,31.067,55.606
16,13.04,23.139,1,0,9.5,49,39.889,-81.133,64.334,8.628,-12.785,6.3103,-66.721,29.552,56.391
17,-2.6154,23.192,1,0,9.5,47.801,40.285,-80.723,65.426,7.7513,-13.638,6.7967,-67.256,29.639,55.04
18,0.67478,23.243,1,0,9.5,48.082,40.085,-82.245,63.108,7.6801,-13.348,6.6669,-68.813,28.6,54.972
19,5.7979,23.289,1,0,9.5,48.061,40.022,-81.044,63.844,7.7135,-13.488,3.705,-69.227,29.545,57.193
20,1.0717,23.332,1,0,9.5,48.16,40.54,-80.355,63.416,6.4642,-14.078,3.8883,-71.366,27.607,57.912
21,13.092,23.369,1,0,9.5,47.418,40.343,-79.375,63.411,7.0393,-15.863,3.5956,-70.986,27.812,57.403
22,-5.6292,23.401,1,0,9.5,47.566,37.948,-79.002,62.991,7.1455,-15.453,3.0819,-72.153,27.476,57.51
23,-2.7572,23.426,1,0,9.5,46.854,36.524,-80.771,63.602,7.1657,-15.073,3.1512,-72.228,26.599,58.543
24,-3.8697,23.443,1,0,9.5,45.906,37.555,-82.089,64.187,7.1996,-14.313,3.5522,-72.211,25.891,57.466
25,1.7644,23.452,1,0,9.5,43.283,35.892,-81.569,66.575,7.5794,-13.413,4.1084,-72.264,25.228,57.816
26,1.2571,23.452,1,0,9.5,44.962,35.149,-81.368,67.681,8.5913,-13.091,5.7381,-73.021,26.17,56.397
27,-1.744,23.442,1,0,9.5,43.945,35.475,-82.403,68.577,8.1663,-12.471,6.426,-75.022,28.611,56.361
28,-1.2051,23.422,1,0,9.5,45.83,33.538,-82.326,67.662,7.0325,-11.879,6.9766,-76.282,27.84,57.84
