Time,Altitude,AirSpeed,Landing_Gear,Thrust_Rev,Flaps,Param1_1,Param1_2,Param1_3,Param1_4,Param2,Param3_1,Param3_2,Param3_3,Param3_4,Param4
1,-2.6207,18.212,1,0,9.5,49.322,-112.95,-25.888,-22.384,20.539,-9.6202,9.833,-5.1012,12.091,-15.222
2,7.0677,18.217,1,0,9.5,49.584,-113.81,-25.515,-21.937,20.393,-9.3755,7.5579,-3.551,12.593,-15.134
3,13.525,18.227,1,0,9.5,48.01,-114.44,-25.152,-20.234,22.466,-8.6856,8.5368,-3.6375,12.582,-14.785
4,4.4894,18.242,1,0,9.5,48.663,-114.99,-24.007,-20.444,23.909,-7.5682,9.3488,-2.0241,14.404,-16.293
5,-3.1701,18.263,1,0,9.5,49.413,-114.32,-25.211,-19.623,24.415,-8.1611,8.832,-1.7074,14.653,-15.528
6,-10.911,18.289,1,0,9.5,49.216,-113.81,-24.898,-19.287,23.016,-8.8955,7.7351,-1.6815,13.98,-15.903
7,0.24318,18.321,1,0,9.5,49.598,-114.45,-25.249,-19.11,22.522,-9.941,8.2833,-1.3195,13.336,-15.297
8,10.673,18.359,1,0,9.5,47.795,-114.91,-25.011,-19.333,21.658,-9.3878,7.9046,-0.92922,13.05,-14.339
9,7.4609,18.403,1,0,9.5,49.284,-115.15,-24.563,-17.317,20.808,-9.1226,7.825,-0.65782,15.42,-12.493
10,-3.7781,18.454,1,0,9.5,48.812,-115.52,-24.947,-18.618,19.954,-10.952,7.6939,-1.1972,16.588,-11.547
11,-3.2107,18.512,1,0,9.5,48.751,-113.76,-25.415,-20.863,19.753,-9.9787,7.6864,-1.3309,16.932,-10.59
12,10.351,18.578,1,0,9.5,49.006,-112.52,-25.271,-22.19,21.368,-8.294,6.1425,-0.82959,18.104,-10.074
13,1.3938,18.651,1,0,9.5,48.713,-111.56,-24.492,-22.359,20.403,-8.6337,6.3134,-0.5678,19.553,-11.349
14,5.9122,18.733,1,0,9.5,47.928,-111.76,-23.792,-22.144,20.823,-9.5299,6.2523,0.84863,21.379,-9.8295
15,1.3378,18.823,1,0,9.5,47.173,-111.28,-24.896,-20.817,20.403,-9.7935,6.4574,1.1197,22.317,-9.027
