Time,Altitude,AirSpeed,Landing_Gear,Thrust_Rev,Flaps,Param1_1,Param1_2,Param1_3,Param1_4,Param2,Param3_1,Param3_2,Param3_3,Param3_4,Param4
1,-9.1361,17.119,1,0,9.5,68.377,2.8085,7.8386,-8.8406,-21.956,46.739,-34.228,17.412,-31.186,60.894
2,9.3197,17.128,1,0,9.5,67.971,1.5438,6.5951,-10.292,-20.472,45.922,-34.227,16.387,-32.102,63.341
3,-4.2794,17.147,1,0,9.5,67.744,1.5684,7.0728,-10.748,-20.325,45.338,-32.36,16.344,-33.627,62.662
4,4.0149,17.174,1,0,9.5,69.157,0.5197,6.9029,-9.0236,-19.782,45.751,-33.284,16.802,-32.422,62.611
5,-9.6202,17.211,1,0,9.5,69.549,0.84037,6.5742,-9.6766,-21.014,45.31,-34.206,15.661,-32.283,63.549
6,6.6195,17.258,1,0,9.5,69.139,0.86362,6.9318,-9.3267,-20.414,45.463,-34.971,16.127,-31.687,65.649
7,-0.25934,17.314,1,0,9.5,68.952,-0.39075,5.0096,-10.797,-19.555,43.77,-36.535,16.148,-31.551,66.044
8,-2.7744,17.38,1,0,9.5,68.49,-2.7795,2.6749,-11.046,-18.843,42.917,-36.656,17.196,-31.41,65.03
9,5.192,17.456,1,0,9.5,66.744,-3.7029,3.2197,-11.831,-20.256,43.267,-38.28,16.948,-31.565,65.802
10,8.857,17.542,1,0,9.5,66.628,-4.957,3.8075,-11.218,-18.758,43.744,-38.38,17.465,-33.668,64.024
11,8.4088,17.639,1,0,9.5,67.108,-6.3376,2.8651,-10.614,-16.654,44.985,-39.37,14.971,-33.805,64.337
12,14.043,17.746,1,0,9.5,67.997,-7.287,2.6227,-11.452,-17.466,45.678,-39.683,16.466,-31.892,64.562
13,14.323,17.864,1,0,9.5,67.136,-6.9894,2.6317,-9.9879,-17.039,44.7,-40.559,17.248,-32.302,65.92
14,10.047,17.993,1,0,9.5,69.601,-7.6444,0.37329,-10.718,-18.312,44.301,-40.943,16.759,-32.024,65.823
15,16.525,18.133,1,0,9.5,69.244,-6.6842,1.6077,-10.667,-18.023,44.151,-39.955,17.502,-31.396,64.388
16,11.869,18.285,1,0,9.5,69.834,-6.7008,2.21,-10.509,-19.449,44.141,-40.605,17.71,-31.168,63.126
17,2.0286,18.448,1,0,9.5,70.14,-7.7203,1.6194,-10.934,-18.707,43.965,-41.473,17.274,-32.931,63.305
18,-2.7114,18.622,1,0,9.5,71.465,-7.2832,2.5802,-12.331,-20.453,44.006,-41.97,18.367,-34.052,63.583
19,10.438,18.808,1,0,9.5,70.756,-7.8344,1.0106,-10.363,-21.594,44.4,-41.597,18.458,-35.441,64.27
20,15.543,19.005,1,0,9.5,70.967,-9.2339,0.17389,-8.9781,-23.197,45.548,-41.15,18.065,-34.139,63.142
21,16.2,19.213,1,0,9.5,70.479,-8.9354,-0.24528,-9.6978,-21.981,44.723,-40.963,17.13,-35.841,65.385
22,12.518,19.432,1,0,9.5,73.226,-8.6271,-1.884,-9.5425,-22.018,42.399,-42.445,17.76,-35.005,66.427
23,17.167,19.663,1,0,9.5,73.379,-9.7213,-2.4253,-9.0737,-22.608,42.012,-42.168,17.55,-34.983,65.986
24,18.544,19.903,1,0,9.5,74.012,-9.3512,-1.7569,-9.4859,-20.899,41.139,-42.141,16.184,-35.614,65.836
25,1.993,20.154,1,0,9.5,74.907,-10.013,-1.1805,-9.5611,-22.223,42.206,-42.819,15.227,-35.011,64.661
26,4.4612,20.415,1,0,9.5,75.125,-8.7973,-1.7583,-9.2392,-23.251,41.122,-43.436,16.112,-35.065,67.411
27,14.417,20.684,1,0,9.5,73.712,-10.719,-2.7474,-9.955,-23.958,41.636,-43.369,14.581,-35.262,66.91
28,2.6948,20.962,1,0,9.5,74.337,-9.9473,-3.7238,-9.9904,-22.732,41.161,-43.339,15.061,-35.646,65.854
29,9.9499,21.247,1,0,9.5,74.71,-8.8561,-5.2205,-9.7321,-21.823,40.643,-43.455,14.664,-36.307,66.54
30,-2.108,21.538,1,0,9.5,74.928,-9.6807,-5.5499,-7.839,-22.401,42.33,-42.593,14.438,-36.132,65.016
31,26.431,21.836,1,0,9.5,75.347,-11.211,-4.068,-8.4024,-22.335,42.1,-41.725,15.357,-36.317,63.878
32,38.738,22.138,1,0,9.5,76.69,-10.111,-4.7437,-8.0556,-21.987,43.82,-40.625,16.035,-35.826,63.464
33,75.284,22.444,1,0,9.5,76.009,-8.6333,-5.1135,-9.3454,-23.236,44.46,-40.569,16.335,-35.102,62.07
34,87.244,22.752,1,0,9.5,77.91,-8.5403,-3.7549,-8.8951,-23.183,44.021,-40.145,17.934,-33.923,62.163
35,132.86,23.062,1,0,9.5,77.875,-7.6382,-3.6956,-7.8122,-22.905,41.976,-41.804,17.07,-35.301,63.246
36,139.14,23.371,0,0,9.5,78.008,-8.6165,-4.2179,-7.761,-23.05,41.761,-43.047,16.859,-35.078,62.768
37,161.61,23.679,0,0,9.5,77.559,-9.9032,-5.5428,-8.434,-23.85,42.026,-43.843,16.89,-34.414,61.687
38,190.28,23.984,0,0,9.5,78.255,-10.654,-5.5092,-8.1945,-25.105,42.86,-45.435,16.108,-33.87,61.448
39,212.8,24.284,0,0,9.5,78.119,-8.9866,-5.4327,-7.2584,-22.608,43.307,-46.437,17.431,-32.677,61.334
40,244.74,24.579,0,0,9.5,78.408,-9.8096,-4.6498,-7.1501,-23.295,43.14,-45.711,17.154,-32.494,62.272
41,273.43,24.866,0,0,9.5,77.956,-9.3757,-6.5462,-8.1959,-24.671,45.321,-45.068,18.55,-32.265,63.71
42,270.09,25.145,0,0,9.5,77.44,-8.7097,-7.0413,-8.5862,-25.433,44.523,-43.1,19.204,-30.804,62.316
43,304.63,25.413,0,0,9.5,78.027,-8.3312,-7.1252,-9.6923,-24.91,44.946,-43.299,20.573,-31.228,61.995
44,314.83,25.67,0,0,9.5,79.592,-4.9846,-6.0437,-10.143,-27.336,46.296,-42.605,19.123,-31.388,63.403
45,374.99,25.913,0,0,9.5,78.759,-4.9021,-7.6402,-10.219,-25.949,46.131,-43.53,20.379,-30.69,64.664
46,355.42,26.142,0,0,9.5,79.118,-5.2078,-8.0106,-10.518,-24.898,45.972,-42.577,20.114,-29.96,64.455
47,393.26,26.355,0,0,9.5,77.794,-4.5444,-9.6128,-10.582,-25.487,46.24,-43.529,19.816,-29.14,64.759
48,407.66,26.55,0,0,9.5,77.29,-4.7667,-10.161,-12.716,-27.915,45.334,-44.289,19.945,-31.094,64.186
49,452.57,26.728,0,0,9.5,77.97,-5.5988,-10.023,-14.551,-26.796,45.208,-44.548,19.949,-29.682,64.393
50,464.06,26.886,0,0,9.5,79.129,-5.3229,-9.7952,-13.886,-26.504,44.521,-46.256,18.852,-27.115,64.832
51,466.51,27.023,0,0,9.5,78.131,-4.863,-8.7727,-14.577,-27.156,44.567,-47.063,17.778,-27.151,64.89
52,508.84,27.139,0,0,9.5,77.886,-5.0876,-8.9652,-14.257,-25.861,45.151,-47.923,18.888,-26.76,64.966
53,530.17,27.233,0,0,9.5,76.259,-4.9731,-8.8081,-12.751,-25.966,45.176,-48.114,19.347,-27.202,64.398
54,548.64,27.304,0,0,9.5,77.415,-6.5836,-8.1869,-14.23,-26.869,45.937,-48.91,19.074,-26.025,64.266
55,558.3,27.352,0,0,9.5,78.342,-7.1033,-7.042,-16.101,-26.692,45.552,-49.149,18.628,-25.407,63.237
56,572.87,27.376,0,0,9.5,78.127,-8.1257,-8.4833,-18.119,-27.02,46.274,-47.984,18.496,-24.1,64.301
